Date,Day,Name,Type,Country
01-Jan-27,Friday,New Year's Day,National Holiday,australia
26-Jan-27,Tuesday,Australia Day,National Holiday,australia
26-Mar-27,Friday,Good Friday,National Holiday,australia
29-Mar-27,Monday,Easter Monday,National Holiday,australia
25-Apr-27,Sunday,ANZAC Day,National Holiday,australia
25-Dec-27,Saturday,Christmas Day,National Holiday,australia
26-Dec-27,Sunday,Boxing Day,National Holiday,australia
01-Jan-27,Friday,New Year's Day,National Holiday,brazil
08-Feb-27,Monday,Carnival Monday,Government Holiday,brazil
09-Feb-27,Tuesday,Carnival Tuesday,Government Holiday,brazil
10-Feb-27,Wednesday,Carnival end (until 2pm),Government Holiday,brazil
26-Mar-27,Friday,Good Friday,National Holiday,brazil
21-Apr-27,Wednesday,Tiradentes Day,National Holiday,brazil
01-May-27,Saturday,Labor Day,National Holiday,brazil
27-May-27,Thursday,Corpus Christi,Government Holiday,brazil
07-Sep-27,Tuesday,Independence Day,National Holiday,brazil
12-Oct-27,Tuesday,Our Lady of Aparecida / Children's Day,National Holiday,brazil
28-Oct-27,Thursday,Public Service Holiday,Government Holiday,brazil
02-Nov-27,Tuesday,All Souls' Day,National Holiday,brazil
15-Nov-27,Monday,Republic Proclamation Day,National Holiday,brazil
20-Nov-27,Saturday,Black Awareness Day,National Holiday,brazil
24-Dec-27,Friday,Christmas Eve (from 2pm),Government Holiday,brazil
25-Dec-27,Saturday,Christmas Day,National Holiday,brazil
31-Dec-27,Friday,New Year's Eve (from 2pm),Government Holiday,brazil
01-Jan-27,Friday,New Year's Day,National Holiday,bulgaria
03-Mar-27,Wednesday,Liberation Day,National Holiday,bulgaria
30-Apr-27,Friday,Good Friday,National Holiday,bulgaria
01-May-27,Saturday,Holy Saturday,National Holiday,bulgaria
01-May-27,Saturday,Labor Day,National Holiday,bulgaria
02-May-27,Sunday,Easter Sunday,National Holiday,bulgaria
03-May-27,Monday,Easter Monday,National Holiday,bulgaria
03-May-27,Monday,Day off for Labor Day,National Holiday,bulgaria
06-May-27,Thursday,St. George's Day,National Holiday,bulgaria
24-May-27,Monday,Culture and Literacy Day,National Holiday,bulgaria
06-Sep-27,Monday,Unification Day,National Holiday,bulgaria
22-Sep-27,Wednesday,Independence Day,National Holiday,bulgaria
24-Dec-27,Friday,Christmas Eve,National Holiday,bulgaria
25-Dec-27,Saturday,Christmas Day,National Holiday,bulgaria
26-Dec-27,Sunday,Second day of Christmas,National Holiday,bulgaria
27-Dec-27,Monday,Christmas holiday,National Holiday,bulgaria
28-Dec-27,Tuesday,Christmas holiday,National Holiday,bulgaria
01-Jan-27,Friday,New Year's Day,Statutory Holiday,canada
26-Mar-27,Friday,Good Friday,Statutory Holiday,canada
29-Mar-27,Monday,Easter Monday,Statutory Holiday,canada
24-May-27,Monday,Victoria Day,Statutory Holiday,canada
01-Jul-27,Thursday,Canada Day,Statutory Holiday,canada
06-Sep-27,Monday,Labour Day,Statutory Holiday,canada
30-Sep-27,Thursday,National Day for Truth and Reconciliation,Federal Employees Holiday,canada
11-Oct-27,Monday,Thanksgiving Day,Statutory Holiday,canada
11-Nov-27,Thursday,Remembrance Day,Statutory Holiday,canada
25-Dec-27,Saturday,Christmas Day,Statutory Holiday,canada
26-Dec-27,Sunday,Boxing Day,Statutory Holiday,canada
