Date,Day,Name,Type,Country
11-Mar-30,Monday,Clean Monday,Government Holiday,greece
26-Apr-30,Friday,Orthodox Good Friday,Government Holiday,greece
01-Jan-30,Tuesday,New Year's Day,National Holiday,germany
19-Apr-30,Friday,Good Friday,"National Holiday, Christian",germany
22-Apr-30,Monday,Easter Monday,"National Holiday, Christian",germany
01-May-30,Wednesday,May Day,National Holiday,germany
30-May-30,Thursday,Ascension Day,"National Holiday, Christian",germany
10-Jun-30,Monday,Whit Monday,"National Holiday, Christian",germany
03-Oct-30,Thursday,Day of German Unity,National Holiday,germany
25-Dec-30,Wednesday,Christmas Day,"National Holiday, Christian",germany
26-Dec-30,Thursday,Boxing Day,"National Holiday, Christian",germany
01-Jan-30,Tuesday,New Year's Day,National Holiday,hong-kong
02-Feb-30,Saturday,Lunar New Year's Day,National Holiday,hong-kong
04-Feb-30,Monday,Second Day of Lunar New Year,National Holiday,hong-kong
05-Feb-30,Tuesday,Third Day of Lunar New Year,National Holiday,hong-kong
05-Apr-30,Friday,Tomb Sweeping Day,National Holiday,hong-kong
19-Apr-30,Friday,Good Friday,National Holiday,hong-kong
20-Apr-30,Saturday,Holy Saturday,National Holiday,hong-kong
22-Apr-30,Monday,Easter Monday,National Holiday,hong-kong
01-May-30,Wednesday,Labour Day,National Holiday,hong-kong
09-May-30,Thursday,Buddha's Birthday,National Holiday,hong-kong
05-Jun-30,Wednesday,Dragon Boat Festival,National Holiday,hong-kong
01-Jul-30,Monday,Hong Kong Special Administrative Region Establishment Day,National Holiday,hong-kong
13-Sep-30,Friday,Day after Mid-Autumn Festival,National Holiday,hong-kong
01-Oct-30,Tuesday,National Day,National Holiday,hong-kong
05-Oct-30,Saturday,Chung Yeung Festival,National Holiday,hong-kong
25-Dec-30,Wednesday,Christmas Day,National Holiday,hong-kong
26-Dec-30,Thursday,First Weekday After Christmas Day,National Holiday,hong-kong
01-Jan-30,Tuesday,New Year's Day,National Holiday,hungary
15-Mar-30,Friday,1848 Revolution Memorial Day,National Holiday,hungary
19-Apr-30,Friday,Good Friday,National Holiday,hungary
22-Apr-30,Monday,Easter Monday,National Holiday,hungary
01-May-30,Wednesday,Labor Day,National Holiday,hungary
10-Jun-30,Monday,Whit Monday,National Holiday,hungary
20-Aug-30,Tuesday,National Day,National Holiday,hungary
23-Oct-30,Wednesday,1956 Revolution Memorial Day,National Holiday,hungary
01-Nov-30,Friday,All Saints' Day,National Holiday,hungary
25-Dec-30,Wednesday,Christmas Day,National Holiday,hungary
26-Dec-30,Thursday,Second Day of Christmas,National Holiday,hungary
26-Jan-30,Saturday,Republic Day,Gazetted Holiday,india
05-Feb-30,Tuesday,Ramzan Id (Tentative Date),Gazetted Holiday,india
02-Mar-30,Saturday,Maha Shivaratri,Gazetted Holiday,india
20-Mar-30,Wednesday,Holi,Gazetted Holiday,india
12-Apr-30,Friday,Rama Navami,Gazetted Holiday,india
14-Apr-30,Sunday,Bakrid (Tentative Date),Gazetted Holiday,india
19-Apr-30,Friday,Good Friday,Gazetted Holiday,india
14-May-30,Tuesday,Muharram/Ashura (Tentative Date),Gazetted Holiday,india
15-Aug-30,Thursday,Independence Day,Gazetted Holiday,india
21-Aug-30,Wednesday,Janmashtami,Gazetted Holiday,india
02-Oct-30,Wednesday,Mahatma Gandhi Jayanti,Gazetted Holiday,india
06-Oct-30,Sunday,Dussehra,Gazetted Holiday,india
26-Oct-30,Saturday,Diwali/Deepavali,Gazetted Holiday,india
25-Dec-30,Wednesday,Christmas,Gazetted Holiday,india
