Date,Day,Name,Type,Country
01-Jan-24,Monday,New Year's Day,National Holiday,china
10-Feb-24,Saturday,Chinese New Year,National Holiday,china
11-Feb-24,Sunday,Spring Festival Holiday,National Holiday,china
12-Feb-24,Monday,Spring Festival Holiday,National Holiday,china
13-Feb-24,Tuesday,Spring Festival Holiday,National Holiday,china
14-Feb-24,Wednesday,Spring Festival Holiday,National Holiday,china
15-Feb-24,Thursday,Spring Festival Holiday,National Holiday,china
16-Feb-24,Friday,Spring Festival Golden Week holiday,National Holiday,china
17-Feb-24,Saturday,Spring Festival Golden Week holiday,National Holiday,china
04-Apr-24,Thursday,Qing Ming Jie,National Holiday,china
05-Apr-24,Friday,Qing Ming Jie Holiday,National Holiday,china
06-Apr-24,Saturday,Qing Ming Jie Holiday,National Holiday,china
01-May-24,Wednesday,Labour Day,National Holiday,china
02-May-24,Thursday,Labour Day Holiday,National Holiday,china
03-May-24,Friday,Labour Day Holiday,National Holiday,china
04-May-24,Saturday,Labour Day Holiday,National Holiday,china
05-May-24,Sunday,Labour Day Holiday,National Holiday,china
10-Jun-24,Monday,Dragon Boat Festival,National Holiday,china
15-Sep-24,Sunday,Mid-Autumn Festival Holiday,National Holiday,china
16-Sep-24,Monday,Mid-Autumn Festival Holiday,National Holiday,china
17-Sep-24,Tuesday,Mid-Autumn Festival,National Holiday,china
01-Oct-24,Tuesday,National Day,National Holiday,china
02-Oct-24,Wednesday,National Day Holiday,National Holiday,china
03-Oct-24,Thursday,National Day Holiday,National Holiday,china
04-Oct-24,Friday,National Day Holiday,National Holiday,china
05-Oct-24,Saturday,National Day Holiday,National Holiday,china
06-Oct-24,Sunday,National Day Golden Week holiday,National Holiday,china
07-Oct-24,Monday,National Day Holiday,National Holiday,china
01-Jan-24,Monday,New Year's Day,National Holiday,czech
01-Jan-24,Monday,Restoration of the Czech Independence Day,National Holiday,czech
29-Mar-24,Friday,Good Friday,National Holiday,czech
01-Apr-24,Monday,Easter Monday,National Holiday,czech
01-May-24,Wednesday,Labor Day,National Holiday,czech
08-May-24,Wednesday,Victory in Europe Day,National Holiday,czech
05-Jul-24,Friday,Day of Saints Cyril and Methodius,National Holiday,czech
06-Jul-24,Saturday,Jan Hus Day,National Holiday,czech
28-Sep-24,Saturday,St. Wenceslas Day,National Holiday,czech
28-Oct-24,Monday,Independent Czechoslovak State Day,National Holiday,czech
17-Nov-24,Sunday,Struggle for Freedom and Democracy Day,National Holiday,czech
24-Dec-24,Tuesday,Christmas Eve,National Holiday,czech
25-Dec-24,Wednesday,Christmas Day,National Holiday,czech
26-Dec-24,Thursday,St. Stephen's Day,National Holiday,czech
01-Jan-24,Monday,New Year's Day,National Holiday,denmark
28-Mar-24,Thursday,Maundy Thursday,National Holiday,denmark
29-Mar-24,Friday,Good Friday,National Holiday,denmark
31-Mar-24,Sunday,Easter Sunday,National Holiday,denmark
01-Apr-24,Monday,Easter Monday,National Holiday,denmark
09-May-24,Thursday,Ascension Day,National Holiday,denmark
19-May-24,Sunday,Whit Sunday,National Holiday,denmark
20-May-24,Monday,Whit Monday,National Holiday,denmark
25-Dec-24,Wednesday,Christmas Day,National Holiday,denmark
26-Dec-24,Thursday,2nd Christmas Day,National Holiday,denmark
01-Jan-24,Monday,New Year's Day,National Holiday,finland
06-Jan-24,Saturday,Epiphany,National Holiday,finland
29-Mar-24,Friday,Good Friday,National Holiday,finland
01-Apr-24,Monday,Easter Monday,National Holiday,finland
01-May-24,Wednesday,May Day,National Holiday,finland
09-May-24,Thursday,Ascension Day,National Holiday,finland
22-Jun-24,Saturday,Midsummer,National Holiday,finland
02-Nov-24,Saturday,All Saints' Day,National Holiday,finland
06-Dec-24,Friday,Independence Day,National Holiday,finland
25-Dec-24,Wednesday,Christmas Day,National Holiday,finland
26-Dec-24,Thursday,Boxing Day,National Holiday,finland
01-Jan-24,Monday,New Year's Day,National Holiday,france
01-Apr-24,Monday,Easter Monday,National Holiday,france
01-May-24,Wednesday,Labor Day,National Holiday,france
08-May-24,Wednesday,WWII Victory Day,National Holiday,france
09-May-24,Thursday,Ascension Day,National Holiday,france
20-May-24,Monday,Whit Monday,National Holiday,france
14-Jul-24,Sunday,Bastille Day,National Holiday,france
15-Aug-24,Thursday,Assumption of Mary,National Holiday,france
01-Nov-24,Friday,All Saints' Day,National Holiday,france
11-Nov-24,Monday,Armistice Day,National Holiday,france
25-Dec-24,Wednesday,Christmas Day,National Holiday,france
