Date,Day,Name,Type,Country
01-Jan-28,Saturday,New Year's Day,National Holiday,spain
06-Jan-28,Thursday,Epiphany,National Holiday,spain
14-Apr-28,Friday,Good Friday,National Holiday,spain
01-May-28,Monday,Labor Day,National Holiday,spain
15-Aug-28,Tuesday,Assumption of Mary,National Holiday,spain
12-Oct-28,Thursday,Hispanic Day,National Holiday,spain
01-Nov-28,Wednesday,All Saints' Day,National Holiday,spain
06-Dec-28,Wednesday,Constitution Day,National Holiday,spain
08-Dec-28,Friday,Immaculate Conception,National Holiday,spain
25-Dec-28,Monday,Christmas Day,National Holiday,spain
01-Jan-28,Saturday,New Year's Day,Public Holiday,sweden
06-Jan-28,Thursday,Epiphany,Public Holiday,sweden
14-Apr-28,Friday,Good Friday,Public Holiday,sweden
16-Apr-28,Sunday,Easter Sunday,Public Holiday,sweden
17-Apr-28,Monday,Easter Monday,Public Holiday,sweden
01-May-28,Monday,May 1st,Public Holiday,sweden
25-May-28,Thursday,Ascension Day,Public Holiday,sweden
04-Jun-28,Sunday,Whit Sunday,Public Holiday,sweden
06-Jun-28,Tuesday,National day,Public Holiday,sweden
24-Jun-28,Saturday,Midsummer Day,Public Holiday,sweden
04-Nov-28,Saturday,All Saints' Day,Public Holiday,sweden
25-Dec-28,Monday,Christmas Day,Public Holiday,sweden
26-Dec-28,Tuesday,Boxing Day,Public Holiday,sweden
01-Jan-28,Saturday,Republic Day,National Holiday,taiwan
25-Jan-28,Tuesday,Lunar New Year's Eve,National Holiday,taiwan
26-Jan-28,Wednesday,Lunar New Year's Day,National Holiday,taiwan
27-Jan-28,Thursday,Lunar New Year Holiday,National Holiday,taiwan
28-Jan-28,Friday,Lunar New Year Holiday,National Holiday,taiwan
29-Jan-28,Saturday,Lunar New Year Holiday,National Holiday,taiwan
30-Jan-28,Sunday,Lunar New Year Holiday,National Holiday,taiwan
28-Feb-28,Monday,Peace Memorial Day,National Holiday,taiwan
04-Apr-28,Tuesday,Tomb Sweeping Day,National Holiday,taiwan
04-Apr-28,Tuesday,Children's Day,National Holiday,taiwan
28-May-28,Sunday,Dragon Boat Festival,National Holiday,taiwan
03-Oct-28,Tuesday,Mid-Autumn Festival,National Holiday,taiwan
10-Oct-28,Tuesday,National Day,National Holiday,taiwan
01-Jan-28,Saturday,New Year's Day,National Holiday,thailand
03-Jan-28,Monday,Day off for New Year's Day,National Holiday,thailand
06-Apr-28,Thursday,Chakri Day,National Holiday,thailand
13-Apr-28,Thursday,Songkran,National Holiday,thailand
14-Apr-28,Friday,Songkran Holiday,National Holiday,thailand
15-Apr-28,Saturday,Songkran Holiday,National Holiday,thailand
01-May-28,Monday,Labor Day,National Holiday,thailand
04-May-28,Thursday,Coronation Day,National Holiday,thailand
03-Jun-28,Saturday,Queen Suthida's Birthday,National Holiday,thailand
05-Jun-28,Monday,Day off for Queen Suthida's Birthday,National Holiday,thailand
28-Jul-28,Friday,King Vajiralongkorn's Birthday,National Holiday,thailand
11-Aug-28,Friday,Day off for The Queen Mother's Birthday,National Holiday,thailand
12-Aug-28,Saturday,The Queen Mother's Birthday,National Holiday,thailand
13-Oct-28,Friday,Anniversary of the Death of King Bhumibol,National Holiday,thailand
23-Oct-28,Monday,Chulalongkorn Day,National Holiday,thailand
05-Dec-28,Tuesday,King Bhumibol's Birthday,National Holiday,thailand
10-Dec-28,Sunday,Constitution Day,National Holiday,thailand
11-Dec-28,Monday,Substitute Holiday for Constitution Day,National Holiday,thailand
31-Dec-28,Sunday,New Year's Eve,National Holiday,thailand
