Date,Day,Name,Type,Country
01-Jan-29,Monday,New Year,Public Holiday,north-korea
08-Feb-29,Thursday,Chosun People's Army Foundation Day,Public Holiday,north-korea
13-Feb-29,Tuesday,Seollal,Public Holiday,north-korea
16-Feb-29,Friday,Birth date of Kim Jong Il,Public Holiday,north-korea
08-Mar-29,Thursday,International Women's Day,Public Holiday,north-korea
15-Apr-29,Sunday,Birth Date of Kim Il Sung,Public Holiday,north-korea
01-May-29,Tuesday,May Day,Public Holiday,north-korea
06-Jun-29,Wednesday,Chosun Children's Union Foundation Day,Public Holiday,north-korea
27-Jul-29,Friday,Day of Victory in the Fatherland Liberation War,Public Holiday,north-korea
15-Aug-29,Wednesday,Liberation Day,Public Holiday,north-korea
25-Aug-29,Saturday,Day of Songun,Public Holiday,north-korea
09-Sep-29,Sunday,National Day,Public Holiday,north-korea
10-Oct-29,Wednesday,Party Foundation Day,Public Holiday,north-korea
16-Nov-29,Friday,Mother's Day,Public Holiday,north-korea
27-Dec-29,Thursday,Constitution Day,Public Holiday,north-korea
01-Jan-29,Monday,New Year's Day,Public Holiday,south-korea
13-Feb-29,Tuesday,Seollal,Public Holiday,south-korea
14-Feb-29,Wednesday,Seollal Holiday,Public Holiday,south-korea
01-Mar-29,Thursday,Independence Movement Day,National Holiday,south-korea
05-May-29,Saturday,Children's Day,Public Holiday,south-korea
20-May-29,Sunday,Buddha’s Birthday,Public Holiday,south-korea
21-May-29,Monday,Day off for Buddha’s Birthday,Public Holiday,south-korea
06-Jun-29,Wednesday,Memorial Day,Public Holiday,south-korea
17-Jul-29,Tuesday,Constitution Day,National Holiday,south-korea
15-Aug-29,Wednesday,Liberation Day,National Holiday,south-korea
21-Sep-29,Friday,Chuseok Holiday,Public Holiday,south-korea
22-Sep-29,Saturday,Chuseok,Public Holiday,south-korea
23-Sep-29,Sunday,Chuseok Holiday,Public Holiday,south-korea
24-Sep-29,Monday,Day off for Chuseok Holiday,Public Holiday,south-korea
03-Oct-29,Wednesday,National Foundation Day,National Holiday,south-korea
09-Oct-29,Tuesday,Hangeul Proclamation Day,National Holiday,south-korea
25-Dec-29,Tuesday,Christmas Day,Public Holiday,south-korea
13-Feb-29,Tuesday,Chinese New Year's Day,Federal Public Holiday,malaysia
14-Feb-29,Wednesday,Second Day of Chinese New Year,Federal Public Holiday,malaysia
15-Feb-29,Thursday,Hari Raya Puasa (Tentative Date),Federal Public Holiday,malaysia
16-Feb-29,Friday,Hari Raya Puasa Holiday Day 2 (Tentative Date),Federal Public Holiday,malaysia
24-Apr-29,Tuesday,Hari Raya Haji (Tentative Date),Federal Public Holiday,malaysia
25-Apr-29,Wednesday,Hari Raya Haji (Day 2) (Tentative Date),Federal Public Holiday,malaysia
01-May-29,Tuesday,Labour Day,Federal Public Holiday,malaysia
15-May-29,Tuesday,Muharram (Tentative Date),Federal Public Holiday,malaysia
04-Jun-29,Monday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday,malaysia
24-Jul-29,Tuesday,The Prophet Muhammad's Birthday (Tentative Date),Federal Public Holiday,malaysia
31-Aug-29,Friday,Malaysia's National Day,Federal Public Holiday,malaysia
16-Sep-29,Sunday,Malaysia Day,Federal Public Holiday,malaysia
25-Dec-29,Tuesday,Christmas Day,Federal Public Holiday,malaysia
01-Jan-29,Monday,New Year,Public Holiday,mongolia
08-Mar-29,Thursday,International Women's Day,Public Holiday,mongolia
01-Jun-29,Friday,Children's Day,Public Holiday,mongolia
10-Jul-29,Tuesday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
11-Jul-29,Wednesday,Naadam Holiday (National Day),Public Holiday,mongolia
12-Jul-29,Thursday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
13-Jul-29,Friday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
14-Jul-29,Saturday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
15-Jul-29,Sunday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
26-Nov-29,Monday,Republic Day,Public Holiday,mongolia
29-Dec-29,Saturday,Independence Day,Public Holiday,mongolia
25-Apr-29,Wednesday,Eid al-Adha Holiday (Tentative Date),Government Holiday,morocco
