Date,Day,Name,Type,Country
01-Jan-29,Monday,New Year's Day,National Holiday,portugal
30-Mar-29,Friday,Good Friday,"National Holiday, Christian",portugal
01-Apr-29,Sunday,Easter Sunday,"National Holiday, Christian",portugal
25-Apr-29,Wednesday,Liberty Day,National Holiday,portugal
01-May-29,Tuesday,Labor Day,National Holiday,portugal
31-May-29,Thursday,Corpus Christi,"National Holiday, Christian",portugal
10-Jun-29,Sunday,Portugal Day,National Holiday,portugal
15-Aug-29,Wednesday,Assumption of Mary,"National Holiday, Christian",portugal
05-Oct-29,Friday,Republic Day,National Holiday,portugal
01-Nov-29,Thursday,All Saints' Day,"National Holiday, Christian",portugal
01-Dec-29,Saturday,Restoration of Independence,National Holiday,portugal
08-Dec-29,Saturday,Feast of the Immaculate Conception,"National Holiday, Christian",portugal
25-Dec-29,Tuesday,Christmas Day,"National Holiday, Christian",portugal
01-Jan-29,Monday,New Year's Day,National Holiday,romania
02-Jan-29,Tuesday,Day after New Year's Day,National Holiday,romania
06-Jan-29,Saturday,Epiphany,"National Holiday, Orthodox",romania
07-Jan-29,Sunday,Synaxis of St. John the Baptist,"National Holiday, Orthodox",romania
24-Jan-29,Wednesday,Unification Day,National Holiday,romania
06-Apr-29,Friday,Orthodox Good Friday,"National Holiday, Orthodox",romania
08-Apr-29,Sunday,Orthodox Easter,"National Holiday, Orthodox",romania
09-Apr-29,Monday,Orthodox Easter Monday,"National Holiday, Orthodox",romania
01-May-29,Tuesday,Labor Day,National Holiday,romania
27-May-29,Sunday,Orthodox Pentecost,"National Holiday, Orthodox",romania
28-May-29,Monday,Orthodox Pentecost Monday,"National Holiday, Orthodox",romania
01-Jun-29,Friday,Children's Day,National Holiday,romania
15-Aug-29,Wednesday,St Mary's Day,National Holiday,romania
30-Nov-29,Friday,St Andrew's Day,National Holiday,romania
01-Dec-29,Saturday,National Day,National Holiday,romania
25-Dec-29,Tuesday,Christmas Day,National Holiday,romania
26-Dec-29,Wednesday,Second day of Christmas,National Holiday,romania
01-Jan-29,Monday,New Year's Day,National Holiday,russia
02-Jan-29,Tuesday,New Year Holiday,National Holiday,russia
03-Jan-29,Wednesday,New Year Holiday,National Holiday,russia
04-Jan-29,Thursday,New Year Holiday,National Holiday,russia
05-Jan-29,Friday,New Year Holiday,National Holiday,russia
07-Jan-29,Sunday,Orthodox Christmas Day,"National Holiday, Orthodox",russia
08-Jan-29,Monday,New Year Holiday,National Holiday,russia
23-Feb-29,Friday,Defender of the Fatherland Day,National Holiday,russia
08-Mar-29,Thursday,International Women's Day,National Holiday,russia
30-Apr-29,Monday,Spring and Labor Day Holiday,National Holiday,russia
01-May-29,Tuesday,Spring and Labor Day,National Holiday,russia
09-May-29,Wednesday,Victory Day,National Holiday,russia
11-Jun-29,Monday,Russia Day Weekend,National Holiday,russia
12-Jun-29,Tuesday,Russia Day,National Holiday,russia
04-Nov-29,Sunday,Unity Day,National Holiday,russia
05-Nov-29,Monday,Day off for Unity Day,National Holiday,russia
01-Jan-29,Monday,New Year's Day,National Holiday,slovenia
02-Jan-29,Tuesday,New Year holiday,National Holiday,slovenia
08-Feb-29,Thursday,Prešeren Day,National Holiday,slovenia
01-Apr-29,Sunday,Easter Sunday,National Holiday,slovenia
02-Apr-29,Monday,Easter Monday,National Holiday,slovenia
27-Apr-29,Friday,Day of Uprising Against Occupation,National Holiday,slovenia
01-May-29,Tuesday,Labor Day,National Holiday,slovenia
02-May-29,Wednesday,Labour Day holiday,National Holiday,slovenia
20-May-29,Sunday,Whit Sunday,National Holiday,slovenia
25-Jun-29,Monday,Statehood Day,National Holiday,slovenia
15-Aug-29,Wednesday,Assumption of Mary,National Holiday,slovenia
31-Oct-29,Wednesday,Reformation Day,National Holiday,slovenia
01-Nov-29,Thursday,Remembrance Day,National Holiday,slovenia
25-Dec-29,Tuesday,Christmas Day,National Holiday,slovenia
26-Dec-29,Wednesday,Independence and Unity Day,National Holiday,slovenia
01-Jan-29,Monday,New Year's Day,Public Holiday,south-africa
21-Mar-29,Wednesday,Human Rights Day,Public Holiday,south-africa
30-Mar-29,Friday,Good Friday,Public Holiday,south-africa
02-Apr-29,Monday,Family Day,Public Holiday,south-africa
27-Apr-29,Friday,Freedom Day,Public Holiday,south-africa
01-May-29,Tuesday,Workers' Day,Public Holiday,south-africa
16-Jun-29,Saturday,Youth Day,Public Holiday,south-africa
09-Aug-29,Thursday,National Women's Day,Public Holiday,south-africa
24-Sep-29,Monday,Heritage Day,Public Holiday,south-africa
16-Dec-29,Sunday,Day of Reconciliation,Public Holiday,south-africa
17-Dec-29,Monday,Day off for Day of Reconciliation,Public Holiday,south-africa
25-Dec-29,Tuesday,Christmas Day,Public Holiday,south-africa
26-Dec-29,Wednesday,Day of Goodwill,Public Holiday,south-africa
