Date,Day,Name,Type,Country
01-Jan-21,Friday,New Year's Day,Public Holiday,indonesia
12-Feb-21,Friday,Chinese New Year's Day,Public Holiday,indonesia
11-Mar-21,Thursday,Ascension of the Prophet Muhammad,Public Holiday,indonesia
12-Mar-21,Friday,Joint Holiday (Cuti Bersama),Joint Holiday,indonesia
14-Mar-21,Sunday,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday,indonesia
02-Apr-21,Friday,Good Friday,Public Holiday,indonesia
01-May-21,Saturday,International Labor Day,Public Holiday,indonesia
12-May-21,Wednesday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
13-May-21,Thursday,Idul Fitri,Public Holiday,indonesia
13-May-21,Thursday,Ascension Day of Jesus Christ,Public Holiday,indonesia
14-May-21,Friday,Idul Fitri Holiday,Public Holiday,indonesia
17-May-21,Monday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
18-May-21,Tuesday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
19-May-21,Wednesday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
26-May-21,Wednesday,Waisak Day (Buddha's Anniversary),Public Holiday,indonesia
01-Jun-21,Tuesday,Pancasila Day,National Holiday,indonesia
20-Jul-21,Tuesday,Idul Adha,Public Holiday,indonesia
11-Aug-21,Wednesday,Muharram / Islamic New Year,Public Holiday,indonesia
17-Aug-21,Tuesday,Indonesian Independence Day,Public Holiday,indonesia
19-Oct-21,Tuesday,Maulid Nabi Muhammad,Public Holiday,indonesia
20-Oct-21,Wednesday,Day off for Maulid Nabi Muhammad,Public Holiday,indonesia
25-Dec-21,Saturday,Christmas Day,Public Holiday,indonesia
27-Dec-21,Monday,Boxing Day,Joint Holiday,indonesia
23-Mar-21,Tuesday,Election Day,National Holiday,israel
28-Mar-21,Sunday,Passover (Day 1),"National Holiday, Hebrew",israel
03-Apr-21,Saturday,Passover (Day 7),"National Holiday, Hebrew",israel
15-Apr-21,Thursday,Yom HaAtzmaut,"National Holiday, Hebrew",israel
17-May-21,Monday,Shavuot,"National Holiday, Hebrew",israel
07-Sep-21,Tuesday,Rosh Hashana,"National Holiday, Hebrew",israel
08-Sep-21,Wednesday,Rosh Hashana (Day 2),"National Holiday, Hebrew",israel
16-Sep-21,Thursday,Yom Kippur,"National Holiday, Hebrew",israel
21-Sep-21,Tuesday,Sukkot (Day 1),"National Holiday, Hebrew",israel
28-Sep-21,Tuesday,Shemini Atzeret / Simchat Torah,"National Holiday, Hebrew",israel
01-Jan-21,Friday,New Year's Day,National Holiday,italy
06-Jan-21,Wednesday,Epiphany,National Holiday,italy
04-Apr-21,Sunday,Easter Sunday,National Holiday,italy
05-Apr-21,Monday,Easter Monday,National Holiday,italy
25-Apr-21,Sunday,Liberation Day,National Holiday,italy
01-May-21,Saturday,Labor Day,National Holiday,italy
02-Jun-21,Wednesday,Republic Day,National Holiday,italy
15-Aug-21,Sunday,Assumption of Mary,National Holiday,italy
01-Nov-21,Monday,All Saints' Day,National Holiday,italy
08-Dec-21,Wednesday,Feast of the Immaculate Conception,National Holiday,italy
25-Dec-21,Saturday,Christmas Day,National Holiday,italy
26-Dec-21,Sunday,St. Stephen's Day,National Holiday,italy
01-Jan-21,Friday,New Year's Day,National Holiday,japan
11-Jan-21,Monday,Coming of Age Day,National Holiday,japan
11-Feb-21,Thursday,National Foundation Day,National Holiday,japan
23-Feb-21,Tuesday,Emperor's Birthday,National Holiday,japan
20-Mar-21,Saturday,Spring Equinox,National Holiday,japan
29-Apr-21,Thursday,Shōwa Day,National Holiday,japan
03-May-21,Monday,Constitution Memorial Day,National Holiday,japan
04-May-21,Tuesday,Greenery Day,National Holiday,japan
05-May-21,Wednesday,Children's Day,National Holiday,japan
22-Jul-21,Thursday,Sea Day,National Holiday,japan
23-Jul-21,Friday,Sports Day,National Holiday,japan
08-Aug-21,Sunday,Mountain Day,National Holiday,japan
09-Aug-21,Monday,Day off for Mountain Day,National Holiday,japan
20-Sep-21,Monday,Respect for the Aged Day,National Holiday,japan
23-Sep-21,Thursday,Autumn Equinox,National Holiday,japan
03-Nov-21,Wednesday,Culture Day,National Holiday,japan
23-Nov-21,Tuesday,Labor Thanksgiving Day,National Holiday,japan
