Date,Day,Name,Type,Country
01-Jan-26,Thursday,New Year's Day,National Holiday,romania
02-Jan-26,Friday,Day after New Year's Day,National Holiday,romania
06-Jan-26,Tuesday,Epiphany,"National Holiday, Orthodox",romania
07-Jan-26,Wednesday,Synaxis of St. John the Baptist,"National Holiday, Orthodox",romania
24-Jan-26,Saturday,Unification Day,National Holiday,romania
10-Apr-26,Friday,Orthodox Good Friday,"National Holiday, Orthodox",romania
12-Apr-26,Sunday,Orthodox Easter,"National Holiday, Orthodox",romania
13-Apr-26,Monday,Orthodox Easter Monday,"National Holiday, Orthodox",romania
01-May-26,Friday,Labor Day,National Holiday,romania
31-May-26,Sunday,Orthodox Pentecost,"National Holiday, Orthodox",romania
01-Jun-26,Monday,Orthodox Pentecost Monday,"National Holiday, Orthodox",romania
01-Jun-26,Monday,Children's Day,National Holiday,romania
15-Aug-26,Saturday,St Mary's Day,National Holiday,romania
30-Nov-26,Monday,St Andrew's Day,National Holiday,romania
01-Dec-26,Tuesday,National Day,National Holiday,romania
25-Dec-26,Friday,Christmas Day,National Holiday,romania
26-Dec-26,Saturday,Second day of Christmas,National Holiday,romania
01-Jan-26,Thursday,New Year's Day,National Holiday,portugal
03-Apr-26,Friday,Good Friday,"National Holiday, Christian",portugal
05-Apr-26,Sunday,Easter Sunday,"National Holiday, Christian",portugal
25-Apr-26,Saturday,Liberty Day,National Holiday,portugal
01-May-26,Friday,Labor Day,National Holiday,portugal
04-Jun-26,Thursday,Corpus Christi,"National Holiday, Christian",portugal
10-Jun-26,Wednesday,Portugal Day,National Holiday,portugal
15-Aug-26,Saturday,Assumption of Mary,"National Holiday, Christian",portugal
05-Oct-26,Monday,Republic Day,National Holiday,portugal
01-Nov-26,Sunday,All Saints' Day,"National Holiday, Christian",portugal
01-Dec-26,Tuesday,Restoration of Independence,National Holiday,portugal
08-Dec-26,Tuesday,Feast of the Immaculate Conception,"National Holiday, Christian",portugal
25-Dec-26,Friday,Christmas Day,"National Holiday, Christian",portugal
01-Jan-26,Thursday,New Year's Day,National Holiday,slovenia
02-Jan-26,Friday,New Year holiday,National Holiday,slovenia
08-Feb-26,Sunday,Prešeren Day,National Holiday,slovenia
05-Apr-26,Sunday,Easter Sunday,National Holiday,slovenia
06-Apr-26,Monday,Easter Monday,National Holiday,slovenia
27-Apr-26,Monday,Day of Uprising Against Occupation,National Holiday,slovenia
01-May-26,Friday,Labor Day,National Holiday,slovenia
02-May-26,Saturday,Labour Day holiday,National Holiday,slovenia
24-May-26,Sunday,Whit Sunday,National Holiday,slovenia
25-Jun-26,Thursday,Statehood Day,National Holiday,slovenia
15-Aug-26,Saturday,Assumption of Mary,National Holiday,slovenia
31-Oct-26,Saturday,Reformation Day,National Holiday,slovenia
01-Nov-26,Sunday,Remembrance Day,National Holiday,slovenia
25-Dec-26,Friday,Christmas Day,National Holiday,slovenia
26-Dec-26,Saturday,Independence and Unity Day,National Holiday,slovenia
01-Jan-26,Thursday,New Year's Day,National Holiday,russia
02-Jan-26,Friday,New Year Holiday,National Holiday,russia
05-Jan-26,Monday,New Year Holiday,National Holiday,russia
06-Jan-26,Tuesday,New Year Holiday,National Holiday,russia
07-Jan-26,Wednesday,Orthodox Christmas Day,"National Holiday, Orthodox",russia
08-Jan-26,Thursday,New Year Holiday,National Holiday,russia
09-Jan-26,Friday,Substitute Holiday for New Year Holiday,Substitute Holiday,russia
23-Feb-26,Monday,Defender of the Fatherland Day,National Holiday,russia
08-Mar-26,Sunday,International Women's Day,National Holiday,russia
09-Mar-26,Monday,Day off for International Women's Day,National Holiday,russia
01-May-26,Friday,Spring and Labor Day,National Holiday,russia
09-May-26,Saturday,Victory Day,National Holiday,russia
11-May-26,Monday,Day off for Victory Day,National Holiday,russia
12-Jun-26,Friday,Russia Day,National Holiday,russia
04-Nov-26,Wednesday,Unity Day,National Holiday,russia
31-Dec-26,Thursday,Substitute Holiday for New Year Holiday,Substitute Holiday,russia
01-Jan-26,Thursday,New Year's Day,Public Holiday,south-africa
21-Mar-26,Saturday,Human Rights Day,Public Holiday,south-africa
03-Apr-26,Friday,Good Friday,Public Holiday,south-africa
06-Apr-26,Monday,Family Day,Public Holiday,south-africa
27-Apr-26,Monday,Freedom Day,Public Holiday,south-africa
01-May-26,Friday,Workers' Day,Public Holiday,south-africa
16-Jun-26,Tuesday,Youth Day,Public Holiday,south-africa
09-Aug-26,Sunday,National Women's Day,Public Holiday,south-africa
10-Aug-26,Monday,Day off for National Women's Day,Public Holiday,south-africa
24-Sep-26,Thursday,Heritage Day,Public Holiday,south-africa
16-Dec-26,Wednesday,Day of Reconciliation,Public Holiday,south-africa
25-Dec-26,Friday,Christmas Day,Public Holiday,south-africa
26-Dec-26,Saturday,Day of Goodwill,Public Holiday,south-africa
