Date,Day,Name,Type,Country
01-Jan-29,Monday,New Year's Day,National Holiday,iceland
29-Mar-29,Thursday,Maundy Thursday,National Holiday,iceland
30-Mar-29,Friday,Good Friday,National Holiday,iceland
01-Apr-29,Sunday,Easter Sunday,National Holiday,iceland
02-Apr-29,Monday,Easter Monday,National Holiday,iceland
19-Apr-29,Thursday,First Day of Summer,National Holiday,iceland
01-May-29,Tuesday,Labour Day,National Holiday,iceland
10-May-29,Thursday,Ascension Day,National Holiday,iceland
20-May-29,Sunday,Whit Sunday,National Holiday,iceland
21-May-29,Monday,Whit Monday,National Holiday,iceland
17-Jun-29,Sunday,Icelandic Republic Day,National Holiday,iceland
06-Aug-29,Monday,Commerce Day,National Holiday,iceland
25-Dec-29,Tuesday,Christmas Day,National Holiday,iceland
26-Dec-29,Wednesday,Second Day of Christmas,National Holiday,iceland
01-Jan-29,Monday,New Year's Day,National Holiday,ireland
05-Feb-29,Monday,St. Brigid’s Day,National Holiday,ireland
17-Mar-29,Saturday,St. Patrick's Day,National Holiday,ireland
02-Apr-29,Monday,Easter Monday,National Holiday,ireland
07-May-29,Monday,May Day,National Holiday,ireland
04-Jun-29,Monday,June Bank Holiday,National Holiday,ireland
06-Aug-29,Monday,August Bank Holiday,National Holiday,ireland
29-Oct-29,Monday,October Bank Holiday,National Holiday,ireland
25-Dec-29,Tuesday,Christmas Day,National Holiday,ireland
26-Dec-29,Wednesday,St. Stephen's Day,National Holiday,ireland
01-Jan-29,Monday,New Year's Day,Federal Holiday,us
15-Jan-29,Monday,Martin Luther King Jr. Day,Federal Holiday,us
20-Jan-29,Saturday,Inauguration Day,Federal Holiday,us
19-Feb-29,Monday,Presidents’ Day,Federal Holiday,us
28-May-29,Monday,Memorial Day,Federal Holiday,us
19-Jun-29,Tuesday,Juneteenth,Federal Holiday,us
04-Jul-29,Wednesday,Independence Day,Federal Holiday,us
03-Sep-29,Monday,Labor Day,Federal Holiday,us
08-Oct-29,Monday,Columbus Day,Federal Holiday,us
11-Nov-29,Sunday,Veterans Day,Federal Holiday,us
12-Nov-29,Monday,Veterans Day (substitute),Federal Holiday,us
22-Nov-29,Thursday,Thanksgiving Day,Federal Holiday,us
25-Dec-29,Tuesday,Christmas Day,Federal Holiday,us
