Date,Day,Name,Type,Country
01-Jan-31,Wednesday,New Year's Day,National Holiday,portugal
11-Apr-31,Friday,Good Friday,"National Holiday, Christian",portugal
13-Apr-31,Sunday,Easter Sunday,"National Holiday, Christian",portugal
25-Apr-31,Friday,Liberty Day,National Holiday,portugal
01-May-31,Thursday,Labor Day,National Holiday,portugal
10-Jun-31,Tuesday,Portugal Day,National Holiday,portugal
12-Jun-31,Thursday,Corpus Christi,"National Holiday, Christian",portugal
15-Aug-31,Friday,Assumption of Mary,"National Holiday, Christian",portugal
05-Oct-31,Sunday,Republic Day,National Holiday,portugal
01-Nov-31,Saturday,All Saints' Day,"National Holiday, Christian",portugal
01-Dec-31,Monday,Restoration of Independence,National Holiday,portugal
08-Dec-31,Monday,Feast of the Immaculate Conception,"National Holiday, Christian",portugal
25-Dec-31,Thursday,Christmas Day,"National Holiday, Christian",portugal
01-Jan-31,Wednesday,New Year's Day,National Holiday,romania
02-Jan-31,Thursday,Day after New Year's Day,National Holiday,romania
06-Jan-31,Monday,Epiphany,"National Holiday, Orthodox",romania
07-Jan-31,Tuesday,Synaxis of St. John the Baptist,"National Holiday, Orthodox",romania
24-Jan-31,Friday,Unification Day,National Holiday,romania
11-Apr-31,Friday,Orthodox Good Friday,"National Holiday, Orthodox",romania
13-Apr-31,Sunday,Orthodox Easter,"National Holiday, Orthodox",romania
14-Apr-31,Monday,Orthodox Easter Monday,"National Holiday, Orthodox",romania
01-May-31,Thursday,Labor Day,National Holiday,romania
01-Jun-31,Sunday,Orthodox Pentecost,"National Holiday, Orthodox",romania
01-Jun-31,Sunday,Children's Day,National Holiday,romania
02-Jun-31,Monday,Orthodox Pentecost Monday,"National Holiday, Orthodox",romania
15-Aug-31,Friday,St Mary's Day,National Holiday,romania
30-Nov-31,Sunday,St Andrew's Day,National Holiday,romania
01-Dec-31,Monday,National Day,National Holiday,romania
25-Dec-31,Thursday,Christmas Day,National Holiday,romania
26-Dec-31,Friday,Second day of Christmas,National Holiday,romania
01-Jan-31,Wednesday,New Year's Day,National Holiday,russia
02-Jan-31,Thursday,New Year Holiday,National Holiday,russia
03-Jan-31,Friday,New Year Holiday,National Holiday,russia
06-Jan-31,Monday,New Year Holiday,National Holiday,russia
07-Jan-31,Tuesday,Orthodox Christmas Day,"National Holiday, Orthodox",russia
08-Jan-31,Wednesday,New Year Holiday,National Holiday,russia
23-Feb-31,Sunday,Defender of the Fatherland Day,National Holiday,russia
24-Feb-31,Monday,Day off for Defender of the Fatherland Day,National Holiday,russia
08-Mar-31,Saturday,International Women's Day,National Holiday,russia
10-Mar-31,Monday,Day off for International Women's Day,National Holiday,russia
01-May-31,Thursday,Spring and Labor Day,National Holiday,russia
09-May-31,Friday,Victory Day,National Holiday,russia
12-Jun-31,Thursday,Russia Day,National Holiday,russia
13-Jun-31,Friday,Russia Day Weekend,National Holiday,russia
04-Nov-31,Tuesday,Unity Day,National Holiday,russia
01-Jan-31,Wednesday,New Year's Day,National Holiday,slovenia
02-Jan-31,Thursday,New Year holiday,National Holiday,slovenia
08-Feb-31,Saturday,Prešeren Day,National Holiday,slovenia
13-Apr-31,Sunday,Easter Sunday,National Holiday,slovenia
14-Apr-31,Monday,Easter Monday,National Holiday,slovenia
27-Apr-31,Sunday,Day of Uprising Against Occupation,National Holiday,slovenia
01-May-31,Thursday,Labor Day,National Holiday,slovenia
02-May-31,Friday,Labour Day holiday,National Holiday,slovenia
01-Jun-31,Sunday,Whit Sunday,National Holiday,slovenia
25-Jun-31,Wednesday,Statehood Day,National Holiday,slovenia
15-Aug-31,Friday,Assumption of Mary,National Holiday,slovenia
31-Oct-31,Friday,Reformation Day,National Holiday,slovenia
01-Nov-31,Saturday,Remembrance Day,National Holiday,slovenia
25-Dec-31,Thursday,Christmas Day,National Holiday,slovenia
26-Dec-31,Friday,Independence and Unity Day,National Holiday,slovenia
01-Jan-31,Wednesday,New Year's Day,Public Holiday,south-africa
21-Mar-31,Friday,Human Rights Day,Public Holiday,south-africa
11-Apr-31,Friday,Good Friday,Public Holiday,south-africa
14-Apr-31,Monday,Family Day,Public Holiday,south-africa
27-Apr-31,Sunday,Freedom Day,Public Holiday,south-africa
28-Apr-31,Monday,Freedom Day observed,Public Holiday,south-africa
01-May-31,Thursday,Workers' Day,Public Holiday,south-africa
16-Jun-31,Monday,Youth Day,Public Holiday,south-africa
09-Aug-31,Saturday,National Women's Day,Public Holiday,south-africa
24-Sep-31,Wednesday,Heritage Day,Public Holiday,south-africa
16-Dec-31,Tuesday,Day of Reconciliation,Public Holiday,south-africa
25-Dec-31,Thursday,Christmas Day,Public Holiday,south-africa
26-Dec-31,Friday,Day of Goodwill,Public Holiday,south-africa
