Date,Day,Name,Type,Country
22-Apr-27,Thursday,Passover (Day 1),"National Holiday, Hebrew",israel
28-Apr-27,Wednesday,Passover (Day 7),"National Holiday, Hebrew",israel
12-May-27,Wednesday,Yom HaAtzmaut,"National Holiday, Hebrew",israel
11-Jun-27,Friday,Shavuot,"National Holiday, Hebrew",israel
02-Oct-27,Saturday,Rosh Hashana,"National Holiday, Hebrew",israel
03-Oct-27,Sunday,Rosh Hashana (Day 2),"National Holiday, Hebrew",israel
11-Oct-27,Monday,Yom Kippur,"National Holiday, Hebrew",israel
16-Oct-27,Saturday,Sukkot (Day 1),"National Holiday, Hebrew",israel
23-Oct-27,Saturday,Shemini Atzeret / Simchat Torah,"National Holiday, Hebrew",israel
01-Jan-27,Friday,New Year's Day,National Holiday,italy
06-Jan-27,Wednesday,Epiphany,National Holiday,italy
28-Mar-27,Sunday,Easter Sunday,National Holiday,italy
29-Mar-27,Monday,Easter Monday,National Holiday,italy
25-Apr-27,Sunday,Liberation Day,National Holiday,italy
01-May-27,Saturday,Labor Day,National Holiday,italy
02-Jun-27,Wednesday,Republic Day,National Holiday,italy
15-Aug-27,Sunday,Assumption of Mary,National Holiday,italy
04-Oct-27,Monday,Feast of St Francis of Assisi,National Holiday,italy
01-Nov-27,Monday,All Saints' Day,National Holiday,italy
08-Dec-27,Wednesday,Feast of the Immaculate Conception,National Holiday,italy
25-Dec-27,Saturday,Christmas Day,National Holiday,italy
26-Dec-27,Sunday,St. Stephen's Day,National Holiday,italy
01-Jan-27,Friday,New Year's Day,National Holiday,japan
11-Jan-27,Monday,Coming of Age Day,National Holiday,japan
11-Feb-27,Thursday,National Foundation Day,National Holiday,japan
23-Feb-27,Tuesday,Emperor's Birthday,National Holiday,japan
21-Mar-27,Sunday,Spring Equinox,National Holiday,japan
22-Mar-27,Monday,Spring Equinox observed,National Holiday,japan
29-Apr-27,Thursday,Shōwa Day,National Holiday,japan
03-May-27,Monday,Constitution Memorial Day,National Holiday,japan
04-May-27,Tuesday,Greenery Day,National Holiday,japan
05-May-27,Wednesday,Children's Day,National Holiday,japan
19-Jul-27,Monday,Sea Day,National Holiday,japan
11-Aug-27,Wednesday,Mountain Day,National Holiday,japan
20-Sep-27,Monday,Respect for the Aged Day,National Holiday,japan
23-Sep-27,Thursday,Autumn Equinox,National Holiday,japan
11-Oct-27,Monday,Sports Day,National Holiday,japan
03-Nov-27,Wednesday,Culture Day,National Holiday,japan
23-Nov-27,Tuesday,Labor Thanksgiving Day,National Holiday,japan
