Date,Day,Name,Type,Country
01-Jan-30,Tuesday,New Year's Day,Public Holiday,netherlands
19-Apr-30,Friday,Good Friday,Public Holiday,netherlands
21-Apr-30,Sunday,Easter Sunday,Public Holiday,netherlands
22-Apr-30,Monday,Easter Monday,Public Holiday,netherlands
27-Apr-30,Saturday,King's Birthday,Public Holiday,netherlands
05-May-30,Sunday,Liberation Day,Public Holiday,netherlands
30-May-30,Thursday,Ascension Day,Public Holiday,netherlands
09-Jun-30,Sunday,Whit Sunday,Public Holiday,netherlands
10-Jun-30,Monday,Whit Monday,Public Holiday,netherlands
25-Dec-30,Wednesday,Christmas Day,Public Holiday,netherlands
26-Dec-30,Thursday,Second Day of Christmas,Public Holiday,netherlands
01-May-30,Wednesday,Labor Day,"National Holiday, Flag Day",norway
17-May-30,Friday,17 May Constitution Day (1814),"National Holiday, Flag Day",norway
01-Jan-30,Tuesday,New Year's Day,Regular Holiday,philippines
03-Feb-30,Sunday,Lunar New Year's Day,Special Non-working Holiday,philippines
05-Feb-30,Tuesday,Eid al-Fitr (Tentative Date),Regular Holiday,philippines
09-Apr-30,Tuesday,The Day of Valor,Regular Holiday,philippines
14-Apr-30,Sunday,Eid al-Adha (Tentative Date),Regular Holiday,philippines
18-Apr-30,Thursday,Maundy Thursday,Regular Holiday,philippines
19-Apr-30,Friday,Good Friday,Regular Holiday,philippines
20-Apr-30,Saturday,Black Saturday,Special Non-working Holiday,philippines
01-May-30,Wednesday,Labor Day,Regular Holiday,philippines
12-Jun-30,Wednesday,Independence Day,Regular Holiday,philippines
21-Aug-30,Wednesday,Ninoy Aquino Day,Special Non-working Holiday,philippines
26-Aug-30,Monday,National Heroes Day,Regular Holiday,philippines
01-Nov-30,Friday,All Saints' Day,Special Non-working Holiday,philippines
02-Nov-30,Saturday,All Souls' Day,Special Non-working Holiday,philippines
30-Nov-30,Saturday,Bonifacio Day,Regular Holiday,philippines
08-Dec-30,Sunday,Feast of the Immaculate Conception,Special Non-working Holiday,philippines
24-Dec-30,Tuesday,Christmas Eve,Special Non-working Holiday,philippines
25-Dec-30,Wednesday,Christmas Day,Regular Holiday,philippines
30-Dec-30,Monday,Rizal Day,Regular Holiday,philippines
31-Dec-30,Tuesday,New Year's Eve,Special Non-working Holiday,philippines
01-Jan-30,Tuesday,New Year's Day,National Holiday,poland
06-Jan-30,Sunday,Epiphany,National Holiday,poland
21-Apr-30,Sunday,Easter Sunday,National Holiday,poland
22-Apr-30,Monday,Easter Monday,National Holiday,poland
01-May-30,Wednesday,Labor Day,National Holiday,poland
03-May-30,Friday,Constitution Day,National Holiday,poland
09-Jun-30,Sunday,Whit Sunday,National Holiday,poland
20-Jun-30,Thursday,Corpus Christi,National Holiday,poland
15-Aug-30,Thursday,Assumption of Mary,National Holiday,poland
01-Nov-30,Friday,All Saints' Day,National Holiday,poland
11-Nov-30,Monday,Independence Day,National Holiday,poland
24-Dec-30,Tuesday,Christmas Eve,National Holiday,poland
25-Dec-30,Wednesday,Christmas Day,National Holiday,poland
26-Dec-30,Thursday,Second Day of Christmas,National Holiday,poland
