Date,Day,Name,Type,Country
01-Jan-22,Saturday,New Year,Public Holiday,north-korea
01-Feb-22,Tuesday,Seollal,Public Holiday,north-korea
08-Feb-22,Tuesday,Chosun People's Army Foundation Day,Public Holiday,north-korea
15-Feb-22,Tuesday,Cheongwoldaeboreum,Public Holiday,north-korea
16-Feb-22,Wednesday,Birth date of Kim Jong Il,Public Holiday,north-korea
08-Mar-22,Tuesday,International Women's Day,Public Holiday,north-korea
15-Apr-22,Friday,Birth Date of Kim Il Sung,Public Holiday,north-korea
01-May-22,Sunday,May Day,Public Holiday,north-korea
06-Jun-22,Monday,Chosun Children's Union Foundation Day,Public Holiday,north-korea
27-Jul-22,Wednesday,Day of Victory in the Fatherland Liberation War,Public Holiday,north-korea
15-Aug-22,Monday,Liberation Day,Public Holiday,north-korea
25-Aug-22,Thursday,Day of Songun,Public Holiday,north-korea
09-Sep-22,Friday,National Day,Public Holiday,north-korea
10-Sep-22,Saturday,Chuseok Harvest Festival,Public Holiday,north-korea
10-Oct-22,Monday,Party Foundation Day,Public Holiday,north-korea
16-Nov-22,Wednesday,Mother's Day,Public Holiday,north-korea
27-Dec-22,Tuesday,Constitution Day,Public Holiday,north-korea
01-Jan-22,Saturday,New Year's Day,Public Holiday,south-korea
31-Jan-22,Monday,Seollal Holiday,Public Holiday,south-korea
01-Feb-22,Tuesday,Seollal,Public Holiday,south-korea
02-Feb-22,Wednesday,Seollal Holiday,Public Holiday,south-korea
01-Mar-22,Tuesday,Independence Movement Day,National Holiday,south-korea
09-Mar-22,Wednesday,Presidential Election,Public Holiday,south-korea
05-May-22,Thursday,Children's Day,Public Holiday,south-korea
08-May-22,Sunday,Buddha’s Birthday,Public Holiday,south-korea
01-Jun-22,Wednesday,Local Election Day,Public Holiday,south-korea
06-Jun-22,Monday,Memorial Day,Public Holiday,south-korea
15-Aug-22,Monday,Liberation Day,National Holiday,south-korea
09-Sep-22,Friday,Chuseok Holiday,Public Holiday,south-korea
10-Sep-22,Saturday,Chuseok,Public Holiday,south-korea
11-Sep-22,Sunday,Chuseok Holiday,Public Holiday,south-korea
12-Sep-22,Monday,Day off for Chuseok Holiday,Public Holiday,south-korea
03-Oct-22,Monday,National Foundation Day,National Holiday,south-korea
09-Oct-22,Sunday,Hangeul Proclamation Day,National Holiday,south-korea
10-Oct-22,Monday,Day off for Hangeul Proclamation Day,National Holiday,south-korea
25-Dec-22,Sunday,Christmas Day,Public Holiday,south-korea
01-Feb-22,Tuesday,Chinese New Year's Day,Federal Public Holiday,malaysia
02-Feb-22,Wednesday,Second Day of Chinese New Year,Federal Public Holiday,malaysia
01-May-22,Sunday,Labour Day,Federal Public Holiday,malaysia
02-May-22,Monday,Hari Raya Puasa,Federal Public Holiday,malaysia
03-May-22,Tuesday,Hari Raya Puasa Holiday Day 2,Federal Public Holiday,malaysia
04-May-22,Wednesday,Labour Day observed,Federal Public Holiday,malaysia
15-May-22,Sunday,Wesak Day,Federal Public Holiday,malaysia
06-Jun-22,Monday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday,malaysia
10-Jul-22,Sunday,Hari Raya Haji,Federal Public Holiday,malaysia
10-Jul-22,Sunday,Hari Raya Haji holiday,Federal Public Holiday,malaysia
11-Jul-22,Monday,Hari Raya Haji (Day 2),Federal Public Holiday,malaysia
30-Jul-22,Saturday,Muharram,Federal Public Holiday,malaysia
31-Aug-22,Wednesday,Malaysia's National Day,Federal Public Holiday,malaysia
16-Sep-22,Friday,Malaysia Day,Federal Public Holiday,malaysia
09-Oct-22,Sunday,The Prophet Muhammad's Birthday,Federal Public Holiday,malaysia
24-Oct-22,Monday,Diwali,Federal Public Holiday,malaysia
18-Nov-22,Friday,Election Eve Holiday,Federal Public Holiday,malaysia
19-Nov-22,Saturday,General Elections,Federal Public Holiday,malaysia
28-Nov-22,Monday,Elections Victory Public Holiday,Federal Public Holiday,malaysia
25-Dec-22,Sunday,Christmas Day,Federal Public Holiday,malaysia
26-Dec-22,Monday,Christmas Day observed,Federal Public Holiday,malaysia
01-Jan-22,Saturday,New Year,Public Holiday,mongolia
02-Feb-22,Wednesday,Tsagaan Sar,Public Holiday,mongolia
03-Feb-22,Thursday,Tsagaan Sar Holiday,Public Holiday,mongolia
04-Feb-22,Friday,Tsagaan Sar Holiday,Public Holiday,mongolia
08-Mar-22,Tuesday,International Women's Day,Public Holiday,mongolia
01-Jun-22,Wednesday,Children's Day,Public Holiday,mongolia
14-Jun-22,Tuesday,Great Buddha Day,Public Holiday,mongolia
11-Jul-22,Monday,Naadam Holiday (National Day),Public Holiday,mongolia
12-Jul-22,Tuesday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
13-Jul-22,Wednesday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
14-Jul-22,Thursday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
15-Jul-22,Friday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
24-Nov-22,Thursday,Genghis Khan Day,Public Holiday,mongolia
26-Nov-22,Saturday,Republic Day,Public Holiday,mongolia
29-Dec-22,Thursday,Independence Day,Public Holiday,mongolia
11-Jul-22,Monday,Eid al-Adha Holiday,Government Holiday,morocco
