Date,Day,Name,Type,Country
01-Jan-28,Saturday,New Year's Day,National Holiday,portugal
14-Apr-28,Friday,Good Friday,"National Holiday, Christian",portugal
16-Apr-28,Sunday,Easter Sunday,"National Holiday, Christian",portugal
25-Apr-28,Tuesday,Liberty Day,National Holiday,portugal
01-May-28,Monday,Labor Day,National Holiday,portugal
10-Jun-28,Saturday,Portugal Day,National Holiday,portugal
15-Jun-28,Thursday,Corpus Christi,"National Holiday, Christian",portugal
15-Aug-28,Tuesday,Assumption of Mary,"National Holiday, Christian",portugal
05-Oct-28,Thursday,Republic Day,National Holiday,portugal
01-Nov-28,Wednesday,All Saints' Day,"National Holiday, Christian",portugal
01-Dec-28,Friday,Restoration of Independence,National Holiday,portugal
08-Dec-28,Friday,Feast of the Immaculate Conception,"National Holiday, Christian",portugal
25-Dec-28,Monday,Christmas Day,"National Holiday, Christian",portugal
01-Jan-28,Saturday,New Year's Day,National Holiday,romania
02-Jan-28,Sunday,Day after New Year's Day,National Holiday,romania
06-Jan-28,Thursday,Epiphany,"National Holiday, Orthodox",romania
07-Jan-28,Friday,Synaxis of St. John the Baptist,"National Holiday, Orthodox",romania
24-Jan-28,Monday,Unification Day,National Holiday,romania
14-Apr-28,Friday,Orthodox Good Friday,"National Holiday, Orthodox",romania
16-Apr-28,Sunday,Orthodox Easter,"National Holiday, Orthodox",romania
17-Apr-28,Monday,Orthodox Easter Monday,"National Holiday, Orthodox",romania
01-May-28,Monday,Labor Day,National Holiday,romania
01-Jun-28,Thursday,Children's Day,National Holiday,romania
04-Jun-28,Sunday,Orthodox Pentecost,"National Holiday, Orthodox",romania
05-Jun-28,Monday,Orthodox Pentecost Monday,"National Holiday, Orthodox",romania
15-Aug-28,Tuesday,St Mary's Day,National Holiday,romania
30-Nov-28,Thursday,St Andrew's Day,National Holiday,romania
01-Dec-28,Friday,National Day,National Holiday,romania
25-Dec-28,Monday,Christmas Day,National Holiday,romania
26-Dec-28,Tuesday,Second day of Christmas,National Holiday,romania
01-Jan-28,Saturday,New Year's Day,National Holiday,russia
03-Jan-28,Monday,New Year Holiday,National Holiday,russia
04-Jan-28,Tuesday,New Year Holiday,National Holiday,russia
05-Jan-28,Wednesday,New Year Holiday,National Holiday,russia
06-Jan-28,Thursday,New Year Holiday,National Holiday,russia
07-Jan-28,Friday,Orthodox Christmas Day,"National Holiday, Orthodox",russia
23-Feb-28,Wednesday,Defender of the Fatherland Day,National Holiday,russia
08-Mar-28,Wednesday,International Women's Day,National Holiday,russia
01-May-28,Monday,Spring and Labor Day,National Holiday,russia
09-May-28,Tuesday,Victory Day,National Holiday,russia
12-Jun-28,Monday,Russia Day,National Holiday,russia
04-Nov-28,Saturday,Unity Day,National Holiday,russia
06-Nov-28,Monday,Day off for Unity Day,National Holiday,russia
01-Jan-28,Saturday,New Year's Day,National Holiday,slovenia
02-Jan-28,Sunday,New Year holiday,National Holiday,slovenia
08-Feb-28,Tuesday,Prešeren Day,National Holiday,slovenia
16-Apr-28,Sunday,Easter Sunday,National Holiday,slovenia
17-Apr-28,Monday,Easter Monday,National Holiday,slovenia
27-Apr-28,Thursday,Day of Uprising Against Occupation,National Holiday,slovenia
01-May-28,Monday,Labor Day,National Holiday,slovenia
02-May-28,Tuesday,Labour Day holiday,National Holiday,slovenia
04-Jun-28,Sunday,Whit Sunday,National Holiday,slovenia
25-Jun-28,Sunday,Statehood Day,National Holiday,slovenia
15-Aug-28,Tuesday,Assumption of Mary,National Holiday,slovenia
31-Oct-28,Tuesday,Reformation Day,National Holiday,slovenia
01-Nov-28,Wednesday,Remembrance Day,National Holiday,slovenia
25-Dec-28,Monday,Christmas Day,National Holiday,slovenia
26-Dec-28,Tuesday,Independence and Unity Day,National Holiday,slovenia
01-Jan-28,Saturday,New Year's Day,Public Holiday,south-africa
21-Mar-28,Tuesday,Human Rights Day,Public Holiday,south-africa
14-Apr-28,Friday,Good Friday,Public Holiday,south-africa
17-Apr-28,Monday,Family Day,Public Holiday,south-africa
27-Apr-28,Thursday,Freedom Day,Public Holiday,south-africa
01-May-28,Monday,Workers' Day,Public Holiday,south-africa
16-Jun-28,Friday,Youth Day,Public Holiday,south-africa
09-Aug-28,Wednesday,National Women's Day,Public Holiday,south-africa
24-Sep-28,Sunday,Heritage Day,Public Holiday,south-africa
25-Sep-28,Monday,Day off for Heritage Day,Public Holiday,south-africa
16-Dec-28,Saturday,Day of Reconciliation,Public Holiday,south-africa
25-Dec-28,Monday,Christmas Day,Public Holiday,south-africa
26-Dec-28,Tuesday,Day of Goodwill,Public Holiday,south-africa
