Date,Day,Name,Type,Country
01-Jan-25,Wednesday,New Year's Day,National Holiday,spain
06-Jan-25,Monday,Epiphany,National Holiday,spain
18-Apr-25,Friday,Good Friday,National Holiday,spain
01-May-25,Thursday,Labor Day,National Holiday,spain
15-Aug-25,Friday,Assumption of Mary,National Holiday,spain
01-Nov-25,Saturday,All Saints' Day,National Holiday,spain
06-Dec-25,Saturday,Constitution Day,National Holiday,spain
08-Dec-25,Monday,Immaculate Conception,National Holiday,spain
25-Dec-25,Thursday,Christmas Day,National Holiday,spain
13-Jan-25,Monday,Duruthu Full Moon Poya Day,Public Holiday,sri-lanka
14-Jan-25,Tuesday,Tamil Thai Pongal Day,Public Holiday,sri-lanka
04-Feb-25,Tuesday,National Day,Public Holiday,sri-lanka
12-Feb-25,Wednesday,Navam Full Moon Poya Day,Public Holiday,sri-lanka
26-Feb-25,Wednesday,Mahasivarathri Day,Public Holiday,sri-lanka
13-Mar-25,Thursday,Madin Full Moon Poya Day,Public Holiday,sri-lanka
31-Mar-25,Monday,Eid al-Fitr,Public Holiday,sri-lanka
12-Apr-25,Saturday,Bak Full Moon Poya Day,Public Holiday,sri-lanka
13-Apr-25,Sunday,Sinhala and Tamil New Year's Eve,Public Holiday,sri-lanka
14-Apr-25,Monday,Sinhala and Tamil New Year's Day,Public Holiday,sri-lanka
18-Apr-25,Friday,Good Friday,Public Holiday,sri-lanka
01-May-25,Thursday,May Day,Public Holiday,sri-lanka
12-May-25,Monday,Vesak Full Moon Poya Day,Public Holiday,sri-lanka
13-May-25,Tuesday,Day after Vesak Full Moon Poya Day,Public Holiday,sri-lanka
07-Jun-25,Saturday,Eid al-Adha,Public Holiday,sri-lanka
10-Jun-25,Tuesday,Poson Full Moon Poya Day,Public Holiday,sri-lanka
10-Jul-25,Thursday,Esala Full Moon Poya Day,Public Holiday,sri-lanka
08-Aug-25,Friday,Nikini Full Moon Poya Day,Public Holiday,sri-lanka
05-Sep-25,Friday,Milad-Un-Nabi,Public Holiday,sri-lanka
07-Sep-25,Sunday,Binara Full Moon Poya Day,Public Holiday,sri-lanka
06-Oct-25,Monday,Vap Full Moon Poya Day,Public Holiday,sri-lanka
20-Oct-25,Monday,Deepavali,Public Holiday,sri-lanka
05-Nov-25,Wednesday,Il Full Moon Poya Day,Public Holiday,sri-lanka
28-Nov-25,Friday,Bad Weather Holiday,Government Holiday,sri-lanka
04-Dec-25,Thursday,Unduvap Full Moon Poya Day,Public Holiday,sri-lanka
25-Dec-25,Thursday,Christmas Day,Public Holiday,sri-lanka
01-Jan-25,Wednesday,New Year's Day,Public Holiday,sweden
06-Jan-25,Monday,Epiphany,Public Holiday,sweden
18-Apr-25,Friday,Good Friday,Public Holiday,sweden
20-Apr-25,Sunday,Easter Sunday,Public Holiday,sweden
21-Apr-25,Monday,Easter Monday,Public Holiday,sweden
01-May-25,Thursday,May 1st,Public Holiday,sweden
29-May-25,Thursday,Ascension Day,Public Holiday,sweden
06-Jun-25,Friday,National day,Public Holiday,sweden
08-Jun-25,Sunday,Whit Sunday,Public Holiday,sweden
21-Jun-25,Saturday,Midsummer Day,Public Holiday,sweden
01-Nov-25,Saturday,All Saints' Day,Public Holiday,sweden
25-Dec-25,Thursday,Christmas Day,Public Holiday,sweden
26-Dec-25,Friday,Boxing Day,Public Holiday,sweden
01-Jan-25,Wednesday,Republic Day,National Holiday,taiwan
27-Jan-25,Monday,Lunar New Year Holiday,National Holiday,taiwan
28-Jan-25,Tuesday,Lunar New Year's Eve,National Holiday,taiwan
29-Jan-25,Wednesday,Lunar New Year's Day,National Holiday,taiwan
30-Jan-25,Thursday,Lunar New Year Holiday,National Holiday,taiwan
31-Jan-25,Friday,Lunar New Year Holiday,National Holiday,taiwan
01-Feb-25,Saturday,Lunar New Year Holiday,National Holiday,taiwan
02-Feb-25,Sunday,Lunar New Year Holiday,National Holiday,taiwan
28-Feb-25,Friday,Peace Memorial Day,National Holiday,taiwan
03-Apr-25,Thursday,Children's Day,National Holiday,taiwan
03-Apr-25,Thursday,Children's Day Holiday,National Holiday,taiwan
04-Apr-25,Friday,Tomb Sweeping Day,National Holiday,taiwan
04-Apr-25,Friday,Children's Day,National Holiday,taiwan
30-May-25,Friday,Dragon Boat Festival Holiday,National Holiday,taiwan
31-May-25,Saturday,Dragon Boat Festival,National Holiday,taiwan
29-Sep-25,Monday,Teachers' Day Holiday,National Holiday,taiwan
06-Oct-25,Monday,Mid-Autumn Festival,National Holiday,taiwan
10-Oct-25,Friday,National Day,National Holiday,taiwan
24-Oct-25,Friday,Day off for Taiwan's Retrocession Day,National Holiday,taiwan
25-Dec-25,Thursday,Constitution Day,National Holiday,taiwan
01-Jan-25,Wednesday,New Year's Day,National Holiday,thailand
12-Feb-25,Wednesday,Makha Bucha,National Holiday,thailand
06-Apr-25,Sunday,Chakri Day,National Holiday,thailand
07-Apr-25,Monday,Day off for Chakri Day,National Holiday,thailand
13-Apr-25,Sunday,Songkran,National Holiday,thailand
14-Apr-25,Monday,Songkran Holiday,National Holiday,thailand
15-Apr-25,Tuesday,Songkran Holiday,National Holiday,thailand
16-Apr-25,Wednesday,Songkran Observed,National Holiday,thailand
01-May-25,Thursday,Labor Day,National Holiday,thailand
04-May-25,Sunday,Coronation Day,National Holiday,thailand
05-May-25,Monday,Day off for Coronation Day,National Holiday,thailand
09-May-25,Friday,Royal Ploughing Ceremony Day,Government Holiday,thailand
11-May-25,Sunday,Visakha Bucha,National Holiday,thailand
12-May-25,Monday,Day off for Visakha Bucha,National Holiday,thailand
02-Jun-25,Monday,Bridge Public Holiday,National Holiday,thailand
03-Jun-25,Tuesday,Queen Suthida's Birthday,National Holiday,thailand
10-Jul-25,Thursday,Asalha Bucha,National Holiday,thailand
28-Jul-25,Monday,King Vajiralongkorn's Birthday,National Holiday,thailand
11-Aug-25,Monday,Bridge Public Holiday,National Holiday,thailand
12-Aug-25,Tuesday,The Queen Mother's Birthday,National Holiday,thailand
13-Oct-25,Monday,Anniversary of the Death of King Bhumibol,National Holiday,thailand
23-Oct-25,Thursday,Chulalongkorn Day,National Holiday,thailand
05-Dec-25,Friday,King Bhumibol's Birthday,National Holiday,thailand
10-Dec-25,Wednesday,Constitution Day,National Holiday,thailand
31-Dec-25,Wednesday,New Year's Eve,National Holiday,thailand
