Date,Day,Name,Type,Country
01-Jan-30,Tuesday,New Year's Day,National Holiday,turkey
04-Feb-30,Monday,Ramadan Feast (Tentative Date),National Holiday,turkey
05-Feb-30,Tuesday,Ramadan Feast Holiday (Tentative Date),National Holiday,turkey
06-Feb-30,Wednesday,Ramadan Feast Holiday (Tentative Date),National Holiday,turkey
13-Apr-30,Saturday,Sacrifice Feast (Tentative Date),National Holiday,turkey
14-Apr-30,Sunday,Sacrifice Feast Holiday (Tentative Date),National Holiday,turkey
15-Apr-30,Monday,Sacrifice Feast Holiday (Tentative Date),National Holiday,turkey
16-Apr-30,Tuesday,Sacrifice Feast Holiday (Tentative Date),National Holiday,turkey
23-Apr-30,Tuesday,National Sovereignty and Children's Day,National Holiday,turkey
01-May-30,Wednesday,Labor and Solidarity Day,National Holiday,turkey
19-May-30,Sunday,"Commemoration of Atatürk, Youth and Sports Day",National Holiday,turkey
15-Jul-30,Monday,Democracy and National Unity Day,National Holiday,turkey
30-Aug-30,Friday,Victory Day,National Holiday,turkey
29-Oct-30,Tuesday,Republic Day,National Holiday,turkey
01-Jan-30,Tuesday,International New Year's Day,National Holiday,vietnam
02-Feb-30,Saturday,Vietnamese New Year's Eve,National Holiday,vietnam
03-Feb-30,Sunday,Vietnamese New Year,National Holiday,vietnam
04-Feb-30,Monday,Tet Holiday,National Holiday,vietnam
05-Feb-30,Tuesday,Tet Holiday,National Holiday,vietnam
06-Feb-30,Wednesday,Tet Holiday,National Holiday,vietnam
07-Feb-30,Thursday,Tet Holiday,National Holiday,vietnam
12-Apr-30,Friday,Hung Kings Festival,National Holiday,vietnam
30-Apr-30,Tuesday,Liberation Day/Reunification Day,National Holiday,vietnam
01-May-30,Wednesday,International Labor Day,National Holiday,vietnam
02-Sep-30,Monday,Independence Day,National Holiday,vietnam
24-Nov-30,Sunday,Vietnam Culture Day (Tentative Date),National Holiday,vietnam
01-Jan-30,Tuesday,New Year's Day,Bank Holiday,uk
19-Apr-30,Friday,Good Friday,Bank Holiday,uk
06-May-30,Monday,Early May Bank Holiday,Bank Holiday,uk
27-May-30,Monday,Spring Bank Holiday,Bank Holiday,uk
25-Dec-30,Wednesday,Christmas Day,Bank Holiday,uk
26-Dec-30,Thursday,Boxing Day,Bank Holiday,uk
01-Jan-30,Tuesday,New Year's Day,National Holiday,new-zealand
02-Jan-30,Wednesday,Day after New Year's Day,National Holiday,new-zealand
06-Feb-30,Wednesday,Waitangi Day,National Holiday,new-zealand
19-Apr-30,Friday,Good Friday,National Holiday,new-zealand
22-Apr-30,Monday,Easter Monday,National Holiday,new-zealand
25-Apr-30,Thursday,ANZAC Day,National Holiday,new-zealand
03-Jun-30,Monday,King's Birthday,National Holiday,new-zealand
21-Jun-30,Friday,Matariki,National Holiday,new-zealand
28-Oct-30,Monday,Labour Day,National Holiday,new-zealand
25-Dec-30,Wednesday,Christmas Day,National Holiday,new-zealand
26-Dec-30,Thursday,Boxing Day,National Holiday,new-zealand
