Date,Day,Name,Type,Country
01-Jan-26,Thursday,New Year's Day,Public Holiday,indonesia
16-Jan-26,Friday,Ascension of the Prophet Muhammad,Public Holiday,indonesia
16-Feb-26,Monday,Chinese New Year Joint Holiday,Joint Holiday,indonesia
17-Feb-26,Tuesday,Chinese New Year's Day,Public Holiday,indonesia
18-Mar-26,Wednesday,Joint Holiday for Bali's Day of Silence and Hindu New Year (Nyepi),Joint Holiday,indonesia
19-Mar-26,Thursday,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday,indonesia
20-Mar-26,Friday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
21-Mar-26,Saturday,Idul Fitri,Public Holiday,indonesia
22-Mar-26,Sunday,Idul Fitri Holiday,Public Holiday,indonesia
23-Mar-26,Monday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
24-Mar-26,Tuesday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
03-Apr-26,Friday,Good Friday,Public Holiday,indonesia
05-Apr-26,Sunday,Easter Sunday,Public Holiday,indonesia
01-May-26,Friday,International Labor Day,Public Holiday,indonesia
14-May-26,Thursday,Ascension Day of Jesus Christ,Public Holiday,indonesia
15-May-26,Friday,Joint Holiday after Ascension Day,Joint Holiday,indonesia
27-May-26,Wednesday,Idul Adha (Tentative Date),Public Holiday,indonesia
28-May-26,Thursday,Joint Holiday for Idul Adha,Joint Holiday,indonesia
31-May-26,Sunday,Waisak Day (Buddha's Anniversary) (Tentative Date),Public Holiday,indonesia
01-Jun-26,Monday,Pancasila Day,National Holiday,indonesia
16-Jun-26,Tuesday,Muharram / Islamic New Year (Tentative Date),Public Holiday,indonesia
17-Aug-26,Monday,Indonesian Independence Day,Public Holiday,indonesia
25-Aug-26,Tuesday,Maulid Nabi Muhammad (Tentative Date),Public Holiday,indonesia
24-Dec-26,Thursday,Christmas Eve Joint Holiday,Joint Holiday,indonesia
25-Dec-26,Friday,Christmas Day,Public Holiday,indonesia
02-Apr-26,Thursday,Passover (Day 1),"National Holiday, Hebrew",israel
08-Apr-26,Wednesday,Passover (Day 7),"National Holiday, Hebrew",israel
22-Apr-26,Wednesday,Yom HaAtzmaut,"National Holiday, Hebrew",israel
22-May-26,Friday,Shavuot,"National Holiday, Hebrew",israel
12-Sep-26,Saturday,Rosh Hashana,"National Holiday, Hebrew",israel
13-Sep-26,Sunday,Rosh Hashana (Day 2),"National Holiday, Hebrew",israel
21-Sep-26,Monday,Yom Kippur,"National Holiday, Hebrew",israel
26-Sep-26,Saturday,Sukkot (Day 1),"National Holiday, Hebrew",israel
03-Oct-26,Saturday,Shemini Atzeret / Simchat Torah,"National Holiday, Hebrew",israel
01-Jan-26,Thursday,New Year's Day,National Holiday,italy
06-Jan-26,Tuesday,Epiphany,National Holiday,italy
05-Apr-26,Sunday,Easter Sunday,National Holiday,italy
06-Apr-26,Monday,Easter Monday,National Holiday,italy
25-Apr-26,Saturday,Liberation Day,National Holiday,italy
01-May-26,Friday,Labor Day,National Holiday,italy
02-Jun-26,Tuesday,Republic Day,National Holiday,italy
15-Aug-26,Saturday,Assumption of Mary,National Holiday,italy
04-Oct-26,Sunday,Feast of St Francis of Assisi,National Holiday,italy
01-Nov-26,Sunday,All Saints' Day,National Holiday,italy
08-Dec-26,Tuesday,Feast of the Immaculate Conception,National Holiday,italy
25-Dec-26,Friday,Christmas Day,National Holiday,italy
26-Dec-26,Saturday,St. Stephen's Day,National Holiday,italy
01-Jan-26,Thursday,New Year's Day,National Holiday,japan
12-Jan-26,Monday,Coming of Age Day,National Holiday,japan
11-Feb-26,Wednesday,National Foundation Day,National Holiday,japan
23-Feb-26,Monday,Emperor's Birthday,National Holiday,japan
20-Mar-26,Friday,Spring Equinox,National Holiday,japan
29-Apr-26,Wednesday,Shōwa Day,National Holiday,japan
03-May-26,Sunday,Constitution Memorial Day,National Holiday,japan
04-May-26,Monday,Greenery Day,National Holiday,japan
05-May-26,Tuesday,Children's Day,National Holiday,japan
06-May-26,Wednesday,Constitution Memorial Day observed,National Holiday,japan
20-Jul-26,Monday,Sea Day,National Holiday,japan
11-Aug-26,Tuesday,Mountain Day,National Holiday,japan
21-Sep-26,Monday,Respect for the Aged Day,National Holiday,japan
22-Sep-26,Tuesday,Bridge Public holiday,National Holiday,japan
23-Sep-26,Wednesday,Autumn Equinox,National Holiday,japan
12-Oct-26,Monday,Sports Day,National Holiday,japan
03-Nov-26,Tuesday,Culture Day,National Holiday,japan
23-Nov-26,Monday,Labor Thanksgiving Day,National Holiday,japan
