Date,Day,Name,Type,Country
15-Mar-21,Monday,Clean Monday,Government Holiday,greece
30-Apr-21,Friday,Orthodox Good Friday,Government Holiday,greece
01-Jan-21,Friday,New Year's Day,National Holiday,germany
02-Apr-21,Friday,Good Friday,"National Holiday, Christian",germany
05-Apr-21,Monday,Easter Monday,"National Holiday, Christian",germany
01-May-21,Saturday,May Day,National Holiday,germany
13-May-21,Thursday,Ascension Day,"National Holiday, Christian",germany
24-May-21,Monday,Whit Monday,"National Holiday, Christian",germany
03-Oct-21,Sunday,Day of German Unity,National Holiday,germany
25-Dec-21,Saturday,Christmas Day,"National Holiday, Christian",germany
26-Dec-21,Sunday,Boxing Day,"National Holiday, Christian",germany
01-Jan-21,Friday,New Year's Day,National Holiday,hong-kong
12-Feb-21,Friday,Lunar New Year's Day,National Holiday,hong-kong
13-Feb-21,Saturday,Second Day of Lunar New Year,National Holiday,hong-kong
15-Feb-21,Monday,Fourth Day of Lunar New Year,National Holiday,hong-kong
02-Apr-21,Friday,Good Friday,National Holiday,hong-kong
03-Apr-21,Saturday,Holy Saturday,National Holiday,hong-kong
05-Apr-21,Monday,The Day Following Tomb Sweeping Day,National Holiday,hong-kong
06-Apr-21,Tuesday,The Day Following Easter Monday,National Holiday,hong-kong
01-May-21,Saturday,Labour Day,National Holiday,hong-kong
19-May-21,Wednesday,Buddha's Birthday,National Holiday,hong-kong
14-Jun-21,Monday,Dragon Boat Festival,National Holiday,hong-kong
01-Jul-21,Thursday,Hong Kong Special Administrative Region Establishment Day,National Holiday,hong-kong
22-Sep-21,Wednesday,Day after Mid-Autumn Festival,National Holiday,hong-kong
01-Oct-21,Friday,National Day,National Holiday,hong-kong
14-Oct-21,Thursday,Chung Yeung Festival,National Holiday,hong-kong
25-Dec-21,Saturday,Christmas Day,National Holiday,hong-kong
27-Dec-21,Monday,First Weekday After Christmas Day,National Holiday,hong-kong
01-Jan-21,Friday,New Year's Day,National Holiday,hungary
15-Mar-21,Monday,1848 Revolution Memorial Day,National Holiday,hungary
02-Apr-21,Friday,Good Friday,National Holiday,hungary
05-Apr-21,Monday,Easter Monday,National Holiday,hungary
01-May-21,Saturday,Labor Day,National Holiday,hungary
24-May-21,Monday,Whit Monday,National Holiday,hungary
20-Aug-21,Friday,National Day,National Holiday,hungary
23-Oct-21,Saturday,1956 Revolution Memorial Day,National Holiday,hungary
01-Nov-21,Monday,All Saints' Day,National Holiday,hungary
24-Dec-21,Friday,Christmas Eve,National Holiday,hungary
25-Dec-21,Saturday,Christmas Day,National Holiday,hungary
26-Dec-21,Sunday,Second Day of Christmas,National Holiday,hungary
26-Jan-21,Tuesday,Republic Day,Gazetted Holiday,india
11-Mar-21,Thursday,Maha Shivaratri,Gazetted Holiday,india
29-Mar-21,Monday,Holi,Gazetted Holiday,india
02-Apr-21,Friday,Good Friday,Gazetted Holiday,india
14-Apr-21,Wednesday,Ambedkar Jayanti,Central Government Holiday,india
21-Apr-21,Wednesday,Rama Navami,Gazetted Holiday,india
25-Apr-21,Sunday,Mahavir Jayanti,Gazetted Holiday,india
14-May-21,Friday,Ramzan Id,Gazetted Holiday,india
26-May-21,Wednesday,Buddha Purnima,Gazetted Holiday,india
21-Jul-21,Wednesday,Bakrid,Gazetted Holiday,india
15-Aug-21,Sunday,Independence Day,Gazetted Holiday,india
20-Aug-21,Friday,Muharram/Ashura,Gazetted Holiday,india
30-Aug-21,Monday,Janmashtami,Gazetted Holiday,india
02-Oct-21,Saturday,Mahatma Gandhi Jayanti,Gazetted Holiday,india
15-Oct-21,Friday,Dussehra,Gazetted Holiday,india
19-Oct-21,Tuesday,Milad un-Nabi,Gazetted Holiday,india
04-Nov-21,Thursday,Diwali/Deepavali,Gazetted Holiday,india
19-Nov-21,Friday,Guru Nanak Jayanti,Gazetted Holiday,india
25-Dec-21,Saturday,Christmas,Gazetted Holiday,india
