Date,Day,Name,Type,Country
01-Jan-28,Saturday,New Year,Public Holiday,north-korea
26-Jan-28,Wednesday,Seollal,Public Holiday,north-korea
08-Feb-28,Tuesday,Chosun People's Army Foundation Day,Public Holiday,north-korea
16-Feb-28,Wednesday,Birth date of Kim Jong Il,Public Holiday,north-korea
08-Mar-28,Wednesday,International Women's Day,Public Holiday,north-korea
15-Apr-28,Saturday,Birth Date of Kim Il Sung,Public Holiday,north-korea
01-May-28,Monday,May Day,Public Holiday,north-korea
06-Jun-28,Tuesday,Chosun Children's Union Foundation Day,Public Holiday,north-korea
27-Jul-28,Thursday,Day of Victory in the Fatherland Liberation War,Public Holiday,north-korea
15-Aug-28,Tuesday,Liberation Day,Public Holiday,north-korea
25-Aug-28,Friday,Day of Songun,Public Holiday,north-korea
09-Sep-28,Saturday,National Day,Public Holiday,north-korea
10-Oct-28,Tuesday,Party Foundation Day,Public Holiday,north-korea
16-Nov-28,Thursday,Mother's Day,Public Holiday,north-korea
27-Dec-28,Wednesday,Constitution Day,Public Holiday,north-korea
01-Jan-28,Saturday,New Year's Day,Public Holiday,south-korea
26-Jan-28,Wednesday,Seollal,Public Holiday,south-korea
27-Jan-28,Thursday,Seollal Holiday,Public Holiday,south-korea
01-Mar-28,Wednesday,Independence Movement Day,National Holiday,south-korea
02-May-28,Tuesday,Buddha’s Birthday,Public Holiday,south-korea
05-May-28,Friday,Children's Day,Public Holiday,south-korea
06-Jun-28,Tuesday,Memorial Day,Public Holiday,south-korea
17-Jul-28,Monday,Constitution Day,National Holiday,south-korea
15-Aug-28,Tuesday,Liberation Day,National Holiday,south-korea
02-Oct-28,Monday,Chuseok Holiday,Public Holiday,south-korea
03-Oct-28,Tuesday,Chuseok,Public Holiday,south-korea
03-Oct-28,Tuesday,National Foundation Day,National Holiday,south-korea
04-Oct-28,Wednesday,Chuseok Holiday,Public Holiday,south-korea
09-Oct-28,Monday,Hangeul Proclamation Day,National Holiday,south-korea
25-Dec-28,Monday,Christmas Day,Public Holiday,south-korea
26-Jan-28,Wednesday,Chinese New Year's Day,Federal Public Holiday,malaysia
27-Jan-28,Thursday,Second Day of Chinese New Year,Federal Public Holiday,malaysia
27-Feb-28,Sunday,Hari Raya Puasa (Tentative Date),Federal Public Holiday,malaysia
28-Feb-28,Monday,Hari Raya Puasa Holiday Day 2 (Tentative Date),Federal Public Holiday,malaysia
01-May-28,Monday,Labour Day,Federal Public Holiday,malaysia
05-May-28,Friday,Hari Raya Haji (Tentative Date),Federal Public Holiday,malaysia
06-May-28,Saturday,Hari Raya Haji (Day 2) (Tentative Date),Federal Public Holiday,malaysia
25-May-28,Thursday,Muharram (Tentative Date),Federal Public Holiday,malaysia
05-Jun-28,Monday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday,malaysia
03-Aug-28,Thursday,The Prophet Muhammad's Birthday (Tentative Date),Federal Public Holiday,malaysia
31-Aug-28,Thursday,Malaysia's National Day,Federal Public Holiday,malaysia
16-Sep-28,Saturday,Malaysia Day,Federal Public Holiday,malaysia
25-Dec-28,Monday,Christmas Day,Federal Public Holiday,malaysia
01-Jan-28,Saturday,New Year,Public Holiday,mongolia
08-Mar-28,Wednesday,International Women's Day,Public Holiday,mongolia
01-Jun-28,Thursday,Children's Day,Public Holiday,mongolia
10-Jul-28,Monday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
11-Jul-28,Tuesday,Naadam Holiday (National Day),Public Holiday,mongolia
12-Jul-28,Wednesday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
13-Jul-28,Thursday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
14-Jul-28,Friday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
15-Jul-28,Saturday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
26-Nov-28,Sunday,Republic Day,Public Holiday,mongolia
29-Dec-28,Friday,Independence Day,Public Holiday,mongolia
06-May-28,Saturday,Eid al-Adha Holiday (Tentative Date),Government Holiday,morocco
