Date,Day,Name,Type,Country
01-Jan-30,Tuesday,New Year's Day,National Holiday,portugal
19-Apr-30,Friday,Good Friday,"National Holiday, Christian",portugal
21-Apr-30,Sunday,Easter Sunday,"National Holiday, Christian",portugal
25-Apr-30,Thursday,Liberty Day,National Holiday,portugal
01-May-30,Wednesday,Labor Day,National Holiday,portugal
10-Jun-30,Monday,Portugal Day,National Holiday,portugal
20-Jun-30,Thursday,Corpus Christi,"National Holiday, Christian",portugal
15-Aug-30,Thursday,Assumption of Mary,"National Holiday, Christian",portugal
05-Oct-30,Saturday,Republic Day,National Holiday,portugal
01-Nov-30,Friday,All Saints' Day,"National Holiday, Christian",portugal
01-Dec-30,Sunday,Restoration of Independence,National Holiday,portugal
08-Dec-30,Sunday,Feast of the Immaculate Conception,"National Holiday, Christian",portugal
25-Dec-30,Wednesday,Christmas Day,"National Holiday, Christian",portugal
01-Jan-30,Tuesday,New Year's Day,National Holiday,romania
02-Jan-30,Wednesday,Day after New Year's Day,National Holiday,romania
06-Jan-30,Sunday,Epiphany,"National Holiday, Orthodox",romania
07-Jan-30,Monday,Synaxis of St. John the Baptist,"National Holiday, Orthodox",romania
24-Jan-30,Thursday,Unification Day,National Holiday,romania
26-Apr-30,Friday,Orthodox Good Friday,"National Holiday, Orthodox",romania
28-Apr-30,Sunday,Orthodox Easter,"National Holiday, Orthodox",romania
29-Apr-30,Monday,Orthodox Easter Monday,"National Holiday, Orthodox",romania
01-May-30,Wednesday,Labor Day,National Holiday,romania
01-Jun-30,Saturday,Children's Day,National Holiday,romania
16-Jun-30,Sunday,Orthodox Pentecost,"National Holiday, Orthodox",romania
17-Jun-30,Monday,Orthodox Pentecost Monday,"National Holiday, Orthodox",romania
15-Aug-30,Thursday,St Mary's Day,National Holiday,romania
30-Nov-30,Saturday,St Andrew's Day,National Holiday,romania
01-Dec-30,Sunday,National Day,National Holiday,romania
25-Dec-30,Wednesday,Christmas Day,National Holiday,romania
26-Dec-30,Thursday,Second day of Christmas,National Holiday,romania
01-Jan-30,Tuesday,New Year's Day,National Holiday,russia
02-Jan-30,Wednesday,New Year Holiday,National Holiday,russia
03-Jan-30,Thursday,New Year Holiday,National Holiday,russia
04-Jan-30,Friday,New Year Holiday,National Holiday,russia
07-Jan-30,Monday,Orthodox Christmas Day,"National Holiday, Orthodox",russia
08-Jan-30,Tuesday,New Year Holiday,National Holiday,russia
23-Feb-30,Saturday,Defender of the Fatherland Day,National Holiday,russia
25-Feb-30,Monday,Day off for Defender of the Fatherland Day,National Holiday,russia
08-Mar-30,Friday,International Women's Day,National Holiday,russia
01-May-30,Wednesday,Spring and Labor Day,National Holiday,russia
02-May-30,Thursday,Spring and Labor Day Holiday,National Holiday,russia
03-May-30,Friday,Spring and Labor Day Holiday,National Holiday,russia
09-May-30,Thursday,Victory Day,National Holiday,russia
12-Jun-30,Wednesday,Russia Day,National Holiday,russia
04-Nov-30,Monday,Unity Day,National Holiday,russia
01-Jan-30,Tuesday,New Year's Day,National Holiday,slovenia
02-Jan-30,Wednesday,New Year holiday,National Holiday,slovenia
08-Feb-30,Friday,Prešeren Day,National Holiday,slovenia
21-Apr-30,Sunday,Easter Sunday,National Holiday,slovenia
22-Apr-30,Monday,Easter Monday,National Holiday,slovenia
27-Apr-30,Saturday,Day of Uprising Against Occupation,National Holiday,slovenia
01-May-30,Wednesday,Labor Day,National Holiday,slovenia
02-May-30,Thursday,Labour Day holiday,National Holiday,slovenia
09-Jun-30,Sunday,Whit Sunday,National Holiday,slovenia
25-Jun-30,Tuesday,Statehood Day,National Holiday,slovenia
15-Aug-30,Thursday,Assumption of Mary,National Holiday,slovenia
31-Oct-30,Thursday,Reformation Day,National Holiday,slovenia
01-Nov-30,Friday,Remembrance Day,National Holiday,slovenia
25-Dec-30,Wednesday,Christmas Day,National Holiday,slovenia
26-Dec-30,Thursday,Independence and Unity Day,National Holiday,slovenia
01-Jan-30,Tuesday,New Year's Day,Public Holiday,south-africa
21-Mar-30,Thursday,Human Rights Day,Public Holiday,south-africa
19-Apr-30,Friday,Good Friday,Public Holiday,south-africa
22-Apr-30,Monday,Family Day,Public Holiday,south-africa
27-Apr-30,Saturday,Freedom Day,Public Holiday,south-africa
01-May-30,Wednesday,Workers' Day,Public Holiday,south-africa
16-Jun-30,Sunday,Youth Day,Public Holiday,south-africa
17-Jun-30,Monday,Day off for Youth Day,Public Holiday,south-africa
09-Aug-30,Friday,National Women's Day,Public Holiday,south-africa
24-Sep-30,Tuesday,Heritage Day,Public Holiday,south-africa
16-Dec-30,Monday,Day of Reconciliation,Public Holiday,south-africa
25-Dec-30,Wednesday,Christmas Day,Public Holiday,south-africa
26-Dec-30,Thursday,Day of Goodwill,Public Holiday,south-africa
