Date,Day,Name,Type,Country
18-Mar-24,Monday,Clean Monday,Government Holiday,greece
03-May-24,Friday,Orthodox Good Friday,Government Holiday,greece
01-Jan-24,Monday,New Year's Day,National Holiday,germany
29-Mar-24,Friday,Good Friday,"National Holiday, Christian",germany
01-Apr-24,Monday,Easter Monday,"National Holiday, Christian",germany
01-May-24,Wednesday,May Day,National Holiday,germany
09-May-24,Thursday,Ascension Day,"National Holiday, Christian",germany
20-May-24,Monday,Whit Monday,"National Holiday, Christian",germany
03-Oct-24,Thursday,Day of German Unity,National Holiday,germany
25-Dec-24,Wednesday,Christmas Day,"National Holiday, Christian",germany
26-Dec-24,Thursday,Boxing Day,"National Holiday, Christian",germany
01-Jan-24,Monday,New Year's Day,National Holiday,hong-kong
10-Feb-24,Saturday,Lunar New Year's Day,National Holiday,hong-kong
12-Feb-24,Monday,Third Day of Lunar New Year,National Holiday,hong-kong
13-Feb-24,Tuesday,Fourth Day of Lunar New Year,National Holiday,hong-kong
29-Mar-24,Friday,Good Friday,National Holiday,hong-kong
30-Mar-24,Saturday,Holy Saturday,National Holiday,hong-kong
01-Apr-24,Monday,Easter Monday,National Holiday,hong-kong
04-Apr-24,Thursday,Tomb Sweeping Day,National Holiday,hong-kong
01-May-24,Wednesday,Labour Day,National Holiday,hong-kong
15-May-24,Wednesday,Buddha's Birthday,National Holiday,hong-kong
10-Jun-24,Monday,Dragon Boat Festival,National Holiday,hong-kong
01-Jul-24,Monday,Hong Kong Special Administrative Region Establishment Day,National Holiday,hong-kong
18-Sep-24,Wednesday,Day after Mid-Autumn Festival,National Holiday,hong-kong
01-Oct-24,Tuesday,National Day,National Holiday,hong-kong
11-Oct-24,Friday,Chung Yeung Festival,National Holiday,hong-kong
25-Dec-24,Wednesday,Christmas Day,National Holiday,hong-kong
26-Dec-24,Thursday,First Weekday After Christmas Day,National Holiday,hong-kong
01-Jan-24,Monday,New Year's Day,National Holiday,hungary
15-Mar-24,Friday,1848 Revolution Memorial Day,National Holiday,hungary
29-Mar-24,Friday,Good Friday,National Holiday,hungary
01-Apr-24,Monday,Easter Monday,National Holiday,hungary
01-May-24,Wednesday,Labor Day,National Holiday,hungary
20-May-24,Monday,Whit Monday,National Holiday,hungary
19-Aug-24,Monday,National Day Holiday,National Holiday,hungary
20-Aug-24,Tuesday,National Day,National Holiday,hungary
23-Oct-24,Wednesday,1956 Revolution Memorial Day,National Holiday,hungary
01-Nov-24,Friday,All Saints' Day,National Holiday,hungary
24-Dec-24,Tuesday,Christmas Eve,National Holiday,hungary
25-Dec-24,Wednesday,Christmas Day,National Holiday,hungary
26-Dec-24,Thursday,Second Day of Christmas,National Holiday,hungary
27-Dec-24,Friday,Christmas Holiday,National Holiday,hungary
26-Jan-24,Friday,Republic Day,Gazetted Holiday,india
25-Mar-24,Monday,Holi,Gazetted Holiday,india
29-Mar-24,Friday,Good Friday,Gazetted Holiday,india
11-Apr-24,Thursday,Ramzan Id,Gazetted Holiday,india
14-Apr-24,Sunday,Ambedkar Jayanti,Central Government Holiday,india
17-Apr-24,Wednesday,Rama Navami,Gazetted Holiday,india
21-Apr-24,Sunday,Mahavir Jayanti,Gazetted Holiday,india
23-May-24,Thursday,Buddha Purnima,Gazetted Holiday,india
17-Jun-24,Monday,Bakrid,Gazetted Holiday,india
17-Jul-24,Wednesday,Muharram/Ashura,Gazetted Holiday,india
15-Aug-24,Thursday,Independence Day,Gazetted Holiday,india
26-Aug-24,Monday,Janmashtami,Gazetted Holiday,india
16-Sep-24,Monday,Milad un-Nabi,Gazetted Holiday,india
02-Oct-24,Wednesday,Mahatma Gandhi Jayanti,Gazetted Holiday,india
12-Oct-24,Saturday,Dussehra,Gazetted Holiday,india
31-Oct-24,Thursday,Diwali/Deepavali,Gazetted Holiday,india
15-Nov-24,Friday,Guru Nanak Jayanti,Gazetted Holiday,india
25-Dec-24,Wednesday,Christmas,Gazetted Holiday,india
