Date,Day,Name,Type,Country
01-Jan-27,Friday,New Year's Day,National Holiday,spain
06-Jan-27,Wednesday,Epiphany,National Holiday,spain
26-Mar-27,Friday,Good Friday,National Holiday,spain
01-May-27,Saturday,Labor Day,National Holiday,spain
15-Aug-27,Sunday,Assumption of Mary,National Holiday,spain
16-Aug-27,Monday,Assumption observed,National Holiday,spain
12-Oct-27,Tuesday,Hispanic Day,National Holiday,spain
01-Nov-27,Monday,All Saints' Day,National Holiday,spain
06-Dec-27,Monday,Constitution Day,National Holiday,spain
08-Dec-27,Wednesday,Immaculate Conception,National Holiday,spain
25-Dec-27,Saturday,Christmas Day,National Holiday,spain
01-Jan-27,Friday,New Year's Day,Public Holiday,sweden
06-Jan-27,Wednesday,Epiphany,Public Holiday,sweden
26-Mar-27,Friday,Good Friday,Public Holiday,sweden
28-Mar-27,Sunday,Easter Sunday,Public Holiday,sweden
29-Mar-27,Monday,Easter Monday,Public Holiday,sweden
01-May-27,Saturday,May 1st,Public Holiday,sweden
06-May-27,Thursday,Ascension Day,Public Holiday,sweden
16-May-27,Sunday,Whit Sunday,Public Holiday,sweden
06-Jun-27,Sunday,National day,Public Holiday,sweden
26-Jun-27,Saturday,Midsummer Day,Public Holiday,sweden
06-Nov-27,Saturday,All Saints' Day,Public Holiday,sweden
25-Dec-27,Saturday,Christmas Day,Public Holiday,sweden
26-Dec-27,Sunday,Boxing Day,Public Holiday,sweden
01-Jan-27,Friday,Republic Day,National Holiday,taiwan
05-Feb-27,Friday,Lunar New Year's Eve,National Holiday,taiwan
06-Feb-27,Saturday,Lunar New Year's Day,National Holiday,taiwan
07-Feb-27,Sunday,Lunar New Year Holiday,National Holiday,taiwan
08-Feb-27,Monday,Lunar New Year Holiday,National Holiday,taiwan
09-Feb-27,Tuesday,Lunar New Year Holiday,National Holiday,taiwan
10-Feb-27,Wednesday,Lunar New Year Holiday,National Holiday,taiwan
28-Feb-27,Sunday,Peace Memorial Day,National Holiday,taiwan
01-Mar-27,Monday,Peace Memorial Day Holiday,National Holiday,taiwan
04-Apr-27,Sunday,Children's Day,National Holiday,taiwan
05-Apr-27,Monday,Tomb Sweeping Day,National Holiday,taiwan
05-Apr-27,Monday,Children's Day Holiday,National Holiday,taiwan
09-Jun-27,Wednesday,Dragon Boat Festival,National Holiday,taiwan
15-Sep-27,Wednesday,Mid-Autumn Festival,National Holiday,taiwan
10-Oct-27,Sunday,National Day,National Holiday,taiwan
11-Oct-27,Monday,National Day Holiday,National Holiday,taiwan
31-Dec-27,Friday,Republic Day Holiday,National Holiday,taiwan
01-Jan-27,Friday,New Year's Day,National Holiday,thailand
06-Apr-27,Tuesday,Chakri Day,National Holiday,thailand
13-Apr-27,Tuesday,Songkran,National Holiday,thailand
14-Apr-27,Wednesday,Songkran Holiday,National Holiday,thailand
15-Apr-27,Thursday,Songkran Holiday,National Holiday,thailand
01-May-27,Saturday,Labor Day,National Holiday,thailand
03-May-27,Monday,Labor Day observed,National Holiday,thailand
04-May-27,Tuesday,Coronation Day,National Holiday,thailand
03-Jun-27,Thursday,Queen Suthida's Birthday,National Holiday,thailand
28-Jul-27,Wednesday,King Vajiralongkorn's Birthday,National Holiday,thailand
12-Aug-27,Thursday,The Queen Mother's Birthday,National Holiday,thailand
13-Oct-27,Wednesday,Anniversary of the Death of King Bhumibol,National Holiday,thailand
23-Oct-27,Saturday,Chulalongkorn Day,National Holiday,thailand
25-Oct-27,Monday,Day off for Chulalongkorn Day,National Holiday,thailand
05-Dec-27,Sunday,King Bhumibol's Birthday,National Holiday,thailand
06-Dec-27,Monday,King Bhumibol's Birthday observed,National Holiday,thailand
10-Dec-27,Friday,Constitution Day,National Holiday,thailand
31-Dec-27,Friday,New Year's Eve,National Holiday,thailand
