Date,Day,Name,Type,Country
01-Jan-25,Wednesday,New Year's Day,Public Holiday,netherlands
18-Apr-25,Friday,Good Friday,Public Holiday,netherlands
20-Apr-25,Sunday,Easter Sunday,Public Holiday,netherlands
21-Apr-25,Monday,Easter Monday,Public Holiday,netherlands
26-Apr-25,Saturday,King's Birthday,Public Holiday,netherlands
05-May-25,Monday,Liberation Day,Public Holiday,netherlands
29-May-25,Thursday,Ascension Day,Public Holiday,netherlands
08-Jun-25,Sunday,Whit Sunday,Public Holiday,netherlands
09-Jun-25,Monday,Whit Monday,Public Holiday,netherlands
25-Dec-25,Thursday,Christmas Day,Public Holiday,netherlands
26-Dec-25,Friday,Second Day of Christmas,Public Holiday,netherlands
01-May-25,Thursday,Labor Day,"National Holiday, Flag Day",norway
17-May-25,Saturday,17 May Constitution Day (1814),"National Holiday, Flag Day",norway
05-Feb-25,Wednesday,Kashmir Day,Public Holiday,pakistan
23-Mar-25,Sunday,Pakistan Day,Public Holiday,pakistan
31-Mar-25,Monday,Eid-ul-Fitr,Public Holiday,pakistan
01-Apr-25,Tuesday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
02-Apr-25,Wednesday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
01-May-25,Thursday,Labour Day,Public Holiday,pakistan
28-May-25,Wednesday,Youm-i-Takbeer,National Holiday,pakistan
06-Jun-25,Friday,Chand Raat Holiday,Public Holiday,pakistan
07-Jun-25,Saturday,Eid al-Adha,Public Holiday,pakistan
08-Jun-25,Sunday,Eid al-Adha Holiday,Public Holiday,pakistan
09-Jun-25,Monday,Eid al-Adha Holiday,Public Holiday,pakistan
05-Jul-25,Saturday,Ashura Holiday,Public Holiday,pakistan
06-Jul-25,Sunday,Ashura,Public Holiday,pakistan
14-Aug-25,Thursday,Independence Day,Public Holiday,pakistan
06-Sep-25,Saturday,Eid Milad un-Nabi,Public Holiday,pakistan
09-Nov-25,Sunday,Iqbal Day,Public Holiday,pakistan
25-Dec-25,Thursday,Christmas Day,Public Holiday,pakistan
25-Dec-25,Thursday,Quaid-e-Azam Day,Public Holiday,pakistan
01-Jan-25,Wednesday,New Year's Day,Regular Holiday,philippines
29-Jan-25,Wednesday,Lunar New Year's Day,Special Non-working Holiday,philippines
01-Apr-25,Tuesday,Eid al-Fitr Holiday,Regular Holiday,philippines
09-Apr-25,Wednesday,The Day of Valor,Regular Holiday,philippines
17-Apr-25,Thursday,Maundy Thursday,Regular Holiday,philippines
18-Apr-25,Friday,Good Friday,Regular Holiday,philippines
19-Apr-25,Saturday,Black Saturday,Special Non-working Holiday,philippines
01-May-25,Thursday,Labor Day,Regular Holiday,philippines
12-May-25,Monday,National Elections,Special Non-working Holiday,philippines
06-Jun-25,Friday,Eid al-Adha,Regular Holiday,philippines
12-Jun-25,Thursday,Independence Day,Regular Holiday,philippines
27-Jul-25,Sunday,Founding Anniversary of Iglesia ni Cristo,Special Non-working Holiday,philippines
21-Aug-25,Thursday,Ninoy Aquino Day,Special Non-working Holiday,philippines
25-Aug-25,Monday,National Heroes Day,Regular Holiday,philippines
31-Oct-25,Friday,Reformation Day,Special Non-working Holiday,philippines
01-Nov-25,Saturday,All Saints' Day,Special Non-working Holiday,philippines
30-Nov-25,Sunday,Bonifacio Day,Regular Holiday,philippines
08-Dec-25,Monday,Feast of the Immaculate Conception,Special Non-working Holiday,philippines
24-Dec-25,Wednesday,Christmas Eve,Special Non-working Holiday,philippines
25-Dec-25,Thursday,Christmas Day,Regular Holiday,philippines
30-Dec-25,Tuesday,Rizal Day,Regular Holiday,philippines
31-Dec-25,Wednesday,New Year's Eve,Special Non-working Holiday,philippines
01-Jan-25,Wednesday,New Year's Day,National Holiday,poland
06-Jan-25,Monday,Epiphany,National Holiday,poland
20-Apr-25,Sunday,Easter Sunday,National Holiday,poland
21-Apr-25,Monday,Easter Monday,National Holiday,poland
01-May-25,Thursday,Labor Day,National Holiday,poland
03-May-25,Saturday,Constitution Day,National Holiday,poland
08-Jun-25,Sunday,Whit Sunday,National Holiday,poland
19-Jun-25,Thursday,Corpus Christi,National Holiday,poland
15-Aug-25,Friday,Assumption of Mary,National Holiday,poland
01-Nov-25,Saturday,All Saints' Day,National Holiday,poland
11-Nov-25,Tuesday,Independence Day,National Holiday,poland
24-Dec-25,Wednesday,Christmas Eve,National Holiday,poland
25-Dec-25,Thursday,Christmas Day,National Holiday,poland
26-Dec-25,Friday,Second Day of Christmas,National Holiday,poland
