Date,Day,Name,Type,Country
01-Jan-29,Monday,New Year's Day,National Holiday,spain
06-Jan-29,Saturday,Epiphany,National Holiday,spain
30-Mar-29,Friday,Good Friday,National Holiday,spain
01-May-29,Tuesday,Labor Day,National Holiday,spain
15-Aug-29,Wednesday,Assumption of Mary,National Holiday,spain
12-Oct-29,Friday,Hispanic Day,National Holiday,spain
01-Nov-29,Thursday,All Saints' Day,National Holiday,spain
06-Dec-29,Thursday,Constitution Day,National Holiday,spain
08-Dec-29,Saturday,Immaculate Conception,National Holiday,spain
25-Dec-29,Tuesday,Christmas Day,National Holiday,spain
01-Jan-29,Monday,New Year's Day,Public Holiday,sweden
06-Jan-29,Saturday,Epiphany,Public Holiday,sweden
30-Mar-29,Friday,Good Friday,Public Holiday,sweden
01-Apr-29,Sunday,Easter Sunday,Public Holiday,sweden
02-Apr-29,Monday,Easter Monday,Public Holiday,sweden
01-May-29,Tuesday,May 1st,Public Holiday,sweden
10-May-29,Thursday,Ascension Day,Public Holiday,sweden
20-May-29,Sunday,Whit Sunday,Public Holiday,sweden
06-Jun-29,Wednesday,National day,Public Holiday,sweden
23-Jun-29,Saturday,Midsummer Day,Public Holiday,sweden
03-Nov-29,Saturday,All Saints' Day,Public Holiday,sweden
25-Dec-29,Tuesday,Christmas Day,Public Holiday,sweden
26-Dec-29,Wednesday,Boxing Day,Public Holiday,sweden
01-Jan-29,Monday,Republic Day,National Holiday,taiwan
12-Feb-29,Monday,Lunar New Year's Eve,National Holiday,taiwan
13-Feb-29,Tuesday,Lunar New Year's Day,National Holiday,taiwan
14-Feb-29,Wednesday,Lunar New Year Holiday,National Holiday,taiwan
15-Feb-29,Thursday,Lunar New Year Holiday,National Holiday,taiwan
16-Feb-29,Friday,Lunar New Year Holiday,National Holiday,taiwan
17-Feb-29,Saturday,Lunar New Year Holiday,National Holiday,taiwan
28-Feb-29,Wednesday,Peace Memorial Day,National Holiday,taiwan
04-Apr-29,Wednesday,Children's Day,National Holiday,taiwan
05-Apr-29,Thursday,Tomb Sweeping Day,National Holiday,taiwan
16-Jun-29,Saturday,Dragon Boat Festival,National Holiday,taiwan
22-Sep-29,Saturday,Mid-Autumn Festival,National Holiday,taiwan
10-Oct-29,Wednesday,National Day,National Holiday,taiwan
01-Jan-29,Monday,New Year's Day,National Holiday,thailand
06-Apr-29,Friday,Chakri Day,National Holiday,thailand
13-Apr-29,Friday,Songkran,National Holiday,thailand
14-Apr-29,Saturday,Songkran Holiday,National Holiday,thailand
15-Apr-29,Sunday,Songkran Holiday,National Holiday,thailand
16-Apr-29,Monday,Songkran Observed,National Holiday,thailand
01-May-29,Tuesday,Labor Day,National Holiday,thailand
04-May-29,Friday,Coronation Day,National Holiday,thailand
03-Jun-29,Sunday,Queen Suthida's Birthday,National Holiday,thailand
04-Jun-29,Monday,Day off for Queen Suthida's Birthday,National Holiday,thailand
28-Jul-29,Saturday,King Vajiralongkorn's Birthday,National Holiday,thailand
30-Jul-29,Monday,Day off for King Vajiralongkorn's Birthday,National Holiday,thailand
12-Aug-29,Sunday,The Queen Mother's Birthday,National Holiday,thailand
13-Aug-29,Monday,Day off for The Queen Mother's Birthday,National Holiday,thailand
13-Oct-29,Saturday,Anniversary of the Death of King Bhumibol,National Holiday,thailand
15-Oct-29,Monday,Day off for Anniversary of the Death of King Bhumibol,National Holiday,thailand
23-Oct-29,Tuesday,Chulalongkorn Day,National Holiday,thailand
05-Dec-29,Wednesday,King Bhumibol's Birthday,National Holiday,thailand
10-Dec-29,Monday,Constitution Day,National Holiday,thailand
31-Dec-29,Monday,New Year's Eve,National Holiday,thailand
