Date,Day,Name,Type,Country
01-Jan-29,Monday,New Year's Day,National Holiday,australia
26-Jan-29,Friday,Australia Day,National Holiday,australia
30-Mar-29,Friday,Good Friday,National Holiday,australia
02-Apr-29,Monday,Easter Monday,National Holiday,australia
25-Apr-29,Wednesday,ANZAC Day,National Holiday,australia
25-Dec-29,Tuesday,Christmas Day,National Holiday,australia
26-Dec-29,Wednesday,Boxing Day,National Holiday,australia
01-Jan-29,Monday,New Year's Day,National Holiday,brazil
12-Feb-29,Monday,Carnival Monday,Government Holiday,brazil
13-Feb-29,Tuesday,Carnival Tuesday,Government Holiday,brazil
14-Feb-29,Wednesday,Carnival end (until 2pm),Government Holiday,brazil
30-Mar-29,Friday,Good Friday,National Holiday,brazil
21-Apr-29,Saturday,Tiradentes Day,National Holiday,brazil
01-May-29,Tuesday,Labor Day,National Holiday,brazil
31-May-29,Thursday,Corpus Christi,Government Holiday,brazil
07-Sep-29,Friday,Independence Day,National Holiday,brazil
12-Oct-29,Friday,Our Lady of Aparecida / Children's Day,National Holiday,brazil
28-Oct-29,Sunday,Public Service Holiday,Government Holiday,brazil
02-Nov-29,Friday,All Souls' Day,National Holiday,brazil
15-Nov-29,Thursday,Republic Proclamation Day,National Holiday,brazil
20-Nov-29,Tuesday,Black Awareness Day,National Holiday,brazil
24-Dec-29,Monday,Christmas Eve (from 2pm),Government Holiday,brazil
25-Dec-29,Tuesday,Christmas Day,National Holiday,brazil
31-Dec-29,Monday,New Year's Eve (from 2pm),Government Holiday,brazil
01-Jan-29,Monday,New Year's Day,National Holiday,bulgaria
03-Mar-29,Saturday,Liberation Day,National Holiday,bulgaria
05-Mar-29,Monday,Day off for Liberation Day,National Holiday,bulgaria
06-Apr-29,Friday,Good Friday,National Holiday,bulgaria
07-Apr-29,Saturday,Holy Saturday,National Holiday,bulgaria
08-Apr-29,Sunday,Easter Sunday,National Holiday,bulgaria
09-Apr-29,Monday,Easter Monday,National Holiday,bulgaria
01-May-29,Tuesday,Labor Day,National Holiday,bulgaria
06-May-29,Sunday,St. George's Day,National Holiday,bulgaria
07-May-29,Monday,Day off for St. George's Day,National Holiday,bulgaria
24-May-29,Thursday,Culture and Literacy Day,National Holiday,bulgaria
06-Sep-29,Thursday,Unification Day,National Holiday,bulgaria
22-Sep-29,Saturday,Independence Day,National Holiday,bulgaria
24-Sep-29,Monday,Day off for Independence Day,National Holiday,bulgaria
24-Dec-29,Monday,Christmas Eve,National Holiday,bulgaria
25-Dec-29,Tuesday,Christmas Day,National Holiday,bulgaria
26-Dec-29,Wednesday,Second day of Christmas,National Holiday,bulgaria
01-Jan-29,Monday,New Year's Day,Statutory Holiday,canada
30-Mar-29,Friday,Good Friday,Statutory Holiday,canada
02-Apr-29,Monday,Easter Monday,Statutory Holiday,canada
21-May-29,Monday,Victoria Day,Statutory Holiday,canada
01-Jul-29,Sunday,Canada Day,Statutory Holiday,canada
02-Jul-29,Monday,Day off for Canada Day,Statutory Holiday,canada
03-Sep-29,Monday,Labour Day,Statutory Holiday,canada
30-Sep-29,Sunday,National Day for Truth and Reconciliation,Federal Employees Holiday,canada
08-Oct-29,Monday,Thanksgiving Day,Statutory Holiday,canada
11-Nov-29,Sunday,Remembrance Day,Statutory Holiday,canada
12-Nov-29,Monday,Remembrance Day observed,Statutory Holiday,canada
25-Dec-29,Tuesday,Christmas Day,Statutory Holiday,canada
26-Dec-29,Wednesday,Boxing Day,Statutory Holiday,canada
