Date,Day,Name,Type,Country
01-Jan-24,Monday,New Year,Public Holiday,north-korea
08-Feb-24,Thursday,Chosun People's Army Foundation Day,Public Holiday,north-korea
10-Feb-24,Saturday,Seollal,Public Holiday,north-korea
16-Feb-24,Friday,Birth date of Kim Jong Il,Public Holiday,north-korea
08-Mar-24,Friday,International Women's Day,Public Holiday,north-korea
15-Apr-24,Monday,Birth Date of Kim Il Sung,Public Holiday,north-korea
01-May-24,Wednesday,May Day,Public Holiday,north-korea
06-Jun-24,Thursday,Chosun Children's Union Foundation Day,Public Holiday,north-korea
27-Jul-24,Saturday,Day of Victory in the Fatherland Liberation War,Public Holiday,north-korea
15-Aug-24,Thursday,Liberation Day,Public Holiday,north-korea
25-Aug-24,Sunday,Day of Songun,Public Holiday,north-korea
09-Sep-24,Monday,National Day,Public Holiday,north-korea
17-Sep-24,Tuesday,Chuseok Harvest Festival,Public Holiday,north-korea
10-Oct-24,Thursday,Party Foundation Day,Public Holiday,north-korea
16-Nov-24,Saturday,Mother's Day,Public Holiday,north-korea
27-Dec-24,Friday,Constitution Day,Public Holiday,north-korea
01-Jan-24,Monday,New Year's Day,Public Holiday,south-korea
09-Feb-24,Friday,Seollal Holiday,Public Holiday,south-korea
10-Feb-24,Saturday,Seollal,Public Holiday,south-korea
11-Feb-24,Sunday,Seollal Holiday,Public Holiday,south-korea
12-Feb-24,Monday,Seollal Holiday,Public Holiday,south-korea
01-Mar-24,Friday,Independence Movement Day,National Holiday,south-korea
10-Apr-24,Wednesday,National Assembly Election Day,Public Holiday,south-korea
05-May-24,Sunday,Children's Day,Public Holiday,south-korea
06-May-24,Monday,Day off for Children's Day,Public Holiday,south-korea
15-May-24,Wednesday,Buddha’s Birthday,Public Holiday,south-korea
06-Jun-24,Thursday,Memorial Day,Public Holiday,south-korea
15-Aug-24,Thursday,Liberation Day,National Holiday,south-korea
17-Sep-24,Tuesday,Chuseok,Public Holiday,south-korea
18-Sep-24,Wednesday,Chuseok Holiday,Public Holiday,south-korea
01-Oct-24,Tuesday,Armed Forces Day,National Holiday,south-korea
03-Oct-24,Thursday,National Foundation Day,National Holiday,south-korea
09-Oct-24,Wednesday,Hangeul Proclamation Day,National Holiday,south-korea
25-Dec-24,Wednesday,Christmas Day,Public Holiday,south-korea
10-Feb-24,Saturday,Chinese New Year's Day,Federal Public Holiday,malaysia
11-Feb-24,Sunday,Second Day of Chinese New Year,Federal Public Holiday,malaysia
12-Feb-24,Monday,Chinese New Year Holiday,Federal Public Holiday,malaysia
10-Apr-24,Wednesday,Hari Raya Puasa,Federal Public Holiday,malaysia
11-Apr-24,Thursday,Hari Raya Puasa Holiday Day 2,Federal Public Holiday,malaysia
01-May-24,Wednesday,Labour Day,Federal Public Holiday,malaysia
22-May-24,Wednesday,Wesak Day,Federal Public Holiday,malaysia
03-Jun-24,Monday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday,malaysia
17-Jun-24,Monday,Hari Raya Haji,Federal Public Holiday,malaysia
18-Jun-24,Tuesday,Hari Raya Haji (Day 2),Federal Public Holiday,malaysia
07-Jul-24,Sunday,Muharram,Federal Public Holiday,malaysia
31-Aug-24,Saturday,Malaysia's National Day,Federal Public Holiday,malaysia
16-Sep-24,Monday,The Prophet Muhammad's Birthday,Federal Public Holiday,malaysia
16-Sep-24,Monday,Malaysia Day,Federal Public Holiday,malaysia
31-Oct-24,Thursday,Diwali,Federal Public Holiday,malaysia
25-Dec-24,Wednesday,Christmas Day,Federal Public Holiday,malaysia
01-Jan-24,Monday,New Year,Public Holiday,mongolia
10-Feb-24,Saturday,Tsagaan Sar,Public Holiday,mongolia
11-Feb-24,Sunday,Tsagaan Sar Holiday,Public Holiday,mongolia
12-Feb-24,Monday,Tsagaan Sar Holiday,Public Holiday,mongolia
08-Mar-24,Friday,International Women's Day,Public Holiday,mongolia
23-May-24,Thursday,Great Buddha Day,Public Holiday,mongolia
01-Jun-24,Saturday,Children's Day,Public Holiday,mongolia
28-Jun-24,Friday,Election Day,Public Holiday,mongolia
10-Jul-24,Wednesday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
11-Jul-24,Thursday,Naadam Holiday (National Day),Public Holiday,mongolia
12-Jul-24,Friday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
13-Jul-24,Saturday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
14-Jul-24,Sunday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
15-Jul-24,Monday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
16-Nov-24,Saturday,Genghis Khan Day,Public Holiday,mongolia
26-Nov-24,Tuesday,Republic Day,Public Holiday,mongolia
29-Dec-24,Sunday,Independence Day,Public Holiday,mongolia
18-Jun-24,Tuesday,Eid al-Adha Holiday,Government Holiday,morocco
