Date,Day,Name,Type,Country
08-Apr-31,Tuesday,Passover (Day 1),"National Holiday, Hebrew",israel
14-Apr-31,Monday,Passover (Day 7),"National Holiday, Hebrew",israel
29-Apr-31,Tuesday,Yom HaAtzmaut,"National Holiday, Hebrew",israel
28-May-31,Wednesday,Shavuot,"National Holiday, Hebrew",israel
18-Sep-31,Thursday,Rosh Hashana,"National Holiday, Hebrew",israel
19-Sep-31,Friday,Rosh Hashana (Day 2),"National Holiday, Hebrew",israel
27-Sep-31,Saturday,Yom Kippur,"National Holiday, Hebrew",israel
02-Oct-31,Thursday,Sukkot (Day 1),"National Holiday, Hebrew",israel
09-Oct-31,Thursday,Shemini Atzeret / Simchat Torah,"National Holiday, Hebrew",israel
01-Jan-31,Wednesday,New Year's Day,National Holiday,italy
06-Jan-31,Monday,Epiphany,National Holiday,italy
13-Apr-31,Sunday,Easter Sunday,National Holiday,italy
14-Apr-31,Monday,Easter Monday,National Holiday,italy
25-Apr-31,Friday,Liberation Day,National Holiday,italy
01-May-31,Thursday,Labor Day,National Holiday,italy
02-Jun-31,Monday,Republic Day,National Holiday,italy
15-Aug-31,Friday,Assumption of Mary,National Holiday,italy
04-Oct-31,Saturday,Feast of St Francis of Assisi,National Holiday,italy
01-Nov-31,Saturday,All Saints' Day,National Holiday,italy
08-Dec-31,Monday,Feast of the Immaculate Conception,National Holiday,italy
25-Dec-31,Thursday,Christmas Day,National Holiday,italy
26-Dec-31,Friday,St. Stephen's Day,National Holiday,italy
01-Jan-31,Wednesday,New Year's Day,National Holiday,japan
13-Jan-31,Monday,Coming of Age Day,National Holiday,japan
11-Feb-31,Tuesday,National Foundation Day,National Holiday,japan
23-Feb-31,Sunday,Emperor's Birthday,National Holiday,japan
24-Feb-31,Monday,Emperor's Birthday observed,National Holiday,japan
21-Mar-31,Friday,Spring Equinox,National Holiday,japan
29-Apr-31,Tuesday,Shōwa Day,National Holiday,japan
03-May-31,Saturday,Constitution Memorial Day,National Holiday,japan
04-May-31,Sunday,Greenery Day,National Holiday,japan
05-May-31,Monday,Children's Day,National Holiday,japan
06-May-31,Tuesday,Greenery Day observed,National Holiday,japan
21-Jul-31,Monday,Sea Day,National Holiday,japan
11-Aug-31,Monday,Mountain Day,National Holiday,japan
15-Sep-31,Monday,Respect for the Aged Day,National Holiday,japan
23-Sep-31,Tuesday,Autumn Equinox,National Holiday,japan
13-Oct-31,Monday,Sports Day,National Holiday,japan
03-Nov-31,Monday,Culture Day,National Holiday,japan
23-Nov-31,Sunday,Labor Thanksgiving Day,National Holiday,japan
24-Nov-31,Monday,Labor Thanksgiving Day observed,National Holiday,japan
