Date,Day,Name,Type,Country
01-Jan-31,Wednesday,New Year's Day,National Holiday,ireland
03-Feb-31,Monday,St. Brigid’s Day,National Holiday,ireland
17-Mar-31,Monday,St. Patrick's Day,National Holiday,ireland
14-Apr-31,Monday,Easter Monday,National Holiday,ireland
05-May-31,Monday,May Day,National Holiday,ireland
02-Jun-31,Monday,June Bank Holiday,National Holiday,ireland
04-Aug-31,Monday,August Bank Holiday,National Holiday,ireland
27-Oct-31,Monday,October Bank Holiday,National Holiday,ireland
25-Dec-31,Thursday,Christmas Day,National Holiday,ireland
26-Dec-31,Friday,St. Stephen's Day,National Holiday,ireland
01-Jan-31,Wednesday,New Year's Day,National Holiday,iceland
10-Apr-31,Thursday,Maundy Thursday,National Holiday,iceland
11-Apr-31,Friday,Good Friday,National Holiday,iceland
13-Apr-31,Sunday,Easter Sunday,National Holiday,iceland
14-Apr-31,Monday,Easter Monday,National Holiday,iceland
24-Apr-31,Thursday,First Day of Summer,National Holiday,iceland
01-May-31,Thursday,Labour Day,National Holiday,iceland
22-May-31,Thursday,Ascension Day,National Holiday,iceland
01-Jun-31,Sunday,Whit Sunday,National Holiday,iceland
02-Jun-31,Monday,Whit Monday,National Holiday,iceland
17-Jun-31,Tuesday,Icelandic Republic Day,National Holiday,iceland
04-Aug-31,Monday,Commerce Day,National Holiday,iceland
25-Dec-31,Thursday,Christmas Day,National Holiday,iceland
26-Dec-31,Friday,Second Day of Christmas,National Holiday,iceland
01-Jan-31,Wednesday,New Year's Day,Federal Holiday,us
20-Jan-31,Monday,Martin Luther King Jr. Day,Federal Holiday,us
17-Feb-31,Monday,Presidents’ Day,Federal Holiday,us
26-May-31,Monday,Memorial Day,Federal Holiday,us
19-Jun-31,Thursday,Juneteenth,Federal Holiday,us
04-Jul-31,Friday,Independence Day,Federal Holiday,us
01-Sep-31,Monday,Labor Day,Federal Holiday,us
13-Oct-31,Monday,Columbus Day,Federal Holiday,us
11-Nov-31,Tuesday,Veterans Day,Federal Holiday,us
27-Nov-31,Thursday,Thanksgiving Day,Federal Holiday,us
25-Dec-31,Thursday,Christmas Day,Federal Holiday,us
