Date,Day,Name,Type,Country
01-Jan-31,Wednesday,New Year's Day,National Holiday,australia
26-Jan-31,Sunday,Australia Day,National Holiday,australia
11-Apr-31,Friday,Good Friday,National Holiday,australia
14-Apr-31,Monday,Easter Monday,National Holiday,australia
25-Apr-31,Friday,ANZAC Day,National Holiday,australia
25-Dec-31,Thursday,Christmas Day,National Holiday,australia
26-Dec-31,Friday,Boxing Day,National Holiday,australia
01-Jan-31,Wednesday,New Year's Day,National Holiday,brazil
24-Feb-31,Monday,Carnival Monday,Government Holiday,brazil
25-Feb-31,Tuesday,Carnival Tuesday,Government Holiday,brazil
26-Feb-31,Wednesday,Carnival end (until 2pm),Government Holiday,brazil
11-Apr-31,Friday,Good Friday,National Holiday,brazil
21-Apr-31,Monday,Tiradentes Day,National Holiday,brazil
01-May-31,Thursday,Labor Day,National Holiday,brazil
12-Jun-31,Thursday,Corpus Christi,Government Holiday,brazil
07-Sep-31,Sunday,Independence Day,National Holiday,brazil
12-Oct-31,Sunday,Our Lady of Aparecida / Children's Day,National Holiday,brazil
28-Oct-31,Tuesday,Public Service Holiday,Government Holiday,brazil
02-Nov-31,Sunday,All Souls' Day,National Holiday,brazil
15-Nov-31,Saturday,Republic Proclamation Day,National Holiday,brazil
20-Nov-31,Thursday,Black Awareness Day,National Holiday,brazil
24-Dec-31,Wednesday,Christmas Eve (from 2pm),Government Holiday,brazil
25-Dec-31,Thursday,Christmas Day,National Holiday,brazil
31-Dec-31,Wednesday,New Year's Eve (from 2pm),Government Holiday,brazil
01-Jan-31,Wednesday,New Year's Day,National Holiday,bulgaria
03-Mar-31,Monday,Liberation Day,National Holiday,bulgaria
11-Apr-31,Friday,Good Friday,National Holiday,bulgaria
12-Apr-31,Saturday,Holy Saturday,National Holiday,bulgaria
13-Apr-31,Sunday,Easter Sunday,National Holiday,bulgaria
14-Apr-31,Monday,Easter Monday,National Holiday,bulgaria
01-May-31,Thursday,Labor Day,National Holiday,bulgaria
06-May-31,Tuesday,St. George's Day,National Holiday,bulgaria
24-May-31,Saturday,Culture and Literacy Day,National Holiday,bulgaria
26-May-31,Monday,Day off for Culture and Literacy Day,National Holiday,bulgaria
06-Sep-31,Saturday,Unification Day,National Holiday,bulgaria
08-Sep-31,Monday,Day off for Unification Day,National Holiday,bulgaria
22-Sep-31,Monday,Independence Day,National Holiday,bulgaria
24-Dec-31,Wednesday,Christmas Eve,National Holiday,bulgaria
25-Dec-31,Thursday,Christmas Day,National Holiday,bulgaria
26-Dec-31,Friday,Second day of Christmas,National Holiday,bulgaria
01-Jan-31,Wednesday,New Year's Day,Statutory Holiday,canada
11-Apr-31,Friday,Good Friday,Statutory Holiday,canada
14-Apr-31,Monday,Easter Monday,Statutory Holiday,canada
19-May-31,Monday,Victoria Day,Statutory Holiday,canada
01-Jul-31,Tuesday,Canada Day,Statutory Holiday,canada
01-Sep-31,Monday,Labour Day,Statutory Holiday,canada
30-Sep-31,Tuesday,National Day for Truth and Reconciliation,Federal Employees Holiday,canada
13-Oct-31,Monday,Thanksgiving Day,Statutory Holiday,canada
11-Nov-31,Tuesday,Remembrance Day,Statutory Holiday,canada
25-Dec-31,Thursday,Christmas Day,Statutory Holiday,canada
26-Dec-31,Friday,Boxing Day,Statutory Holiday,canada
