Date,Day,Name,Type,Country
01-Jan-24,Monday,New Year's Day,National Holiday,turkey
08-Apr-24,Monday,Ramadan Feast Holiday,Holiday for Public Servants,turkey
09-Apr-24,Tuesday,Ramadan Feast Eve (Public Sector),Holiday for Public Servants,turkey
10-Apr-24,Wednesday,Ramadan Feast,National Holiday,turkey
11-Apr-24,Thursday,Ramadan Feast Holiday,National Holiday,turkey
12-Apr-24,Friday,Ramadan Feast Holiday,National Holiday,turkey
23-Apr-24,Tuesday,National Sovereignty and Children's Day,National Holiday,turkey
01-May-24,Wednesday,Labor and Solidarity Day,National Holiday,turkey
19-May-24,Sunday,"Commemoration of Atatürk, Youth and Sports Day",National Holiday,turkey
16-Jun-24,Sunday,Sacrifice Feast,National Holiday,turkey
17-Jun-24,Monday,Sacrifice Feast Holiday,National Holiday,turkey
18-Jun-24,Tuesday,Sacrifice Feast Holiday,National Holiday,turkey
19-Jun-24,Wednesday,Sacrifice Feast Holiday,National Holiday,turkey
20-Jun-24,Thursday,Eid al Adha Public Sector Holiday,Holiday for Public Servants,turkey
21-Jun-24,Friday,Eid al Adha Public Sector Holiday,Holiday for Public Servants,turkey
15-Jul-24,Monday,Democracy and National Unity Day,National Holiday,turkey
30-Aug-24,Friday,Victory Day,National Holiday,turkey
29-Oct-24,Tuesday,Republic Day,National Holiday,turkey
01-Jan-24,Monday,International New Year's Day,National Holiday,vietnam
08-Feb-24,Thursday,Tet Holiday,Public Sector Holiday,vietnam
09-Feb-24,Friday,Vietnamese New Year's Eve,National Holiday,vietnam
10-Feb-24,Saturday,Vietnamese New Year,National Holiday,vietnam
11-Feb-24,Sunday,Tet Holiday,National Holiday,vietnam
12-Feb-24,Monday,Tet Holiday,National Holiday,vietnam
13-Feb-24,Tuesday,Tet Holiday,National Holiday,vietnam
14-Feb-24,Wednesday,Tet Holiday,National Holiday,vietnam
18-Apr-24,Thursday,Hung Kings Festival,National Holiday,vietnam
29-Apr-24,Monday,Liberation Day/Reunification Day Holiday,Public Sector Holiday,vietnam
30-Apr-24,Tuesday,Liberation Day/Reunification Day,National Holiday,vietnam
01-May-24,Wednesday,International Labor Day,National Holiday,vietnam
31-Aug-24,Saturday,Independence Day Holiday,Public Sector Holiday,vietnam
01-Sep-24,Sunday,Independence Day Holiday,Public Sector Holiday,vietnam
02-Sep-24,Monday,Independence Day,National Holiday,vietnam
03-Sep-24,Tuesday,Independence Day Holiday,Public Sector Holiday,vietnam
01-Jan-24,Monday,New Year's Day,Bank Holiday,uk
29-Mar-24,Friday,Good Friday,Bank Holiday,uk
06-May-24,Monday,Early May Bank Holiday,Bank Holiday,uk
27-May-24,Monday,Spring Bank Holiday,Bank Holiday,uk
25-Dec-24,Wednesday,Christmas Day,Bank Holiday,uk
26-Dec-24,Thursday,Boxing Day,Bank Holiday,uk
01-Jan-24,Monday,New Year's Day,National Holiday,new-zealand
02-Jan-24,Tuesday,Day after New Year's Day,National Holiday,new-zealand
06-Feb-24,Tuesday,Waitangi Day,National Holiday,new-zealand
29-Mar-24,Friday,Good Friday,National Holiday,new-zealand
01-Apr-24,Monday,Easter Monday,National Holiday,new-zealand
25-Apr-24,Thursday,ANZAC Day,National Holiday,new-zealand
03-Jun-24,Monday,King's Birthday,National Holiday,new-zealand
28-Jun-24,Friday,Matariki,National Holiday,new-zealand
28-Oct-24,Monday,Labour Day,National Holiday,new-zealand
25-Dec-24,Wednesday,Christmas Day,National Holiday,new-zealand
26-Dec-24,Thursday,Boxing Day,National Holiday,new-zealand
