Date,Day,Name,Type,Country
01-Jan-26,Thursday,New Year's Day,National Holiday,belgium
06-Apr-26,Monday,Easter Monday,National Holiday,belgium
01-May-26,Friday,Labor Day,National Holiday,belgium
14-May-26,Thursday,Ascension Day,National Holiday,belgium
25-May-26,Monday,Whit Monday,National Holiday,belgium
21-Jul-26,Tuesday,Belgian National Day,National Holiday,belgium
15-Aug-26,Saturday,Assumption of Mary,National Holiday,belgium
01-Nov-26,Sunday,All Saints' Day,National Holiday,belgium
11-Nov-26,Wednesday,Armistice Day,National Holiday,belgium
25-Dec-26,Friday,Christmas Day,National Holiday,belgium
01-Jan-26,Thursday,New Year's Day,National Holiday,luxembourg
06-Apr-26,Monday,Easter Monday,National Holiday,luxembourg
01-May-26,Friday,Labor Day,National Holiday,luxembourg
09-May-26,Saturday,Europe Day,National Holiday,luxembourg
14-May-26,Thursday,Ascension Day,National Holiday,luxembourg
25-May-26,Monday,Whit Monday,National Holiday,luxembourg
23-Jun-26,Tuesday,National Day,National Holiday,luxembourg
15-Aug-26,Saturday,Assumption of Mary,National Holiday,luxembourg
01-Nov-26,Sunday,All Saints' Day,National Holiday,luxembourg
25-Dec-26,Friday,Christmas Day,National Holiday,luxembourg
26-Dec-26,Saturday,St Stephen's Day,National Holiday,luxembourg
01-Jan-26,Thursday,New Year's Day,National Holiday,paraguay
01-Mar-26,Sunday,Heroes' Day,National Holiday,paraguay
02-Apr-26,Thursday,Maundy Thursday,National Holiday,paraguay
03-Apr-26,Friday,Good Friday,National Holiday,paraguay
01-May-26,Friday,Labor Day,National Holiday,paraguay
14-May-26,Thursday,National Holiday,National Holiday,paraguay
15-May-26,Friday,Independence Day,National Holiday,paraguay
12-Jun-26,Friday,Chaco Armistice,National Holiday,paraguay
20-Jun-26,Saturday,Day of the Oath of the National Constitution,National Holiday,paraguay
15-Aug-26,Saturday,Founding of Asuncion,National Holiday,paraguay
29-Sep-26,Tuesday,Boqueron Battle Victory Day,National Holiday,paraguay
08-Dec-26,Tuesday,Virgin of Caacupé Day,National Holiday,paraguay
25-Dec-26,Friday,Christmas Day,National Holiday,paraguay
01-Jan-26,Thursday,New Year's Day,National Holiday,chile
03-Apr-26,Friday,Good Friday,"National Holiday, Christian",chile
04-Apr-26,Saturday,Holy Saturday,"National Holiday, Christian",chile
01-May-26,Friday,Labor Day,National Holiday,chile
21-May-26,Thursday,Navy Day,National Holiday,chile
21-Jun-26,Sunday,National Day of Indigenous Peoples,National Holiday,chile
29-Jun-26,Monday,Saint Peter and Saint Paul,National Holiday,chile
16-Jul-26,Thursday,Our Lady of Mount Carmel,National Holiday,chile
15-Aug-26,Saturday,Assumption of Mary,National Holiday,chile
18-Sep-26,Friday,National Day,National Holiday,chile
19-Sep-26,Saturday,Army Day,National Holiday,chile
12-Oct-26,Monday,Day of the Discovery of Two Worlds,National Holiday,chile
31-Oct-26,Saturday,Reformation Day,National Holiday,chile
01-Nov-26,Sunday,All Saints' Day,National Holiday,chile
08-Dec-26,Tuesday,Inmaculate Conception Day,National Holiday,chile
25-Dec-26,Friday,Christmas Day,"National Holiday, Christian",chile
01-Jan-26,Thursday,Republic Day,National Holiday,slovakia
06-Jan-26,Tuesday,Epiphany,National Holiday,slovakia
03-Apr-26,Friday,Good Friday,National Holiday,slovakia
06-Apr-26,Monday,Easter Monday,National Holiday,slovakia
01-May-26,Friday,Labor Day,National Holiday,slovakia
08-May-26,Friday,Day of Victory Over Fascism,National Holiday,slovakia
05-Jul-26,Sunday,St. Cyril & St. Methodius Day,National Holiday,slovakia
29-Aug-26,Saturday,National Uprising Day,National Holiday,slovakia
01-Nov-26,Sunday,All Saints' Day,National Holiday,slovakia
24-Dec-26,Thursday,Christmas Eve,National Holiday,slovakia
25-Dec-26,Friday,Christmas Day,National Holiday,slovakia
26-Dec-26,Saturday,St. Stephen's Day,National Holiday,slovakia
