Date,Day,Name,Type,Country
01-Jan-30,Tuesday,New Year,Public Holiday,north-korea
04-Feb-30,Monday,Seollal,Public Holiday,north-korea
08-Feb-30,Friday,Chosun People's Army Foundation Day,Public Holiday,north-korea
16-Feb-30,Saturday,Birth date of Kim Jong Il,Public Holiday,north-korea
08-Mar-30,Friday,International Women's Day,Public Holiday,north-korea
15-Apr-30,Monday,Birth Date of Kim Il Sung,Public Holiday,north-korea
01-May-30,Wednesday,May Day,Public Holiday,north-korea
06-Jun-30,Thursday,Chosun Children's Union Foundation Day,Public Holiday,north-korea
27-Jul-30,Saturday,Day of Victory in the Fatherland Liberation War,Public Holiday,north-korea
15-Aug-30,Thursday,Liberation Day,Public Holiday,north-korea
25-Aug-30,Sunday,Day of Songun,Public Holiday,north-korea
09-Sep-30,Monday,National Day,Public Holiday,north-korea
10-Oct-30,Thursday,Party Foundation Day,Public Holiday,north-korea
16-Nov-30,Saturday,Mother's Day,Public Holiday,north-korea
27-Dec-30,Friday,Constitution Day,Public Holiday,north-korea
01-Jan-30,Tuesday,New Year's Day,Public Holiday,south-korea
04-Feb-30,Monday,Seollal,Public Holiday,south-korea
04-Feb-30,Monday,Seollal Holiday,Public Holiday,south-korea
01-Mar-30,Friday,Independence Movement Day,National Holiday,south-korea
05-May-30,Sunday,Children's Day,Public Holiday,south-korea
09-May-30,Thursday,Buddha’s Birthday,Public Holiday,south-korea
06-Jun-30,Thursday,Memorial Day,Public Holiday,south-korea
17-Jul-30,Wednesday,Constitution Day,National Holiday,south-korea
15-Aug-30,Thursday,Liberation Day,National Holiday,south-korea
11-Sep-30,Wednesday,Chuseok Holiday,Public Holiday,south-korea
12-Sep-30,Thursday,Chuseok,Public Holiday,south-korea
13-Sep-30,Friday,Chuseok Holiday,Public Holiday,south-korea
03-Oct-30,Thursday,National Foundation Day,National Holiday,south-korea
09-Oct-30,Wednesday,Hangeul Proclamation Day,National Holiday,south-korea
25-Dec-30,Wednesday,Christmas Day,Public Holiday,south-korea
01-Jan-30,Tuesday,New Year,Public Holiday,mongolia
08-Mar-30,Friday,International Women's Day,Public Holiday,mongolia
01-Jun-30,Saturday,Children's Day,Public Holiday,mongolia
10-Jul-30,Wednesday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
11-Jul-30,Thursday,Naadam Holiday (National Day),Public Holiday,mongolia
12-Jul-30,Friday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
13-Jul-30,Saturday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
14-Jul-30,Sunday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
15-Jul-30,Monday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
26-Nov-30,Tuesday,Republic Day,Public Holiday,mongolia
29-Dec-30,Sunday,Independence Day,Public Holiday,mongolia
03-Feb-30,Sunday,Chinese New Year's Day,Federal Public Holiday,malaysia
04-Feb-30,Monday,Second Day of Chinese New Year,Federal Public Holiday,malaysia
05-Feb-30,Tuesday,Hari Raya Puasa (Tentative Date),Federal Public Holiday,malaysia
06-Feb-30,Wednesday,Hari Raya Puasa Holiday Day 2 (Tentative Date),Federal Public Holiday,malaysia
14-Apr-30,Sunday,Hari Raya Haji (Tentative Date),Federal Public Holiday,malaysia
15-Apr-30,Monday,Hari Raya Haji (Day 2) (Tentative Date),Federal Public Holiday,malaysia
01-May-30,Wednesday,Labour Day,Federal Public Holiday,malaysia
04-May-30,Saturday,Muharram (Tentative Date),Federal Public Holiday,malaysia
03-Jun-30,Monday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday,malaysia
13-Jul-30,Saturday,The Prophet Muhammad's Birthday (Tentative Date),Federal Public Holiday,malaysia
31-Aug-30,Saturday,Malaysia's National Day,Federal Public Holiday,malaysia
16-Sep-30,Monday,Malaysia Day,Federal Public Holiday,malaysia
25-Dec-30,Wednesday,Christmas Day,Federal Public Holiday,malaysia
14-Apr-30,Sunday,Eid al-Adha Holiday (Tentative Date),Government Holiday,morocco
