Date,Day,Name,Type,Country
01-Jan-24,Monday,New Year's Day,Public Holiday,netherlands
29-Mar-24,Friday,Good Friday,Public Holiday,netherlands
31-Mar-24,Sunday,Easter Sunday,Public Holiday,netherlands
01-Apr-24,Monday,Easter Monday,Public Holiday,netherlands
27-Apr-24,Saturday,King's Birthday,Public Holiday,netherlands
09-May-24,Thursday,Ascension Day,Public Holiday,netherlands
19-May-24,Sunday,Whit Sunday,Public Holiday,netherlands
20-May-24,Monday,Whit Monday,Public Holiday,netherlands
25-Dec-24,Wednesday,Christmas Day,Public Holiday,netherlands
26-Dec-24,Thursday,Second Day of Christmas,Public Holiday,netherlands
01-May-24,Wednesday,Labor Day,"National Holiday, Flag Day",norway
17-May-24,Friday,17 May Constitution Day (1814),"National Holiday, Flag Day",norway
05-Feb-24,Monday,Kashmir Day,Public Holiday,pakistan
08-Feb-24,Thursday,Election Day,National Holiday,pakistan
23-Mar-24,Saturday,Pakistan Day,Public Holiday,pakistan
10-Apr-24,Wednesday,Eid-ul-Fitr,Public Holiday,pakistan
11-Apr-24,Thursday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
12-Apr-24,Friday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
13-Apr-24,Saturday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
01-May-24,Wednesday,Labour Day,Public Holiday,pakistan
28-May-24,Tuesday,Youm-i-Takbeer,National Holiday,pakistan
17-Jun-24,Monday,Eid al-Adha,Public Holiday,pakistan
18-Jun-24,Tuesday,Eid al-Adha Holiday,Public Holiday,pakistan
19-Jun-24,Wednesday,Eid al-Adha Holiday,Public Holiday,pakistan
16-Jul-24,Tuesday,Ashura Holiday,Public Holiday,pakistan
17-Jul-24,Wednesday,Ashura,Public Holiday,pakistan
14-Aug-24,Wednesday,Independence Day,Public Holiday,pakistan
17-Sep-24,Tuesday,Eid Milad un-Nabi,Public Holiday,pakistan
09-Nov-24,Saturday,Iqbal Day,Public Holiday,pakistan
25-Dec-24,Wednesday,Christmas Day,Public Holiday,pakistan
25-Dec-24,Wednesday,Quaid-e-Azam Day,Public Holiday,pakistan
01-Jan-24,Monday,New Year's Day,Regular Holiday,philippines
09-Feb-24,Friday,Lunar New Year Holiday,Special Non-working Holiday,philippines
10-Feb-24,Saturday,Lunar New Year's Day,Special Non-working Holiday,philippines
28-Mar-24,Thursday,Maundy Thursday,Regular Holiday,philippines
29-Mar-24,Friday,Good Friday,Regular Holiday,philippines
30-Mar-24,Saturday,Black Saturday,Special Non-working Holiday,philippines
09-Apr-24,Tuesday,The Day of Valor,Regular Holiday,philippines
10-Apr-24,Wednesday,Eid al-Fitr,Regular Holiday,philippines
01-May-24,Wednesday,Labor Day,Regular Holiday,philippines
12-Jun-24,Wednesday,Independence Day,Regular Holiday,philippines
17-Jun-24,Monday,Eid al-Adha,Regular Holiday,philippines
23-Aug-24,Friday,Ninoy Aquino Day Holiday,Special Non-working Holiday,philippines
26-Aug-24,Monday,National Heroes Day,Regular Holiday,philippines
01-Nov-24,Friday,All Saints' Day,Special Non-working Holiday,philippines
02-Nov-24,Saturday,All Souls' Day,Special Non-working Holiday,philippines
30-Nov-24,Saturday,Bonifacio Day,Regular Holiday,philippines
08-Dec-24,Sunday,Feast of the Immaculate Conception,Special Non-working Holiday,philippines
24-Dec-24,Tuesday,Christmas Eve,Special Non-working Holiday,philippines
25-Dec-24,Wednesday,Christmas Day,Regular Holiday,philippines
30-Dec-24,Monday,Rizal Day,Regular Holiday,philippines
31-Dec-24,Tuesday,New Year's Eve,Special Non-working Holiday,philippines
01-Jan-24,Monday,New Year's Day,National Holiday,poland
06-Jan-24,Saturday,Epiphany,National Holiday,poland
31-Mar-24,Sunday,Easter Sunday,National Holiday,poland
01-Apr-24,Monday,Easter Monday,National Holiday,poland
01-May-24,Wednesday,Labor Day,National Holiday,poland
03-May-24,Friday,Constitution Day,National Holiday,poland
19-May-24,Sunday,Whit Sunday,National Holiday,poland
30-May-24,Thursday,Corpus Christi,National Holiday,poland
15-Aug-24,Thursday,Assumption of Mary,National Holiday,poland
01-Nov-24,Friday,All Saints' Day,National Holiday,poland
11-Nov-24,Monday,Independence Day,National Holiday,poland
25-Dec-24,Wednesday,Christmas Day,National Holiday,poland
26-Dec-24,Thursday,Second Day of Christmas,National Holiday,poland
