Date,Day,Name,Type,Country
01-Jan-24,Monday,New Year's Day,National Holiday,spain
06-Jan-24,Saturday,Epiphany,National Holiday,spain
29-Mar-24,Friday,Good Friday,National Holiday,spain
01-May-24,Wednesday,Labor Day,National Holiday,spain
15-Aug-24,Thursday,Assumption of Mary,National Holiday,spain
12-Oct-24,Saturday,Hispanic Day,National Holiday,spain
01-Nov-24,Friday,All Saints' Day,National Holiday,spain
06-Dec-24,Friday,Constitution Day,National Holiday,spain
25-Dec-24,Wednesday,Christmas Day,National Holiday,spain
15-Jan-24,Monday,Tamil Thai Pongal Day,Public Holiday,sri-lanka
25-Jan-24,Thursday,Duruthu Full Moon Poya Day,Public Holiday,sri-lanka
04-Feb-24,Sunday,National Day,Public Holiday,sri-lanka
23-Feb-24,Friday,Navam Full Moon Poya Day,Public Holiday,sri-lanka
08-Mar-24,Friday,Mahasivarathri Day,Public Holiday,sri-lanka
24-Mar-24,Sunday,Madin Full Moon Poya Day,Public Holiday,sri-lanka
29-Mar-24,Friday,Good Friday,Public Holiday,sri-lanka
10-Apr-24,Wednesday,Eid al-Fitr,Public Holiday,sri-lanka
12-Apr-24,Friday,Sinhala and Tamil New Year's Eve,Public Holiday,sri-lanka
13-Apr-24,Saturday,Sinhala and Tamil New Year's Day,Public Holiday,sri-lanka
15-Apr-24,Monday,Sinhala and Tamil New Year Holiday,Public Holiday,sri-lanka
23-Apr-24,Tuesday,Bak Full Moon Poya Day,Public Holiday,sri-lanka
01-May-24,Wednesday,May Day,Public Holiday,sri-lanka
23-May-24,Thursday,Vesak Full Moon Poya Day,Public Holiday,sri-lanka
24-May-24,Friday,Day after Vesak Full Moon Poya Day,Public Holiday,sri-lanka
17-Jun-24,Monday,Eid al-Adha,Public Holiday,sri-lanka
21-Jun-24,Friday,Poson Full Moon Poya Day,Public Holiday,sri-lanka
20-Jul-24,Saturday,Esala Full Moon Poya Day,Public Holiday,sri-lanka
19-Aug-24,Monday,Nikini Full Moon Poya Day,Public Holiday,sri-lanka
16-Sep-24,Monday,Milad-Un-Nabi,Public Holiday,sri-lanka
17-Sep-24,Tuesday,Binara Full Moon Poya Day,Public Holiday,sri-lanka
23-Sep-24,Monday,Public Sector Holiday,Government Holiday,sri-lanka
17-Oct-24,Thursday,Vap Full Moon Poya Day,Public Holiday,sri-lanka
31-Oct-24,Thursday,Deepavali,Public Holiday,sri-lanka
15-Nov-24,Friday,Il Full Moon Poya Day,Public Holiday,sri-lanka
14-Dec-24,Saturday,Unduvap Full Moon Poya Day,Public Holiday,sri-lanka
25-Dec-24,Wednesday,Christmas Day,Public Holiday,sri-lanka
01-Jan-24,Monday,New Year's Day,Public Holiday,sweden
06-Jan-24,Saturday,Epiphany,Public Holiday,sweden
29-Mar-24,Friday,Good Friday,Public Holiday,sweden
31-Mar-24,Sunday,Easter Sunday,Public Holiday,sweden
01-Apr-24,Monday,Easter Monday,Public Holiday,sweden
01-May-24,Wednesday,May 1st,Public Holiday,sweden
09-May-24,Thursday,Ascension Day,Public Holiday,sweden
19-May-24,Sunday,Whit Sunday,Public Holiday,sweden
06-Jun-24,Thursday,National day,Public Holiday,sweden
22-Jun-24,Saturday,Midsummer Day,Public Holiday,sweden
02-Nov-24,Saturday,All Saints' Day,Public Holiday,sweden
25-Dec-24,Wednesday,Christmas Day,Public Holiday,sweden
26-Dec-24,Thursday,Boxing Day,Public Holiday,sweden
01-Jan-24,Monday,Republic Day,National Holiday,taiwan
08-Feb-24,Thursday,Lunar New Year Holiday,National Holiday,taiwan
09-Feb-24,Friday,Lunar New Year's Eve,National Holiday,taiwan
10-Feb-24,Saturday,Lunar New Year's Day,National Holiday,taiwan
11-Feb-24,Sunday,Lunar New Year Holiday,National Holiday,taiwan
12-Feb-24,Monday,Lunar New Year Holiday,National Holiday,taiwan
13-Feb-24,Tuesday,Lunar New Year Holiday,National Holiday,taiwan
14-Feb-24,Wednesday,Lunar New Year Holiday,National Holiday,taiwan
28-Feb-24,Wednesday,Peace Memorial Day,National Holiday,taiwan
04-Apr-24,Thursday,Tomb Sweeping Day,National Holiday,taiwan
04-Apr-24,Thursday,Children's Day,National Holiday,taiwan
05-Apr-24,Friday,Children's Day,National Holiday,taiwan
06-Apr-24,Saturday,Children's Day,National Holiday,taiwan
07-Apr-24,Sunday,Children's Day,National Holiday,taiwan
10-Jun-24,Monday,Dragon Boat Festival,National Holiday,taiwan
17-Sep-24,Tuesday,Mid-Autumn Festival,National Holiday,taiwan
10-Oct-24,Thursday,National Day,National Holiday,taiwan
01-Jan-24,Monday,New Year's Day,National Holiday,thailand
