Date,Day,Name,Type,Country
01-Jan-21,Friday,New Year's Day,National Holiday,turkey
23-Apr-21,Friday,National Sovereignty and Children's Day,National Holiday,turkey
01-May-21,Saturday,Labor and Solidarity Day,National Holiday,turkey
13-May-21,Thursday,Ramadan Feast,National Holiday,turkey
14-May-21,Friday,Ramadan Feast Holiday,National Holiday,turkey
15-May-21,Saturday,Ramadan Feast Holiday,National Holiday,turkey
19-May-21,Wednesday,"Commemoration of Atatürk, Youth and Sports Day",National Holiday,turkey
15-Jul-21,Thursday,Democracy and National Unity Day,National Holiday,turkey
19-Jul-21,Monday,Sacrifice Feast Eve,National Holiday,turkey
20-Jul-21,Tuesday,Sacrifice Feast,National Holiday,turkey
21-Jul-21,Wednesday,Sacrifice Feast Holiday,National Holiday,turkey
22-Jul-21,Thursday,Sacrifice Feast Holiday,National Holiday,turkey
23-Jul-21,Friday,Sacrifice Feast Holiday,National Holiday,turkey
30-Aug-21,Monday,Victory Day,National Holiday,turkey
29-Oct-21,Friday,Republic Day,National Holiday,turkey
01-Jan-21,Friday,International New Year's Day,National Holiday,vietnam
10-Feb-21,Wednesday,Tet Holiday,Public Sector Holiday,vietnam
11-Feb-21,Thursday,Vietnamese New Year's Eve,National Holiday,vietnam
12-Feb-21,Friday,Vietnamese New Year,National Holiday,vietnam
13-Feb-21,Saturday,Tet Holiday,National Holiday,vietnam
14-Feb-21,Sunday,Tet Holiday,National Holiday,vietnam
15-Feb-21,Monday,Tet Holiday,National Holiday,vietnam
16-Feb-21,Tuesday,Tet Holiday,National Holiday,vietnam
21-Apr-21,Wednesday,Hung Kings Festival,National Holiday,vietnam
30-Apr-21,Friday,Liberation Day/Reunification Day,National Holiday,vietnam
01-May-21,Saturday,International Labor Day,National Holiday,vietnam
03-May-21,Monday,Day off for International Labor Day,National Holiday,vietnam
02-Sep-21,Thursday,Independence Day,National Holiday,vietnam
03-Sep-21,Friday,Independence Day Holiday,Public Sector Holiday,vietnam
01-Jan-21,Friday,New Year's Day,National Holiday,ukraine
07-Jan-21,Thursday,Orthodox Christmas Day,"National Holiday, Orthodox",ukraine
08-Mar-21,Monday,International Women's Day,National Holiday,ukraine
01-May-21,Saturday,Labor Day,National Holiday,ukraine
02-May-21,Sunday,Orthodox Easter Day,"National Holiday, Orthodox",ukraine
03-May-21,Monday,Day off for Labor Day,National Holiday,ukraine
04-May-21,Tuesday,Orthodox Easter Monday,"National Holiday, Orthodox",ukraine
09-May-21,Sunday,Victory Day,National Holiday,ukraine
10-May-21,Monday,Day off for Victory Day,National Holiday,ukraine
20-Jun-21,Sunday,Orthodox Pentecost,"National Holiday, Orthodox",ukraine
21-Jun-21,Monday,Orthodox Pentecost Holiday,"National Holiday, Orthodox",ukraine
28-Jun-21,Monday,Constitution Day,National Holiday,ukraine
23-Aug-21,Monday,Public Holiday for Independence Day,National Holiday,ukraine
24-Aug-21,Tuesday,Independence Day,National Holiday,ukraine
14-Oct-21,Thursday,Day of Defenders and Defenders of Ukraine,National Holiday,ukraine
25-Dec-21,Saturday,Catholic Christmas Day,National Holiday,ukraine
27-Dec-21,Monday,Day off for Catholic Christmas Day,National Holiday,ukraine
01-Jan-21,Friday,New Year's Day,Bank Holiday,uk
02-Apr-21,Friday,Good Friday,Bank Holiday,uk
03-May-21,Monday,Early May Bank Holiday,Bank Holiday,uk
31-May-21,Monday,Spring Bank Holiday,Bank Holiday,uk
25-Dec-21,Saturday,Christmas Day,Bank Holiday,uk
26-Dec-21,Sunday,Boxing Day,Bank Holiday,uk
27-Dec-21,Monday,Substitute Bank Holiday for Christmas Day,Bank Holiday,uk
28-Dec-21,Tuesday,Substitute Bank Holiday for Boxing Day,Bank Holiday,uk
01-Jan-21,Friday,New Year's Day,National Holiday,new-zealand
02-Jan-21,Saturday,Day after New Year's Day,National Holiday,new-zealand
04-Jan-21,Monday,Day off for Day after New Year's Day,National Holiday,new-zealand
06-Feb-21,Saturday,Waitangi Day,National Holiday,new-zealand
08-Feb-21,Monday,Day off for Waitangi Day,National Holiday,new-zealand
02-Apr-21,Friday,Good Friday,National Holiday,new-zealand
05-Apr-21,Monday,Easter Monday,National Holiday,new-zealand
25-Apr-21,Sunday,ANZAC Day,National Holiday,new-zealand
26-Apr-21,Monday,Day off for ANZAC Day,National Holiday,new-zealand
07-Jun-21,Monday,Queen Elizabeth II's Birthday,National Holiday,new-zealand
25-Oct-21,Monday,Labour Day,National Holiday,new-zealand
25-Dec-21,Saturday,Christmas Day,National Holiday,new-zealand
26-Dec-21,Sunday,Boxing Day,National Holiday,new-zealand
27-Dec-21,Monday,Day off for Christmas Day,National Holiday,new-zealand
28-Dec-21,Tuesday,Day off for Boxing Day,National Holiday,new-zealand
