Date,Day,Name,Type,Country
01-Jan-31,Wednesday,New Year,Public Holiday,north-korea
23-Jan-31,Thursday,Seollal,Public Holiday,north-korea
08-Feb-31,Saturday,Chosun People's Army Foundation Day,Public Holiday,north-korea
16-Feb-31,Sunday,Birth date of Kim Jong Il,Public Holiday,north-korea
08-Mar-31,Saturday,International Women's Day,Public Holiday,north-korea
15-Apr-31,Tuesday,Birth Date of Kim Il Sung,Public Holiday,north-korea
01-May-31,Thursday,May Day,Public Holiday,north-korea
06-Jun-31,Friday,Chosun Children's Union Foundation Day,Public Holiday,north-korea
27-Jul-31,Sunday,Day of Victory in the Fatherland Liberation War,Public Holiday,north-korea
15-Aug-31,Friday,Liberation Day,Public Holiday,north-korea
25-Aug-31,Monday,Day of Songun,Public Holiday,north-korea
09-Sep-31,Tuesday,National Day,Public Holiday,north-korea
10-Oct-31,Friday,Party Foundation Day,Public Holiday,north-korea
16-Nov-31,Sunday,Mother's Day,Public Holiday,north-korea
27-Dec-31,Saturday,Constitution Day,Public Holiday,north-korea
01-Jan-31,Wednesday,New Year's Day,Public Holiday,south-korea
23-Jan-31,Thursday,Seollal,Public Holiday,south-korea
24-Jan-31,Friday,Seollal Holiday,Public Holiday,south-korea
01-Mar-31,Saturday,Independence Movement Day,National Holiday,south-korea
03-Mar-31,Monday,Day off for Independence Movement Day,National Holiday,south-korea
05-May-31,Monday,Children's Day,Public Holiday,south-korea
28-May-31,Wednesday,Buddha’s Birthday,Public Holiday,south-korea
06-Jun-31,Friday,Memorial Day,Public Holiday,south-korea
17-Jul-31,Thursday,Constitution Day,National Holiday,south-korea
15-Aug-31,Friday,Liberation Day,National Holiday,south-korea
30-Sep-31,Tuesday,Chuseok Holiday,Public Holiday,south-korea
01-Oct-31,Wednesday,Chuseok,Public Holiday,south-korea
02-Oct-31,Thursday,Chuseok Holiday,Public Holiday,south-korea
03-Oct-31,Friday,National Foundation Day,National Holiday,south-korea
09-Oct-31,Thursday,Hangeul Proclamation Day,National Holiday,south-korea
25-Dec-31,Thursday,Christmas Day,Public Holiday,south-korea
23-Jan-31,Thursday,Chinese New Year's Day,Federal Public Holiday,malaysia
24-Jan-31,Friday,Second Day of Chinese New Year,Federal Public Holiday,malaysia
25-Jan-31,Saturday,Hari Raya Puasa (Tentative Date),Federal Public Holiday,malaysia
26-Jan-31,Sunday,Hari Raya Puasa Holiday Day 2 (Tentative Date),Federal Public Holiday,malaysia
03-Apr-31,Thursday,Hari Raya Haji (Tentative Date),Federal Public Holiday,malaysia
04-Apr-31,Friday,Hari Raya Haji (Day 2) (Tentative Date),Federal Public Holiday,malaysia
23-Apr-31,Wednesday,Muharram (Tentative Date),Federal Public Holiday,malaysia
01-May-31,Thursday,Labour Day,Federal Public Holiday,malaysia
02-Jun-31,Monday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday,malaysia
02-Jul-31,Wednesday,The Prophet Muhammad's Birthday (Tentative Date),Federal Public Holiday,malaysia
31-Aug-31,Sunday,Malaysia's National Day,Federal Public Holiday,malaysia
01-Sep-31,Monday,Day off for Malaysia's National Day,Federal Public Holiday,malaysia
16-Sep-31,Tuesday,Malaysia Day,Federal Public Holiday,malaysia
25-Dec-31,Thursday,Christmas Day,Federal Public Holiday,malaysia
01-Jan-31,Wednesday,New Year,Public Holiday,mongolia
08-Mar-31,Saturday,International Women's Day,Public Holiday,mongolia
01-Jun-31,Sunday,Children's Day,Public Holiday,mongolia
10-Jul-31,Thursday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
11-Jul-31,Friday,Naadam Holiday (National Day),Public Holiday,mongolia
12-Jul-31,Saturday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
13-Jul-31,Sunday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
14-Jul-31,Monday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
15-Jul-31,Tuesday,Naadam Holiday (National Day Holiday),Public Holiday,mongolia
26-Nov-31,Wednesday,Republic Day,Public Holiday,mongolia
29-Dec-31,Monday,Independence Day,Public Holiday,mongolia
04-Apr-31,Friday,Eid al-Adha Holiday (Tentative Date),Government Holiday,morocco
