Date,Day,Name,Type,Country
01-Jan-26,Thursday,New Year's Day,National Holiday,ireland
02-Feb-26,Monday,St. Brigid’s Day,National Holiday,ireland
17-Mar-26,Tuesday,St. Patrick's Day,National Holiday,ireland
06-Apr-26,Monday,Easter Monday,National Holiday,ireland
04-May-26,Monday,May Day,National Holiday,ireland
01-Jun-26,Monday,June Bank Holiday,National Holiday,ireland
03-Aug-26,Monday,August Bank Holiday,National Holiday,ireland
26-Oct-26,Monday,October Bank Holiday,National Holiday,ireland
25-Dec-26,Friday,Christmas Day,National Holiday,ireland
26-Dec-26,Saturday,St. Stephen's Day,National Holiday,ireland
01-Jan-26,Thursday,New Year's Day,National Holiday,iceland
02-Apr-26,Thursday,Maundy Thursday,National Holiday,iceland
03-Apr-26,Friday,Good Friday,National Holiday,iceland
05-Apr-26,Sunday,Easter Sunday,National Holiday,iceland
06-Apr-26,Monday,Easter Monday,National Holiday,iceland
23-Apr-26,Thursday,First Day of Summer,National Holiday,iceland
01-May-26,Friday,Labour Day,National Holiday,iceland
14-May-26,Thursday,Ascension Day,National Holiday,iceland
24-May-26,Sunday,Whit Sunday,National Holiday,iceland
25-May-26,Monday,Whit Monday,National Holiday,iceland
17-Jun-26,Wednesday,Icelandic Republic Day,National Holiday,iceland
03-Aug-26,Monday,Commerce Day,National Holiday,iceland
25-Dec-26,Friday,Christmas Day,National Holiday,iceland
26-Dec-26,Saturday,Second Day of Christmas,National Holiday,iceland
01-Jan-26,Thursday,New Year's Day,Federal Holiday,us
19-Jan-26,Monday,Martin Luther King Jr. Day,Federal Holiday,us
16-Feb-26,Monday,Presidents’ Day,Federal Holiday,us
25-May-26,Monday,Memorial Day,Federal Holiday,us
19-Jun-26,Friday,Juneteenth,Federal Holiday,us
03-Jul-26,Friday,Independence Day (substitute),Federal Holiday,us
04-Jul-26,Saturday,Independence Day,Federal Holiday,us
07-Sep-26,Monday,Labor Day,Federal Holiday,us
12-Oct-26,Monday,Columbus Day,Federal Holiday,us
11-Nov-26,Wednesday,Veterans Day,Federal Holiday,us
26-Nov-26,Thursday,Thanksgiving Day,Federal Holiday,us
25-Dec-26,Friday,Christmas Day,Federal Holiday,us
