Date,Day,Name,Type,Country
01-Jan-23,Sunday,New Year's Day,National Holiday,czech
01-Jan-23,Sunday,Restoration of the Czech Independence Day,National Holiday,czech
07-Apr-23,Friday,Good Friday,National Holiday,czech
10-Apr-23,Monday,Easter Monday,National Holiday,czech
01-May-23,Monday,Labor Day,National Holiday,czech
08-May-23,Monday,Victory in Europe Day,National Holiday,czech
05-Jul-23,Wednesday,Day of Saints Cyril and Methodius,National Holiday,czech
06-Jul-23,Thursday,Jan Hus Day,National Holiday,czech
28-Sep-23,Thursday,St. Wenceslas Day,National Holiday,czech
28-Oct-23,Saturday,Independent Czechoslovak State Day,National Holiday,czech
17-Nov-23,Friday,Struggle for Freedom and Democracy Day,National Holiday,czech
24-Dec-23,Sunday,Christmas Eve,National Holiday,czech
25-Dec-23,Monday,Christmas Day,National Holiday,czech
26-Dec-23,Tuesday,St. Stephen's Day,National Holiday,czech
01-Jan-23,Sunday,New Year's Day,National Holiday,china
02-Jan-23,Monday,New Year’s Holiday,National Holiday,china
21-Jan-23,Saturday,Spring Festival Eve,National Holiday,china
22-Jan-23,Sunday,Chinese New Year,National Holiday,china
23-Jan-23,Monday,Spring Festival Holiday,National Holiday,china
24-Jan-23,Tuesday,Spring Festival Holiday,National Holiday,china
25-Jan-23,Wednesday,Spring Festival Holiday,National Holiday,china
26-Jan-23,Thursday,Spring Festival Holiday,National Holiday,china
27-Jan-23,Friday,Spring Festival Holiday,National Holiday,china
05-Apr-23,Wednesday,Qing Ming Jie,National Holiday,china
29-Apr-23,Saturday,Labour Day Holiday,National Holiday,china
30-Apr-23,Sunday,Labour Day Holiday,National Holiday,china
01-May-23,Monday,Labour Day,National Holiday,china
02-May-23,Tuesday,Labour Day Holiday,National Holiday,china
03-May-23,Wednesday,Labour Day Holiday,National Holiday,china
22-Jun-23,Thursday,Dragon Boat Festival,National Holiday,china
23-Jun-23,Friday,Dragon Boat Festival Holiday,National Holiday,china
24-Jun-23,Saturday,Dragon Boat Festival Holiday,National Holiday,china
29-Sep-23,Friday,Mid-Autumn Festival,National Holiday,china
30-Sep-23,Saturday,Mid-Autumn Festival Holiday,National Holiday,china
01-Oct-23,Sunday,National Day,National Holiday,china
02-Oct-23,Monday,National Day Holiday,National Holiday,china
03-Oct-23,Tuesday,National Day Holiday,National Holiday,china
04-Oct-23,Wednesday,National Day Holiday,National Holiday,china
05-Oct-23,Thursday,National Day Holiday,National Holiday,china
06-Oct-23,Friday,National Day Golden Week holiday,National Holiday,china
01-Jan-23,Sunday,New Year's Day,National Holiday,denmark
06-Apr-23,Thursday,Maundy Thursday,National Holiday,denmark
07-Apr-23,Friday,Good Friday,National Holiday,denmark
09-Apr-23,Sunday,Easter Sunday,National Holiday,denmark
10-Apr-23,Monday,Easter Monday,National Holiday,denmark
05-May-23,Friday,Great Prayer Day,National Holiday,denmark
18-May-23,Thursday,Ascension Day,National Holiday,denmark
28-May-23,Sunday,Whit Sunday,National Holiday,denmark
29-May-23,Monday,Whit Monday,National Holiday,denmark
25-Dec-23,Monday,Christmas Day,National Holiday,denmark
26-Dec-23,Tuesday,2nd Christmas Day,National Holiday,denmark
01-Jan-23,Sunday,New Year's Day,National Holiday,finland
06-Jan-23,Friday,Epiphany,National Holiday,finland
07-Apr-23,Friday,Good Friday,National Holiday,finland
10-Apr-23,Monday,Easter Monday,National Holiday,finland
01-May-23,Monday,May Day,National Holiday,finland
18-May-23,Thursday,Ascension Day,National Holiday,finland
24-Jun-23,Saturday,Midsummer,National Holiday,finland
04-Nov-23,Saturday,All Saints' Day,National Holiday,finland
06-Dec-23,Wednesday,Independence Day,National Holiday,finland
25-Dec-23,Monday,Christmas Day,National Holiday,finland
26-Dec-23,Tuesday,Boxing Day,National Holiday,finland
01-Jan-23,Sunday,New Year's Day,National Holiday,france
10-Apr-23,Monday,Easter Monday,National Holiday,france
01-May-23,Monday,Labor Day,National Holiday,france
08-May-23,Monday,WWII Victory Day,National Holiday,france
18-May-23,Thursday,Ascension Day,National Holiday,france
29-May-23,Monday,Whit Monday,National Holiday,france
14-Jul-23,Friday,Bastille Day,National Holiday,france
15-Aug-23,Tuesday,Assumption of Mary,National Holiday,france
01-Nov-23,Wednesday,All Saints' Day,National Holiday,france
11-Nov-23,Saturday,Armistice Day,National Holiday,france
25-Dec-23,Monday,Christmas Day,National Holiday,france
