Date,Day,Name,Type,Country
21-Feb-23,Tuesday,Language Martyrs' Day,Government Holiday,bangladesh
08-Mar-23,Wednesday,Shab e-Barat,Government Holiday,bangladesh
17-Mar-23,Friday,Sheikh Mujibur Rahman’s birthday,Government Holiday,bangladesh
26-Mar-23,Sunday,Independence Day,Government Holiday,bangladesh
14-Apr-23,Friday,Bengali New Year,Government Holiday,bangladesh
19-Apr-23,Wednesday,Shab-e-qadr,Government Holiday,bangladesh
20-Apr-23,Thursday,Eid ul-Fitr Holiday,Government Holiday,bangladesh
21-Apr-23,Friday,Jumatul Bidah,Government Holiday,bangladesh
21-Apr-23,Friday,Eid ul-Fitr Holiday,Government Holiday,bangladesh
22-Apr-23,Saturday,Eid ul-Fitr,Government Holiday,bangladesh
23-Apr-23,Sunday,Eid ul-Fitr Holiday,Government Holiday,bangladesh
01-May-23,Monday,May Day,Government Holiday,bangladesh
04-May-23,Thursday,Buddha Purnima/Vesak,Government Holiday,bangladesh
28-Jun-23,Wednesday,Eid al-Adha Holiday,Government Holiday,bangladesh
29-Jun-23,Thursday,Eid al-Adha,Government Holiday,bangladesh
30-Jun-23,Friday,Eid al-Adha Holiday,Government Holiday,bangladesh
19-Jul-23,Wednesday,Muharram,Government Holiday,bangladesh
29-Jul-23,Saturday,Ashura,Government Holiday,bangladesh
15-Aug-23,Tuesday,National Mourning Day,Government Holiday,bangladesh
06-Sep-23,Wednesday,Janmashtami,Government Holiday,bangladesh
28-Sep-23,Thursday,Eid e-Milad-un Nabi,Government Holiday,bangladesh
24-Oct-23,Tuesday,Durga Puja,Government Holiday,bangladesh
16-Dec-23,Saturday,Victory Day,Government Holiday,bangladesh
25-Dec-23,Monday,Christmas Day,Government Holiday,bangladesh
01-Jan-23,Sunday,New Year's Day,National Holiday,australia
26-Jan-23,Thursday,Australia Day,National Holiday,australia
07-Apr-23,Friday,Good Friday,National Holiday,australia
10-Apr-23,Monday,Easter Monday,National Holiday,australia
25-Apr-23,Tuesday,ANZAC Day,National Holiday,australia
25-Dec-23,Monday,Christmas Day,National Holiday,australia
26-Dec-23,Tuesday,Boxing Day,National Holiday,australia
01-Jan-23,Sunday,New Year's Day,National Holiday,brazil
20-Feb-23,Monday,Carnival Monday,Government Holiday,brazil
21-Feb-23,Tuesday,Carnival Tuesday,Government Holiday,brazil
22-Feb-23,Wednesday,Carnival end (until 2pm),Government Holiday,brazil
07-Apr-23,Friday,Good Friday,National Holiday,brazil
21-Apr-23,Friday,Tiradentes Day,National Holiday,brazil
01-May-23,Monday,Labor Day,National Holiday,brazil
08-Jun-23,Thursday,Corpus Christi,Government Holiday,brazil
07-Sep-23,Thursday,Independence Day,National Holiday,brazil
12-Oct-23,Thursday,Our Lady of Aparecida / Children's Day,National Holiday,brazil
28-Oct-23,Saturday,Public Service Holiday,Government Holiday,brazil
02-Nov-23,Thursday,All Souls' Day,National Holiday,brazil
15-Nov-23,Wednesday,Republic Proclamation Day,National Holiday,brazil
24-Dec-23,Sunday,Christmas Eve (from 2pm),Government Holiday,brazil
25-Dec-23,Monday,Christmas Day,National Holiday,brazil
31-Dec-23,Sunday,New Year's Eve (from 2pm),Government Holiday,brazil
01-Jan-23,Sunday,New Year's Day,National Holiday,bulgaria
02-Jan-23,Monday,Day off for New Year's Day,National Holiday,bulgaria
03-Mar-23,Friday,Liberation Day,National Holiday,bulgaria
14-Apr-23,Friday,Good Friday,National Holiday,bulgaria
15-Apr-23,Saturday,Holy Saturday,National Holiday,bulgaria
16-Apr-23,Sunday,Easter Sunday,National Holiday,bulgaria
17-Apr-23,Monday,Easter Monday,National Holiday,bulgaria
01-May-23,Monday,Labor Day,National Holiday,bulgaria
06-May-23,Saturday,St. George's Day,National Holiday,bulgaria
08-May-23,Monday,Day off for St. George's Day,National Holiday,bulgaria
24-May-23,Wednesday,Culture and Literacy Day,National Holiday,bulgaria
06-Sep-23,Wednesday,Unification Day,National Holiday,bulgaria
22-Sep-23,Friday,Independence Day,National Holiday,bulgaria
24-Dec-23,Sunday,Christmas Eve,National Holiday,bulgaria
25-Dec-23,Monday,Christmas Day,National Holiday,bulgaria
26-Dec-23,Tuesday,Second day of Christmas,National Holiday,bulgaria
27-Dec-23,Wednesday,Christmas holiday,National Holiday,bulgaria
01-Jan-23,Sunday,New Year's Day,Statutory Holiday,canada
02-Jan-23,Monday,Day off for New Year's Day,Statutory Holiday,canada
07-Apr-23,Friday,Good Friday,Statutory Holiday,canada
10-Apr-23,Monday,Easter Monday,Statutory Holiday,canada
22-May-23,Monday,Victoria Day,Statutory Holiday,canada
01-Jul-23,Saturday,Canada Day,Statutory Holiday,canada
04-Sep-23,Monday,Labour Day,Statutory Holiday,canada
30-Sep-23,Saturday,National Day for Truth and Reconciliation,Federal Employees Holiday,canada
09-Oct-23,Monday,Thanksgiving Day,Statutory Holiday,canada
11-Nov-23,Saturday,Remembrance Day,Statutory Holiday,canada
25-Dec-23,Monday,Christmas Day,Statutory Holiday,canada
26-Dec-23,Tuesday,Boxing Day,Statutory Holiday,canada
