Date,Day,Name,Type,Country
01-Jan-23,Sunday,New Year's Day,Public Holiday,netherlands
07-Apr-23,Friday,Good Friday,Public Holiday,netherlands
09-Apr-23,Sunday,Easter Sunday,Public Holiday,netherlands
10-Apr-23,Monday,Easter Monday,Public Holiday,netherlands
27-Apr-23,Thursday,King's Birthday,Public Holiday,netherlands
18-May-23,Thursday,Ascension Day,Public Holiday,netherlands
28-May-23,Sunday,Whit Sunday,Public Holiday,netherlands
29-May-23,Monday,Whit Monday,Public Holiday,netherlands
25-Dec-23,Monday,Christmas Day,Public Holiday,netherlands
26-Dec-23,Tuesday,Second Day of Christmas,Public Holiday,netherlands
01-May-23,Monday,Labor Day,"National Holiday, Flag Day",norway
17-May-23,Wednesday,17 May Constitution Day (1814),"National Holiday, Flag Day",norway
01-Jan-23,Sunday,New Year's Day,Regular Holiday,philippines
02-Jan-23,Monday,Special non-working day after New Year,Special Non-working Holiday,philippines
24-Feb-23,Friday,Day off for People Power Anniversary,Special Non-working Holiday,philippines
25-Feb-23,Saturday,People Power Anniversary,Special Non-working Holiday,philippines
06-Apr-23,Thursday,Maundy Thursday,Regular Holiday,philippines
07-Apr-23,Friday,Good Friday,Regular Holiday,philippines
08-Apr-23,Saturday,Black Saturday,Special Non-working Holiday,philippines
10-Apr-23,Monday,The Day of Valor,Regular Holiday,philippines
21-Apr-23,Friday,Eid al-Fitr Holiday,Regular Holiday,philippines
01-May-23,Monday,Labor Day,Regular Holiday,philippines
12-Jun-23,Monday,Independence Day,Regular Holiday,philippines
28-Jun-23,Wednesday,Eid al-Adha,Regular Holiday,philippines
21-Aug-23,Monday,Ninoy Aquino Day,Special Non-working Holiday,philippines
28-Aug-23,Monday,National Heroes Day,Regular Holiday,philippines
30-Oct-23,Monday,Reformation Day,Special Non-working Holiday,philippines
01-Nov-23,Wednesday,All Saints' Day,Special Non-working Holiday,philippines
02-Nov-23,Thursday,All Souls' Day,Special Non-working Holiday,philippines
27-Nov-23,Monday,Day off for Bonifacio Day,Regular Holiday,philippines
08-Dec-23,Friday,Feast of the Immaculate Conception,Special Non-working Holiday,philippines
24-Dec-23,Sunday,Christmas Eve,Special Non-working Holiday,philippines
25-Dec-23,Monday,Christmas Day,Regular Holiday,philippines
26-Dec-23,Tuesday,Special Day after Christmas,Special Non-working Holiday,philippines
30-Dec-23,Saturday,Rizal Day,Regular Holiday,philippines
31-Dec-23,Sunday,New Year's Eve,Special Non-working Holiday,philippines
05-Feb-23,Sunday,Kashmir Day,Public Holiday,pakistan
23-Mar-23,Thursday,Pakistan Day,Public Holiday,pakistan
21-Apr-23,Friday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
22-Apr-23,Saturday,Eid-ul-Fitr,Public Holiday,pakistan
23-Apr-23,Sunday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
24-Apr-23,Monday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
25-Apr-23,Tuesday,Eid-ul-Fitr Holiday,Public Holiday,pakistan
01-May-23,Monday,Labour Day,Public Holiday,pakistan
29-Jun-23,Thursday,Eid al-Adha,Public Holiday,pakistan
30-Jun-23,Friday,Eid al-Adha Holiday,Public Holiday,pakistan
01-Jul-23,Saturday,Eid al-Adha Holiday,Public Holiday,pakistan
28-Jul-23,Friday,Ashura Holiday,Public Holiday,pakistan
29-Jul-23,Saturday,Ashura,Public Holiday,pakistan
14-Aug-23,Monday,Independence Day,Public Holiday,pakistan
29-Sep-23,Friday,Eid Milad un-Nabi,Public Holiday,pakistan
09-Nov-23,Thursday,Iqbal Day,Public Holiday,pakistan
25-Dec-23,Monday,Christmas Day,Public Holiday,pakistan
25-Dec-23,Monday,Quaid-e-Azam Day,Public Holiday,pakistan
01-Jan-23,Sunday,New Year's Day,National Holiday,poland
06-Jan-23,Friday,Epiphany,National Holiday,poland
09-Apr-23,Sunday,Easter Sunday,National Holiday,poland
10-Apr-23,Monday,Easter Monday,National Holiday,poland
01-May-23,Monday,Labor Day,National Holiday,poland
03-May-23,Wednesday,Constitution Day,National Holiday,poland
28-May-23,Sunday,Whit Sunday,National Holiday,poland
08-Jun-23,Thursday,Corpus Christi,National Holiday,poland
15-Aug-23,Tuesday,Assumption of Mary,National Holiday,poland
01-Nov-23,Wednesday,All Saints' Day,National Holiday,poland
11-Nov-23,Saturday,Independence Day,National Holiday,poland
25-Dec-23,Monday,Christmas Day,National Holiday,poland
26-Dec-23,Tuesday,Second Day of Christmas,National Holiday,poland
