Date,Day,Name,Type,Country
01-Jan-21,Friday,New Year's Day,National Holiday,australia
26-Jan-21,Tuesday,Australia Day,National Holiday,australia
02-Apr-21,Friday,Good Friday,National Holiday,australia
05-Apr-21,Monday,Easter Monday,National Holiday,australia
25-Apr-21,Sunday,ANZAC Day,National Holiday,australia
25-Dec-21,Saturday,Christmas Day,National Holiday,australia
26-Dec-21,Sunday,Boxing Day,National Holiday,australia
21-Feb-21,Sunday,Language Martyrs' Day,Government Holiday,bangladesh
17-Mar-21,Wednesday,Sheikh Mujibur Rahman’s birthday,Government Holiday,bangladesh
26-Mar-21,Friday,Independence Day,Government Holiday,bangladesh
30-Mar-21,Tuesday,Shab e-Barat,Government Holiday,bangladesh
14-Apr-21,Wednesday,Bengali New Year,Government Holiday,bangladesh
01-May-21,Saturday,May Day,Government Holiday,bangladesh
07-May-21,Friday,Jumatul Bidah,Government Holiday,bangladesh
10-May-21,Monday,Shab-e-qadr,Government Holiday,bangladesh
14-May-21,Friday,Eid ul-Fitr,Government Holiday,bangladesh
15-May-21,Saturday,Eid ul-Fitr Holiday,Government Holiday,bangladesh
16-May-21,Sunday,Eid ul-Fitr Holiday,Government Holiday,bangladesh
26-May-21,Wednesday,Buddha Purnima/Vesak,Government Holiday,bangladesh
01-Jul-21,Thursday,Public Holiday,General Holiday (COVID-19),bangladesh
02-Jul-21,Friday,Public Holiday,General Holiday (COVID-19),bangladesh
03-Jul-21,Saturday,Public Holiday,General Holiday (COVID-19),bangladesh
04-Jul-21,Sunday,Public Holiday,General Holiday (COVID-19),bangladesh
05-Jul-21,Monday,Public Holiday,General Holiday (COVID-19),bangladesh
06-Jul-21,Tuesday,Public Holiday,General Holiday (COVID-19),bangladesh
07-Jul-21,Wednesday,Public Holiday,General Holiday (COVID-19),bangladesh
20-Jul-21,Tuesday,Eid al-Adha Holiday,Government Holiday,bangladesh
21-Jul-21,Wednesday,Eid al-Adha,Government Holiday,bangladesh
22-Jul-21,Thursday,Eid al-Adha Holiday,Government Holiday,bangladesh
10-Aug-21,Tuesday,Muharram,Government Holiday,bangladesh
15-Aug-21,Sunday,National Mourning Day,Government Holiday,bangladesh
20-Aug-21,Friday,Ashura,Government Holiday,bangladesh
30-Aug-21,Monday,Janmashtami,Government Holiday,bangladesh
15-Oct-21,Friday,Durga Puja,Government Holiday,bangladesh
20-Oct-21,Wednesday,Eid e-Milad-un Nabi,Government Holiday,bangladesh
16-Dec-21,Thursday,Victory Day,Government Holiday,bangladesh
25-Dec-21,Saturday,Christmas Day,Government Holiday,bangladesh
01-Jan-21,Friday,New Year's Day,National Holiday,brazil
15-Feb-21,Monday,Carnival Monday,Government Holiday,brazil
16-Feb-21,Tuesday,Carnival Tuesday,Government Holiday,brazil
17-Feb-21,Wednesday,Carnival end (until 2pm),Government Holiday,brazil
02-Apr-21,Friday,Good Friday,National Holiday,brazil
21-Apr-21,Wednesday,Tiradentes Day,National Holiday,brazil
01-May-21,Saturday,Labor Day,National Holiday,brazil
03-Jun-21,Thursday,Corpus Christi,Government Holiday,brazil
07-Sep-21,Tuesday,Independence Day,National Holiday,brazil
12-Oct-21,Tuesday,Our Lady of Aparecida / Children's Day,National Holiday,brazil
28-Oct-21,Thursday,Public Service Holiday,Government Holiday,brazil
02-Nov-21,Tuesday,All Souls' Day,National Holiday,brazil
15-Nov-21,Monday,Republic Proclamation Day,National Holiday,brazil
24-Dec-21,Friday,Christmas Eve (from 2pm),Government Holiday,brazil
25-Dec-21,Saturday,Christmas Day,National Holiday,brazil
31-Dec-21,Friday,New Year's Eve (from 2pm),Government Holiday,brazil
01-Jan-21,Friday,New Year's Day,National Holiday,bulgaria
03-Mar-21,Wednesday,Liberation Day,National Holiday,bulgaria
30-Apr-21,Friday,Good Friday,National Holiday,bulgaria
01-May-21,Saturday,Holy Saturday,National Holiday,bulgaria
01-May-21,Saturday,Labor Day,National Holiday,bulgaria
02-May-21,Sunday,Easter Sunday,National Holiday,bulgaria
03-May-21,Monday,Easter Monday,National Holiday,bulgaria
04-May-21,Tuesday,Day off for Labor Day,National Holiday,bulgaria
06-May-21,Thursday,St. George's Day,National Holiday,bulgaria
24-May-21,Monday,Culture and Literacy Day,National Holiday,bulgaria
06-Sep-21,Monday,Unification Day,National Holiday,bulgaria
22-Sep-21,Wednesday,Independence Day,National Holiday,bulgaria
24-Dec-21,Friday,Christmas Eve,National Holiday,bulgaria
25-Dec-21,Saturday,Christmas Day,National Holiday,bulgaria
26-Dec-21,Sunday,Second day of Christmas,National Holiday,bulgaria
27-Dec-21,Monday,Christmas holiday,National Holiday,bulgaria
28-Dec-21,Tuesday,Christmas holiday,National Holiday,bulgaria
01-Jan-21,Friday,New Year's Day,Statutory Holiday,canada
02-Apr-21,Friday,Good Friday,Statutory Holiday,canada
05-Apr-21,Monday,Easter Monday,Statutory Holiday,canada
24-May-21,Monday,Victoria Day,Statutory Holiday,canada
01-Jul-21,Thursday,Canada Day,Statutory Holiday,canada
06-Sep-21,Monday,Labour Day,Statutory Holiday,canada
30-Sep-21,Thursday,National Day for Truth and Reconciliation,Federal Employees Holiday,canada
11-Oct-21,Monday,Thanksgiving Day,Statutory Holiday,canada
11-Nov-21,Thursday,Remembrance Day,Statutory Holiday,canada
25-Dec-21,Saturday,Christmas Day,Statutory Holiday,canada
26-Dec-21,Sunday,Boxing Day,Statutory Holiday,canada
