Date,Day,Name,Type,Country
01-Jan-22,Saturday,New Year's Day,National Holiday,australia
26-Jan-22,Wednesday,Australia Day,National Holiday,australia
15-Apr-22,Friday,Good Friday,National Holiday,australia
18-Apr-22,Monday,Easter Monday,National Holiday,australia
25-Apr-22,Monday,ANZAC Day,National Holiday,australia
22-Sep-22,Thursday,National Day of Mourning for Her Majesty The Queen,National Holiday,australia
25-Dec-22,Sunday,Christmas Day,National Holiday,australia
26-Dec-22,Monday,Boxing Day,National Holiday,australia
21-Feb-22,Monday,Language Martyrs' Day,Government Holiday,bangladesh
17-Mar-22,Thursday,Sheikh Mujibur Rahman’s birthday,Government Holiday,bangladesh
19-Mar-22,Saturday,Shab e-Barat,Government Holiday,bangladesh
26-Mar-22,Saturday,Independence Day,Government Holiday,bangladesh
14-Apr-22,Thursday,Bengali New Year,Government Holiday,bangladesh
29-Apr-22,Friday,Jumatul Bidah,Government Holiday,bangladesh
29-Apr-22,Friday,Shab-e-qadr,Government Holiday,bangladesh
01-May-22,Sunday,May Day,Government Holiday,bangladesh
02-May-22,Monday,Eid ul-Fitr Holiday,Government Holiday,bangladesh
03-May-22,Tuesday,Eid ul-Fitr,Government Holiday,bangladesh
04-May-22,Wednesday,Eid ul-Fitr Holiday,Government Holiday,bangladesh
15-May-22,Sunday,Buddha Purnima/Vesak,Government Holiday,bangladesh
09-Jul-22,Saturday,Eid al-Adha Holiday,Government Holiday,bangladesh
10-Jul-22,Sunday,Eid al-Adha,Government Holiday,bangladesh
11-Jul-22,Monday,Eid al-Adha Holiday,Government Holiday,bangladesh
09-Aug-22,Tuesday,Ashura,Government Holiday,bangladesh
15-Aug-22,Monday,National Mourning Day,Government Holiday,bangladesh
18-Aug-22,Thursday,Janmashtami,Government Holiday,bangladesh
05-Oct-22,Wednesday,Durga Puja,Government Holiday,bangladesh
09-Oct-22,Sunday,Eid e-Milad-un Nabi,Government Holiday,bangladesh
16-Dec-22,Friday,Victory Day,Government Holiday,bangladesh
25-Dec-22,Sunday,Christmas Day,Government Holiday,bangladesh
01-Jan-22,Saturday,New Year's Day,National Holiday,brazil
28-Feb-22,Monday,Carnival Monday,Government Holiday,brazil
01-Mar-22,Tuesday,Carnival Tuesday,Government Holiday,brazil
02-Mar-22,Wednesday,Carnival end (until 2pm),Government Holiday,brazil
15-Apr-22,Friday,Good Friday,National Holiday,brazil
21-Apr-22,Thursday,Tiradentes Day,National Holiday,brazil
01-May-22,Sunday,Labor Day,National Holiday,brazil
16-Jun-22,Thursday,Corpus Christi,Government Holiday,brazil
07-Sep-22,Wednesday,Independence Day,National Holiday,brazil
12-Oct-22,Wednesday,Our Lady of Aparecida / Children's Day,National Holiday,brazil
28-Oct-22,Friday,Public Service Holiday,Government Holiday,brazil
02-Nov-22,Wednesday,All Souls' Day,National Holiday,brazil
15-Nov-22,Tuesday,Republic Proclamation Day,National Holiday,brazil
24-Dec-22,Saturday,Christmas Eve (from 2pm),Government Holiday,brazil
25-Dec-22,Sunday,Christmas Day,National Holiday,brazil
31-Dec-22,Saturday,New Year's Eve (from 2pm),Government Holiday,brazil
01-Jan-22,Saturday,New Year's Day,National Holiday,bulgaria
03-Jan-22,Monday,Day off for New Year's Day,National Holiday,bulgaria
03-Mar-22,Thursday,Liberation Day,National Holiday,bulgaria
22-Apr-22,Friday,Good Friday,National Holiday,bulgaria
23-Apr-22,Saturday,Holy Saturday,National Holiday,bulgaria
24-Apr-22,Sunday,Easter Sunday,National Holiday,bulgaria
25-Apr-22,Monday,Easter Monday,National Holiday,bulgaria
01-May-22,Sunday,Labor Day,National Holiday,bulgaria
02-May-22,Monday,Day off for Labor Day,National Holiday,bulgaria
06-May-22,Friday,St. George's Day,National Holiday,bulgaria
24-May-22,Tuesday,Culture and Literacy Day,National Holiday,bulgaria
06-Sep-22,Tuesday,Unification Day,National Holiday,bulgaria
22-Sep-22,Thursday,Independence Day,National Holiday,bulgaria
24-Dec-22,Saturday,Christmas Eve,National Holiday,bulgaria
25-Dec-22,Sunday,Christmas Day,National Holiday,bulgaria
26-Dec-22,Monday,Second day of Christmas,National Holiday,bulgaria
27-Dec-22,Tuesday,Christmas holiday,National Holiday,bulgaria
28-Dec-22,Wednesday,Christmas holiday,National Holiday,bulgaria
01-Jan-22,Saturday,New Year's Day,Statutory Holiday,canada
03-Jan-22,Monday,Day off for New Year's Day,Statutory Holiday,canada
15-Apr-22,Friday,Good Friday,Statutory Holiday,canada
18-Apr-22,Monday,Easter Monday,Statutory Holiday,canada
23-May-22,Monday,Victoria Day,Statutory Holiday,canada
01-Jul-22,Friday,Canada Day,Statutory Holiday,canada
05-Sep-22,Monday,Labour Day,Statutory Holiday,canada
19-Sep-22,Monday,Queen Elizabeth II's Funeral Day,Federal Employees Holiday,canada
30-Sep-22,Friday,National Day for Truth and Reconciliation,Federal Employees Holiday,canada
10-Oct-22,Monday,Thanksgiving Day,Statutory Holiday,canada
11-Nov-22,Friday,Remembrance Day,Statutory Holiday,canada
25-Dec-22,Sunday,Christmas Day,Statutory Holiday,canada
26-Dec-22,Monday,Boxing Day,Statutory Holiday,canada
