Date,Day,Name,Type,Country
01-Jan-21,Friday,New Year's Day,National Holiday,czech
01-Jan-21,Friday,Restoration of the Czech Independence Day,National Holiday,czech
02-Apr-21,Friday,Good Friday,National Holiday,czech
05-Apr-21,Monday,Easter Monday,National Holiday,czech
01-May-21,Saturday,Labor Day,National Holiday,czech
08-May-21,Saturday,Victory in Europe Day,National Holiday,czech
05-Jul-21,Monday,Day of Saints Cyril and Methodius,National Holiday,czech
06-Jul-21,Tuesday,Jan Hus Day,National Holiday,czech
28-Sep-21,Tuesday,St. Wenceslas Day,National Holiday,czech
28-Oct-21,Thursday,Independent Czechoslovak State Day,National Holiday,czech
17-Nov-21,Wednesday,Struggle for Freedom and Democracy Day,National Holiday,czech
24-Dec-21,Friday,Christmas Eve,National Holiday,czech
25-Dec-21,Saturday,Christmas Day,National Holiday,czech
26-Dec-21,Sunday,St. Stephen's Day,National Holiday,czech
01-Jan-21,Friday,New Year's Day,National Holiday,china
02-Jan-21,Saturday,New Year’s Holiday,National Holiday,china
03-Jan-21,Sunday,New Year’s Holiday,National Holiday,china
11-Feb-21,Thursday,Spring Festival Eve,National Holiday,china
12-Feb-21,Friday,Chinese New Year,National Holiday,china
13-Feb-21,Saturday,Spring Festival Holiday,National Holiday,china
14-Feb-21,Sunday,Spring Festival Holiday,National Holiday,china
15-Feb-21,Monday,Spring Festival Holiday,National Holiday,china
16-Feb-21,Tuesday,Spring Festival Holiday,National Holiday,china
17-Feb-21,Wednesday,Spring Festival Holiday,National Holiday,china
03-Apr-21,Saturday,Qing Ming Jie Holiday,National Holiday,china
04-Apr-21,Sunday,Qing Ming Jie Holiday,National Holiday,china
05-Apr-21,Monday,Qing Ming Jie,National Holiday,china
01-May-21,Saturday,Labour Day,National Holiday,china
02-May-21,Sunday,Labour Day Holiday,National Holiday,china
03-May-21,Monday,Labour Day Holiday,National Holiday,china
04-May-21,Tuesday,Labour Day Holiday,National Holiday,china
05-May-21,Wednesday,Labour Day Holiday,National Holiday,china
12-Jun-21,Saturday,Dragon Boat Festival Holiday,National Holiday,china
13-Jun-21,Sunday,Dragon Boat Festival Holiday,National Holiday,china
14-Jun-21,Monday,Dragon Boat Festival,National Holiday,china
19-Sep-21,Sunday,Mid-Autumn Festival Holiday,National Holiday,china
20-Sep-21,Monday,Mid-Autumn Festival Holiday,National Holiday,china
21-Sep-21,Tuesday,Mid-Autumn Festival,National Holiday,china
01-Oct-21,Friday,National Day,National Holiday,china
02-Oct-21,Saturday,National Day Holiday,National Holiday,china
03-Oct-21,Sunday,National Day Holiday,National Holiday,china
04-Oct-21,Monday,National Day Holiday,National Holiday,china
05-Oct-21,Tuesday,National Day Holiday,National Holiday,china
06-Oct-21,Wednesday,National Day Golden Week holiday,National Holiday,china
07-Oct-21,Thursday,National Day Holiday,National Holiday,china
01-Jan-21,Friday,New Year's Day,National Holiday,denmark
01-Apr-21,Thursday,Maundy Thursday,National Holiday,denmark
02-Apr-21,Friday,Good Friday,National Holiday,denmark
04-Apr-21,Sunday,Easter Sunday,National Holiday,denmark
05-Apr-21,Monday,Easter Monday,National Holiday,denmark
30-Apr-21,Friday,Great Prayer Day,National Holiday,denmark
13-May-21,Thursday,Ascension Day,National Holiday,denmark
14-May-21,Friday,Bank Holiday,Bank Holiday,denmark
23-May-21,Sunday,Whit Sunday,National Holiday,denmark
24-May-21,Monday,Whit Monday,National Holiday,denmark
24-Dec-21,Friday,Bank Holiday,Bank Holiday,denmark
25-Dec-21,Saturday,Christmas Day,National Holiday,denmark
26-Dec-21,Sunday,2nd Christmas Day,National Holiday,denmark
31-Dec-21,Friday,Bank Holiday,Bank Holiday,denmark
01-Jan-21,Friday,New Year's Day,National Holiday,finland
06-Jan-21,Wednesday,Epiphany,National Holiday,finland
02-Apr-21,Friday,Good Friday,National Holiday,finland
05-Apr-21,Monday,Easter Monday,National Holiday,finland
01-May-21,Saturday,May Day,National Holiday,finland
13-May-21,Thursday,Ascension Day,National Holiday,finland
26-Jun-21,Saturday,Midsummer,National Holiday,finland
06-Nov-21,Saturday,All Saints' Day,National Holiday,finland
06-Dec-21,Monday,Independence Day,National Holiday,finland
25-Dec-21,Saturday,Christmas Day,National Holiday,finland
26-Dec-21,Sunday,Boxing Day,National Holiday,finland
01-Jan-21,Friday,New Year's Day,National Holiday,france
05-Apr-21,Monday,Easter Monday,National Holiday,france
01-May-21,Saturday,Labor Day,National Holiday,france
08-May-21,Saturday,WWII Victory Day,National Holiday,france
13-May-21,Thursday,Ascension Day,National Holiday,france
24-May-21,Monday,Whit Monday,National Holiday,france
14-Jul-21,Wednesday,Bastille Day,National Holiday,france
15-Aug-21,Sunday,Assumption of Mary,National Holiday,france
01-Nov-21,Monday,All Saints' Day,National Holiday,france
11-Nov-21,Thursday,Armistice Day,National Holiday,france
25-Dec-21,Saturday,Christmas Day,National Holiday,france
