Date,Day,Name,Type,Country
01-Jan-21,Friday,New Year's Day,National Holiday,spain
06-Jan-21,Wednesday,Epiphany,National Holiday,spain
02-Apr-21,Friday,Good Friday,National Holiday,spain
01-May-21,Saturday,Labor Day,National Holiday,spain
12-Oct-21,Tuesday,Hispanic Day,National Holiday,spain
01-Nov-21,Monday,All Saints' Day,National Holiday,spain
06-Dec-21,Monday,Constitution Day,National Holiday,spain
08-Dec-21,Wednesday,Immaculate Conception,National Holiday,spain
25-Dec-21,Saturday,Christmas Day,National Holiday,spain
14-Jan-21,Thursday,Tamil Thai Pongal Day,Public Holiday,sri-lanka
28-Jan-21,Thursday,Duruthu Full Moon Poya Day,Public Holiday,sri-lanka
04-Feb-21,Thursday,National Day,Public Holiday,sri-lanka
26-Feb-21,Friday,Navam Full Moon Poya Day,Public Holiday,sri-lanka
11-Mar-21,Thursday,Mahasivarathri Day,Public Holiday,sri-lanka
28-Mar-21,Sunday,Madin Full Moon Poya Day,Public Holiday,sri-lanka
02-Apr-21,Friday,Good Friday,Public Holiday,sri-lanka
13-Apr-21,Tuesday,Sinhala and Tamil New Year's Eve,Public Holiday,sri-lanka
14-Apr-21,Wednesday,Sinhala and Tamil New Year's Day,Public Holiday,sri-lanka
26-Apr-21,Monday,Bak Full Moon Poya Day,Public Holiday,sri-lanka
01-May-21,Saturday,May Day,Public Holiday,sri-lanka
14-May-21,Friday,Eid al-Fitr,Public Holiday,sri-lanka
24-May-21,Monday,Vesak Holiday - Public Sector,Government Holiday,sri-lanka
25-May-21,Tuesday,Vesak Holiday - Public Sector,Government Holiday,sri-lanka
26-May-21,Wednesday,Vesak Full Moon Poya Day,Public Holiday,sri-lanka
27-May-21,Thursday,Day after Vesak Full Moon Poya Day,Public Holiday,sri-lanka
24-Jun-21,Thursday,Poson Full Moon Poya Day,Public Holiday,sri-lanka
21-Jul-21,Wednesday,Eid al-Adha,Public Holiday,sri-lanka
23-Jul-21,Friday,Esala Full Moon Poya Day,Public Holiday,sri-lanka
22-Aug-21,Sunday,Nikini Full Moon Poya Day,Public Holiday,sri-lanka
20-Sep-21,Monday,Binara Full Moon Poya Day,Public Holiday,sri-lanka
19-Oct-21,Tuesday,Milad-Un-Nabi,Public Holiday,sri-lanka
20-Oct-21,Wednesday,Vap Full Moon Poya Day,Public Holiday,sri-lanka
04-Nov-21,Thursday,Deepavali,Public Holiday,sri-lanka
18-Nov-21,Thursday,Il Full Moon Poya Day,Public Holiday,sri-lanka
18-Dec-21,Saturday,Unduvap Full Moon Poya Day,Public Holiday,sri-lanka
25-Dec-21,Saturday,Christmas Day,Public Holiday,sri-lanka
01-Jan-21,Friday,New Year's Day,Public Holiday,sweden
06-Jan-21,Wednesday,Epiphany,Public Holiday,sweden
02-Apr-21,Friday,Good Friday,Public Holiday,sweden
04-Apr-21,Sunday,Easter Sunday,Public Holiday,sweden
05-Apr-21,Monday,Easter Monday,Public Holiday,sweden
01-May-21,Saturday,May 1st,Public Holiday,sweden
13-May-21,Thursday,Ascension Day,Public Holiday,sweden
23-May-21,Sunday,Whit Sunday,Public Holiday,sweden
06-Jun-21,Sunday,National day,Public Holiday,sweden
26-Jun-21,Saturday,Midsummer Day,Public Holiday,sweden
06-Nov-21,Saturday,All Saints' Day,Public Holiday,sweden
25-Dec-21,Saturday,Christmas Day,Public Holiday,sweden
26-Dec-21,Sunday,Boxing Day,Public Holiday,sweden
01-Jan-21,Friday,Republic Day,National Holiday,taiwan
10-Feb-21,Wednesday,Lunar New Year Holiday,National Holiday,taiwan
11-Feb-21,Thursday,Lunar New Year's Eve,National Holiday,taiwan
12-Feb-21,Friday,Lunar New Year's Day,National Holiday,taiwan
13-Feb-21,Saturday,Lunar New Year Holiday,National Holiday,taiwan
14-Feb-21,Sunday,Lunar New Year Holiday,National Holiday,taiwan
15-Feb-21,Monday,Lunar New Year Holiday,National Holiday,taiwan
16-Feb-21,Tuesday,Lunar New Year Holiday,National Holiday,taiwan
28-Feb-21,Sunday,Peace Memorial Day,National Holiday,taiwan
01-Mar-21,Monday,Peace Memorial Day Holiday,National Holiday,taiwan
02-Apr-21,Friday,Children's Day Holiday,National Holiday,taiwan
04-Apr-21,Sunday,Children's Day,National Holiday,taiwan
05-Apr-21,Monday,Tomb Sweeping Day,National Holiday,taiwan
05-Apr-21,Monday,Children's Day Holiday,National Holiday,taiwan
14-Jun-21,Monday,Dragon Boat Festival,National Holiday,taiwan
20-Sep-21,Monday,Mid-Autumn Festival,National Holiday,taiwan
21-Sep-21,Tuesday,Mid-Autumn Festival,National Holiday,taiwan
10-Oct-21,Sunday,National Day,National Holiday,taiwan
11-Oct-21,Monday,National Day Holiday,National Holiday,taiwan
31-Dec-21,Friday,Republic Day Holiday,National Holiday,taiwan
01-Jan-21,Friday,New Year's Day,National Holiday,thailand
12-Feb-21,Friday,Chinese New Year's Day,National Holiday,thailand
26-Feb-21,Friday,Makha Bucha,National Holiday,thailand
06-Apr-21,Tuesday,Chakri Day,National Holiday,thailand
12-Apr-21,Monday,Songkran Holiday,National Holiday,thailand
13-Apr-21,Tuesday,Songkran,National Holiday,thailand
14-Apr-21,Wednesday,Songkran Holiday,National Holiday,thailand
15-Apr-21,Thursday,Songkran Holiday,National Holiday,thailand
01-May-21,Saturday,Labor Day,National Holiday,thailand
03-May-21,Monday,Labor Day observed,National Holiday,thailand
04-May-21,Tuesday,Coronation Day,National Holiday,thailand
10-May-21,Monday,Royal Ploughing Ceremony Day,Government Holiday,thailand
26-May-21,Wednesday,Visakha Bucha,National Holiday,thailand
03-Jun-21,Thursday,Queen Suthida's Birthday,National Holiday,thailand
24-Jul-21,Saturday,Asalha Bucha,National Holiday,thailand
25-Jul-21,Sunday,Buddhist Lent Day,National Holiday,thailand
26-Jul-21,Monday,Asalha Bucha observed,National Holiday,thailand
28-Jul-21,Wednesday,King Vajiralongkorn's Birthday,National Holiday,thailand
12-Aug-21,Thursday,The Queen Mother's Birthday,National Holiday,thailand
24-Sep-21,Friday,Mahidol Day,National Holiday,thailand
13-Oct-21,Wednesday,Anniversary of the Death of King Bhumibol,National Holiday,thailand
22-Oct-21,Friday,Day off for Chulalongkorn Day,National Holiday,thailand
23-Oct-21,Saturday,Chulalongkorn Day,National Holiday,thailand
05-Dec-21,Sunday,King Bhumibol's Birthday,National Holiday,thailand
06-Dec-21,Monday,King Bhumibol's Birthday observed,National Holiday,thailand
10-Dec-21,Friday,Constitution Day,National Holiday,thailand
31-Dec-21,Friday,New Year's Eve,National Holiday,thailand
