Date,Day,Name,Type,Country
01-Jan-21,Friday,New Year's Day,National Holiday,ireland
17-Mar-21,Wednesday,St. Patrick's Day,National Holiday,ireland
05-Apr-21,Monday,Easter Monday,National Holiday,ireland
03-May-21,Monday,May Day,National Holiday,ireland
07-Jun-21,Monday,June Bank Holiday,National Holiday,ireland
02-Aug-21,Monday,August Bank Holiday,National Holiday,ireland
25-Oct-21,Monday,October Bank Holiday,National Holiday,ireland
25-Dec-21,Saturday,Christmas Day,National Holiday,ireland
26-Dec-21,Sunday,St. Stephen's Day,National Holiday,ireland
01-Jan-21,Friday,New Year's Day,National Holiday,iceland
01-Apr-21,Thursday,Maundy Thursday,National Holiday,iceland
02-Apr-21,Friday,Good Friday,National Holiday,iceland
04-Apr-21,Sunday,Easter Sunday,National Holiday,iceland
05-Apr-21,Monday,Easter Monday,National Holiday,iceland
22-Apr-21,Thursday,First Day of Summer,National Holiday,iceland
01-May-21,Saturday,Labour Day,National Holiday,iceland
13-May-21,Thursday,Ascension Day,National Holiday,iceland
23-May-21,Sunday,Whit Sunday,National Holiday,iceland
24-May-21,Monday,Whit Monday,National Holiday,iceland
17-Jun-21,Thursday,Icelandic Republic Day,National Holiday,iceland
02-Aug-21,Monday,Commerce Day,National Holiday,iceland
25-Dec-21,Saturday,Christmas Day,National Holiday,iceland
26-Dec-21,Sunday,Second Day of Christmas,National Holiday,iceland
01-Jan-21,Friday,New Year's Day,Federal Holiday,us
18-Jan-21,Monday,Martin Luther King Jr. Day,Federal Holiday,us
20-Jan-21,Wednesday,Inauguration Day,Federal Holiday,us
15-Feb-21,Monday,Presidents’ Day,Federal Holiday,us
31-May-21,Monday,Memorial Day,Federal Holiday,us
18-Jun-21,Friday,Juneteenth (substitute),Federal Holiday,us
19-Jun-21,Saturday,Juneteenth,Federal Holiday,us
04-Jul-21,Sunday,Independence Day,Federal Holiday,us
05-Jul-21,Monday,Independence Day (substitute),Federal Holiday,us
06-Sep-21,Monday,Labor Day,Federal Holiday,us
11-Oct-21,Monday,Columbus Day,Federal Holiday,us
11-Nov-21,Thursday,Veterans Day,Federal Holiday,us
25-Nov-21,Thursday,Thanksgiving Day,Federal Holiday,us
24-Dec-21,Friday,Christmas Day (substitute),Federal Holiday,us
25-Dec-21,Saturday,Christmas Day,Federal Holiday,us
31-Dec-21,Friday,New Year's Day (substitute),Federal Holiday,us
