Date,Day,Name,Type,Country
01-Jan-21,Friday,New Year's Day,National Holiday,portugal
02-Apr-21,Friday,Good Friday,"National Holiday, Christian",portugal
04-Apr-21,Sunday,Easter Sunday,"National Holiday, Christian",portugal
25-Apr-21,Sunday,Liberty Day,National Holiday,portugal
01-May-21,Saturday,Labor Day,National Holiday,portugal
03-Jun-21,Thursday,Corpus Christi,"National Holiday, Christian",portugal
10-Jun-21,Thursday,Portugal Day,National Holiday,portugal
15-Aug-21,Sunday,Assumption of Mary,"National Holiday, Christian",portugal
05-Oct-21,Tuesday,Republic Day,National Holiday,portugal
01-Nov-21,Monday,All Saints' Day,"National Holiday, Christian",portugal
01-Dec-21,Wednesday,Restoration of Independence,National Holiday,portugal
08-Dec-21,Wednesday,Feast of the Immaculate Conception,"National Holiday, Christian",portugal
25-Dec-21,Saturday,Christmas Day,"National Holiday, Christian",portugal
01-Jan-21,Friday,New Year's Day,National Holiday,romania
02-Jan-21,Saturday,Day after New Year's Day,National Holiday,romania
24-Jan-21,Sunday,Unification Day,National Holiday,romania
30-Apr-21,Friday,Orthodox Good Friday,"National Holiday, Orthodox",romania
01-May-21,Saturday,Labor Day,National Holiday,romania
02-May-21,Sunday,Orthodox Easter,"National Holiday, Orthodox",romania
03-May-21,Monday,Orthodox Easter Monday,"National Holiday, Orthodox",romania
01-Jun-21,Tuesday,Children's Day,National Holiday,romania
20-Jun-21,Sunday,Orthodox Pentecost,"National Holiday, Orthodox",romania
21-Jun-21,Monday,Orthodox Pentecost Monday,"National Holiday, Orthodox",romania
15-Aug-21,Sunday,St Mary's Day,National Holiday,romania
30-Nov-21,Tuesday,St Andrew's Day,National Holiday,romania
01-Dec-21,Wednesday,National Day,National Holiday,romania
25-Dec-21,Saturday,Christmas Day,National Holiday,romania
26-Dec-21,Sunday,Second day of Christmas,National Holiday,romania
01-Jan-21,Friday,New Year's Day,National Holiday,russia
04-Jan-21,Monday,New Year Holiday,National Holiday,russia
05-Jan-21,Tuesday,New Year Holiday,National Holiday,russia
06-Jan-21,Wednesday,New Year Holiday,National Holiday,russia
07-Jan-21,Thursday,Orthodox Christmas Day,"National Holiday, Orthodox",russia
08-Jan-21,Friday,New Year Holiday,National Holiday,russia
22-Feb-21,Monday,Defender of the Fatherland Day (extra holiday),Substitute Holiday,russia
23-Feb-21,Tuesday,Defender of the Fatherland Day,National Holiday,russia
08-Mar-21,Monday,International Women's Day,National Holiday,russia
01-May-21,Saturday,Spring and Labor Day,National Holiday,russia
03-May-21,Monday,Day off for Spring and Labor Day,National Holiday,russia
04-May-21,Tuesday,Spring and Labor Day Holiday,National Holiday,russia
05-May-21,Wednesday,Spring and Labor Day Holiday,National Holiday,russia
06-May-21,Thursday,Spring and Labor Day Holiday,National Holiday,russia
07-May-21,Friday,Spring and Labor Day Holiday,National Holiday,russia
09-May-21,Sunday,Victory Day,National Holiday,russia
10-May-21,Monday,Day off for Victory Day,National Holiday,russia
12-Jun-21,Saturday,Russia Day,National Holiday,russia
14-Jun-21,Monday,Day off for Russia Day,National Holiday,russia
04-Nov-21,Thursday,Unity Day,National Holiday,russia
05-Nov-21,Friday,Unity Day Holiday,National Holiday,russia
31-Dec-21,Friday,New Year's Eve,National Holiday,russia
01-Jan-21,Friday,New Year's Day,National Holiday,slovenia
02-Jan-21,Saturday,New Year holiday,National Holiday,slovenia
08-Feb-21,Monday,Prešeren Day,National Holiday,slovenia
04-Apr-21,Sunday,Easter Sunday,National Holiday,slovenia
05-Apr-21,Monday,Easter Monday,National Holiday,slovenia
27-Apr-21,Tuesday,Day of Uprising Against Occupation,National Holiday,slovenia
01-May-21,Saturday,Labor Day,National Holiday,slovenia
02-May-21,Sunday,Labour Day holiday,National Holiday,slovenia
23-May-21,Sunday,Whit Sunday,National Holiday,slovenia
25-Jun-21,Friday,Statehood Day,National Holiday,slovenia
15-Aug-21,Sunday,Assumption of Mary,National Holiday,slovenia
31-Oct-21,Sunday,Reformation Day,National Holiday,slovenia
01-Nov-21,Monday,Remembrance Day,National Holiday,slovenia
25-Dec-21,Saturday,Christmas Day,National Holiday,slovenia
26-Dec-21,Sunday,Independence and Unity Day,National Holiday,slovenia
01-Jan-21,Friday,New Year's Day,Public Holiday,south-africa
21-Mar-21,Sunday,Human Rights Day,Public Holiday,south-africa
22-Mar-21,Monday,Day off for Human Rights Day,Public Holiday,south-africa
02-Apr-21,Friday,Good Friday,Public Holiday,south-africa
05-Apr-21,Monday,Family Day,Public Holiday,south-africa
27-Apr-21,Tuesday,Freedom Day,Public Holiday,south-africa
01-May-21,Saturday,Workers' Day,Public Holiday,south-africa
16-Jun-21,Wednesday,Youth Day,Public Holiday,south-africa
09-Aug-21,Monday,National Women's Day,Public Holiday,south-africa
24-Sep-21,Friday,Heritage Day,Public Holiday,south-africa
01-Nov-21,Monday,Local Government Elections,Public Holiday,south-africa
16-Dec-21,Thursday,Day of Reconciliation,Public Holiday,south-africa
25-Dec-21,Saturday,Christmas Day,Public Holiday,south-africa
26-Dec-21,Sunday,Day of Goodwill,Public Holiday,south-africa
27-Dec-21,Monday,Day of Goodwill observed,Public Holiday,south-africa
