Date,Day,Name,Type,Country
01-Jan-23,Sunday,New Year's Day,National Holiday,portugal
07-Apr-23,Friday,Good Friday,"National Holiday, Christian",portugal
09-Apr-23,Sunday,Easter Sunday,"National Holiday, Christian",portugal
25-Apr-23,Tuesday,Liberty Day,National Holiday,portugal
01-May-23,Monday,Labor Day,National Holiday,portugal
08-Jun-23,Thursday,Corpus Christi,"National Holiday, Christian",portugal
10-Jun-23,Saturday,Portugal Day,National Holiday,portugal
15-Aug-23,Tuesday,Assumption of Mary,"National Holiday, Christian",portugal
05-Oct-23,Thursday,Republic Day,National Holiday,portugal
01-Nov-23,Wednesday,All Saints' Day,"National Holiday, Christian",portugal
01-Dec-23,Friday,Restoration of Independence,National Holiday,portugal
08-Dec-23,Friday,Feast of the Immaculate Conception,"National Holiday, Christian",portugal
25-Dec-23,Monday,Christmas Day,"National Holiday, Christian",portugal
01-Jan-23,Sunday,New Year's Day,National Holiday,romania
02-Jan-23,Monday,Day after New Year's Day,National Holiday,romania
24-Jan-23,Tuesday,Unification Day,National Holiday,romania
14-Apr-23,Friday,Orthodox Good Friday,"National Holiday, Orthodox",romania
16-Apr-23,Sunday,Orthodox Easter,"National Holiday, Orthodox",romania
17-Apr-23,Monday,Orthodox Easter Monday,"National Holiday, Orthodox",romania
01-May-23,Monday,Labor Day,National Holiday,romania
01-Jun-23,Thursday,Children's Day,National Holiday,romania
04-Jun-23,Sunday,Orthodox Pentecost,"National Holiday, Orthodox",romania
05-Jun-23,Monday,Orthodox Pentecost Monday,"National Holiday, Orthodox",romania
15-Aug-23,Tuesday,St Mary's Day,National Holiday,romania
30-Nov-23,Thursday,St Andrew's Day,National Holiday,romania
01-Dec-23,Friday,National Day,National Holiday,romania
25-Dec-23,Monday,Christmas Day,National Holiday,romania
26-Dec-23,Tuesday,Second day of Christmas,National Holiday,romania
01-Jan-23,Sunday,New Year's Day,National Holiday,russia
02-Jan-23,Monday,New Year Holiday,National Holiday,russia
03-Jan-23,Tuesday,New Year Holiday,National Holiday,russia
04-Jan-23,Wednesday,New Year Holiday,National Holiday,russia
05-Jan-23,Thursday,New Year Holiday,National Holiday,russia
06-Jan-23,Friday,New Year Holiday,National Holiday,russia
07-Jan-23,Saturday,Orthodox Christmas Day,"National Holiday, Orthodox",russia
08-Jan-23,Sunday,New Year Holiday,National Holiday,russia
23-Feb-23,Thursday,Defender of the Fatherland Day,National Holiday,russia
24-Feb-23,Friday,Public Holiday,National Holiday,russia
08-Mar-23,Wednesday,International Women's Day,National Holiday,russia
01-May-23,Monday,Spring and Labor Day,National Holiday,russia
08-May-23,Monday,Spring and Labor Day Holiday,National Holiday,russia
09-May-23,Tuesday,Victory Day,National Holiday,russia
12-Jun-23,Monday,Russia Day,National Holiday,russia
04-Nov-23,Saturday,Unity Day,National Holiday,russia
06-Nov-23,Monday,Day off for Unity Day,National Holiday,russia
30-Dec-23,Saturday,New Year Holiday,National Holiday,russia
31-Dec-23,Sunday,New Year's Eve,National Holiday,russia
01-Jan-23,Sunday,New Year's Day,National Holiday,slovenia
02-Jan-23,Monday,New Year holiday,National Holiday,slovenia
08-Feb-23,Wednesday,Prešeren Day,National Holiday,slovenia
09-Apr-23,Sunday,Easter Sunday,National Holiday,slovenia
10-Apr-23,Monday,Easter Monday,National Holiday,slovenia
27-Apr-23,Thursday,Day of Uprising Against Occupation,National Holiday,slovenia
01-May-23,Monday,Labor Day,National Holiday,slovenia
02-May-23,Tuesday,Labour Day holiday,National Holiday,slovenia
28-May-23,Sunday,Whit Sunday,National Holiday,slovenia
25-Jun-23,Sunday,Statehood Day,National Holiday,slovenia
15-Aug-23,Tuesday,Assumption of Mary,National Holiday,slovenia
31-Oct-23,Tuesday,Reformation Day,National Holiday,slovenia
01-Nov-23,Wednesday,Remembrance Day,National Holiday,slovenia
25-Dec-23,Monday,Christmas Day,National Holiday,slovenia
26-Dec-23,Tuesday,Independence and Unity Day,National Holiday,slovenia
01-Jan-23,Sunday,New Year's Day,Public Holiday,south-africa
02-Jan-23,Monday,Day off for New Year's Day,Public Holiday,south-africa
21-Mar-23,Tuesday,Human Rights Day,Public Holiday,south-africa
07-Apr-23,Friday,Good Friday,Public Holiday,south-africa
10-Apr-23,Monday,Family Day,Public Holiday,south-africa
27-Apr-23,Thursday,Freedom Day,Public Holiday,south-africa
01-May-23,Monday,Workers' Day,Public Holiday,south-africa
16-Jun-23,Friday,Youth Day,Public Holiday,south-africa
09-Aug-23,Wednesday,National Women's Day,Public Holiday,south-africa
24-Sep-23,Sunday,Heritage Day,Public Holiday,south-africa
25-Sep-23,Monday,Day off for Heritage Day,Public Holiday,south-africa
15-Dec-23,Friday,Rugby World Cup Win Public Holiday,Public Holiday,south-africa
16-Dec-23,Saturday,Day of Reconciliation,Public Holiday,south-africa
25-Dec-23,Monday,Christmas Day,Public Holiday,south-africa
26-Dec-23,Tuesday,Day of Goodwill,Public Holiday,south-africa
